# =============================================
# WT SURFACES
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# maximal time 1000.0 
# expected RLS 24 pm 0 
# =============================================
# k1	k2	R	re	RLS	lifetime	tau	eta
0.275000	0.005000	0.318310	0.293200	24.000000	38.715267	0.711204	0.875000
0.280000	0.005000	1000.000000	0.283200	24.000000	40.218373	0.649764	0.833333
0.280000	0.005000	0.318310	0.280700	24.000000	41.123951	0.633412	0.833333
0.280000	0.010000	0.318310	0.290700	24.000000	38.550836	0.717672	0.875000
0.285000	0.005000	1000.000000	0.268200	24.000000	40.128927	0.651810	0.833333
0.285000	0.005000	0.318310	0.263200	24.000000	38.452919	0.716257	0.875000
0.285000	0.010000	1000.000000	0.285700	24.000000	41.507302	0.643583	0.833333
0.285000	0.010000	0.318310	0.275544	24.000000	38.360588	0.720824	0.875000
0.285000	0.015000	0.318310	0.290700	24.000000	39.857570	0.660546	0.833333
0.290000	0.005000	1000.000000	0.253200	24.000000	39.949285	0.654709	0.833333
0.290000	0.005000	0.318310	0.248200	24.000000	38.238257	0.719312	0.875000
0.290000	0.010000	1000.000000	0.270700	24.000000	41.599827	0.642733	0.833333
0.290000	0.010000	0.318310	0.260700	24.000000	38.289985	0.722503	0.875000
0.290000	0.015000	1000.000000	0.285700	24.000000	40.311317	0.666592	0.833333
0.290000	0.015000	0.318310	0.274450	24.000000	38.942460	0.719067	0.875000
0.290000	0.020000	0.318310	0.290700	24.000000	42.326806	0.632456	0.833333
0.295000	0.005000	1000.000000	0.238200	24.000000	39.673240	0.658533	0.833333
0.295000	0.005000	0.318310	0.233200	24.000000	37.971434	0.722699	0.875000
0.295000	0.010000	1000.000000	0.253200	24.000000	39.246384	0.671289	0.833333
0.295000	0.010000	0.318310	0.245700	24.000000	38.087067	0.000000	0.000000
0.295000	0.015000	1000.000000	0.270700	24.000000	40.255096	0.668133	0.833333
0.295000	0.015000	0.318310	0.260700	24.000000	39.690358	0.663199	0.833333
0.295000	0.020000	1000.000000	0.290700	24.000000	42.703338	0.604151	0.791667
0.295000	0.020000	0.318310	0.273200	24.000000	39.411421	0.718313	0.875000
0.295000	0.025000	0.318310	0.288200	24.000000	40.888317	0.656988	0.833333
0.300000	0.005000	1000.000000	0.223200	24.000000	39.309438	0.663458	0.833333
0.300000	0.005000	0.318310	0.220700	24.000000	39.893726	0.651545	0.833333
0.300000	0.010000	1000.000000	0.240700	24.000000	41.560367	0.642668	0.833333
0.300000	0.010000	0.318310	0.233200	24.000000	39.697517	0.658933	0.833333
0.300000	0.015000	1000.000000	0.255075	24.000000	39.761630	0.674180	0.833333
0.300000	0.015000	0.318310	0.245700	24.000000	39.496950	0.666110	0.833333
