# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.69857076	3.748	1.4956
0.90953208	3.0138	1.3986
0.61338466	4.4509	1.3599
0.76488334	3.5065	1.3114
0.83261696	3.3507	1.3096
0.72581526	3.6717	1.3084
0.83530378	3.3918	1.2633
0.85336678	3.1084	1.1279
0.70151284	3.7602	1.0871
0.72652578	3.822	1.0828
0.84108794	3.1103	1.0418
0.82363546	3.4753	1.0416
0.7956804399999999	3.375	1.0405
0.83530378	3.2998	1.0386
0.88817174	3.0985	0.9963
0.77655166	3.402	0.9939
0.8682324399999999	3.1969	0.9935
0.88274284	2.9644	0.951
0.78776472	3.4012	0.9483
0.66893944	3.986	0.9474
0.71744428	3.8469	0.9066
0.6982155	3.7705	0.9066
0.8395669	3.2211	0.9066
0.79872252	3.2713	0.9064
0.93855288	2.9063	0.9064
0.57751392	4.5493	0.9057
0.72936786	3.6863	0.9057
0.93855288	2.8654	0.9044
0.59567692	4.393	0.9044
0.82008286	3.2907	0.9044
0.6330687	4.1209	0.9035
0.66127898	4.1053	0.9035
0.85701938	3.0703	0.9032
0.78269108	3.5867	0.8613
0.80440668	3.4481	0.8611
0.76417282	3.5219	0.8606
0.70506544	3.988	0.8606
0.85336678	3.0454	0.8606
0.62505298	4.3365	0.8604
0.91282942	3.0008	0.8604
0.63733182	4.3538	0.8604
0.90988734	2.8692	0.8592
0.55036942	4.8061	0.8582
0.7996882999999999	3.257	0.858
0.83698008	3.146	0.816
0.89689798	2.9521	0.816
0.7968462199999999	3.3554	0.816
0.89004804	3.014	0.816
0.57654814	4.5111	0.816
0.6862919199999999	3.8124	0.8158
0.80369616	3.2375	0.8158
0.8033409	3.4516	0.8158
0.6402739	4.1025	0.8153
0.74245722	3.6312	0.8153
0.70338914	3.8166	0.8152
0.7235837	3.7531	0.8143
0.55285624	4.8551	0.814
0.7851779000000001	3.3328	0.814
0.8598614600000001	3.0471	0.814
0.84357476	3.0807	0.814
0.80415142	3.4794	0.8132
0.652908	4.1564	0.8132
0.65985794	4.0581	0.8132
0.8069935	3.326	0.813
0.73043364	3.8033	0.813
0.8396669	3.195	0.8129
0.8475826200000001	3.163	0.8129
0.81358818	3.2285	0.8129
0.8106461	3.4503	0.8129
0.70222336	3.7256	0.8121
0.77467536	3.4069	0.8121
0.65585008	3.9825	0.8121
0.7660491199999999	3.5117	0.8121
0.84722736	3.0926	0.7706
0.7721885399999999	3.6027	0.7706
0.64179494	4.0706	0.7706
0.8755376399999999	3.1001	0.7706
0.7811700399999999	3.3992	0.7704
0.7620412599999999	3.5846	0.7704
0.76924646	3.3849	0.7704
0.81856182	3.2443	0.7704
0.6837051	3.8923	0.77
0.61891356	4.2369	0.77
0.82977488	3.1854	0.7699
0.68877874	4.0142	0.7699
0.9439817800000001	2.7932	0.7691
0.57619288	4.6267	0.7691
0.73418624	3.7013	0.7691
0.68700244	4.0022	0.7688
0.89111382	2.9658	0.7688
0.7906067999999999	3.5486	0.7688
0.74103618	3.5417	0.7688
0.7830463400000001	3.5707	0.7688
0.91896884	2.8327	0.768
0.6141951800000001	4.4011	0.768
0.59532166	4.5794	0.768
0.6800525	3.9291	0.768
