# RLS IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	rlsMean	rlsStd
0.0	0.0	13.2	3.0110906108363245
0.0	1.0	16.1	2.330951164939612
0.0	2.0	16.4	4.477102237434885
0.0	3.0	16.1	4.067486256208427
0.0	4.0	18.5	5.54276304943863
0.0	5.0	14.5	3.9510898637098992
0.0	6.0	13.7	5.056349144063003
0.0	7.0	11.1	1.7288403306519922
0.0	8.0	12.1	3.7549966711037173
0.0	9.0	10.4	3.9496835316263
0.0	10.0	8.333333333333334	4.153311931459037
0.0	11.0	9.625	3.77728171346236
0.0	12.0	9.5	3.082207001484488
0.0	13.0	13.2	7.886697661252142
0.0	14.0	7.6	2.073644135332772
0.0	15.0	6.5	3.696845502136472
0.0	16.0	6.333333333333333	3.214550253664318
0.0	17.0	NaN	NaN
0.0	18.0	NaN	NaN
1.0	1.0	17.514084507042252	4.474888033771764
1.0	2.0	17.56338028169014	5.708603422174742
1.0	3.0	17.316901408450704	5.8798486475308485
1.0	4.0	16.87323943661972	4.672021985353367
1.0	5.0	16.464788732394368	5.131825289905461
1.0	6.0	15.361702127659575	4.970306969170129
1.0	7.0	15.652482269503546	5.086376503679548
1.0	8.0	14.371428571428572	4.422543389366855
1.0	9.0	13.471014492753623	3.909920060014122
1.0	10.0	13.510948905109489	5.903783418434477
1.0	11.0	12.240601503759398	4.697114484865907
1.0	12.0	11.508064516129032	4.0394315943657135
1.0	13.0	10.695652173913043	3.902706917187676
1.0	14.0	10.12962962962963	4.963591917287003
1.0	15.0	8.67032967032967	4.364133985759998
1.0	16.0	9.042857142857143	3.7278260917859902
1.0	17.0	8.32258064516129	4.830823822586076
1.0	18.0	8.872340425531915	4.753108919784002
1.0	19.0	9.258064516129032	4.878303953462267
1.0	20.0	8.625	4.178750593387829
1.0	21.0	7.277777777777778	3.46079820027209
1.0	22.0	7.75	3.9800639556304986
1.0	23.0	8.625	5.180664601601393
1.0	24.0	8.6	6.5038450166036395
1.0	25.0	9.0	2.6457513110645907
1.0	26.0	9.0	5.5677643628300215
1.0	27.0	12.0	1.4142135623730951
1.0	28.0	12.5	3.5355339059327378
1.0	29.0	11.5	2.1213203435596424
1.0	30.0	15.5	0.7071067811865476
1.0	31.0	10.0	4.242640687119285
1.0	32.0	12.5	3.5355339059327378
1.0	33.0	10.5	3.5355339059327378
1.0	34.0	12.0	9.899494936611665
1.0	35.0	7.0	7.0710678118654755
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
1.0	47.0	NaN	NaN
1.0	48.0	NaN	NaN
1.0	49.0	NaN	NaN
1.0	50.0	NaN	NaN
1.0	51.0	NaN	NaN
1.0	52.0	NaN	NaN
1.0	53.0	NaN	NaN
1.0	54.0	NaN	NaN
1.0	55.0	NaN	NaN
1.0	56.0	NaN	NaN
1.0	57.0	NaN	NaN
1.0	58.0	NaN	NaN
2.0	1.0	17.464788732394368	4.754485708487571
2.0	2.0	17.41549295774648	5.445074497203128
2.0	3.0	16.354609929078013	4.135447379102929
2.0	4.0	16.24822695035461	4.749670707937543
2.0	5.0	15.843971631205674	5.043076849848233
2.0	6.0	14.97841726618705	4.316244385196835
2.0	7.0	14.846715328467154	5.303842268400535
2.0	8.0	14.536764705882353	4.8134196487109815
2.0	9.0	13.28888888888889	4.133710462653949
2.0	10.0	12.485074626865671	4.293262906620837
2.0	11.0	11.829457364341085	4.368073143217284
2.0	12.0	11.616666666666667	5.704462845750108
2.0	13.0	10.415929203539823	4.50936656883048
2.0	14.0	10.237113402061855	4.829969797775415
2.0	15.0	10.146341463414634	5.145109031273454
2.0	16.0	10.064516129032258	4.5587996972957106
2.0	17.0	9.433962264150944	5.318723943124329
2.0	18.0	8.976744186046512	5.248529826319272
2.0	19.0	8.290322580645162	3.9174272883028456
2.0	20.0	11.26086956521739	5.361626206023927
2.0	21.0	10.1	5.802903084709094
