# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# h	rls	rejuvenation
0.009785543492827991	72.0	2.408
0.013451740532073117	68.0	2.2271
0.013849570039769924	67.0	2.1782
0.012976518829542698	63.0	1.9965
0.012107011940120644	65.0	1.9958
0.008170028954879047	71.0	1.9057
0.013254556667628557	62.0	1.9051
0.013350936630893071	62.0	1.8635
0.014078126279481601	60.0	1.861
0.012766015229614224	63.0	1.8603
0.014334160473462709	60.0	1.86
0.01185340935337985	66.0	1.8597
0.013586945310924324	62.0	1.818
0.01229482197958179	58.0	1.818
0.01677828970236812	55.0	1.8174
0.014131424441169873	60.0	1.8174
0.011492497477913694	67.0	1.8156
0.01380466314963697	61.0	1.8146
0.011695411415194545	59.0	1.7692
0.015155360475009764	58.0	1.769
0.00987512398731746	64.0	1.7271
0.016459230843700084	56.0	1.7271
0.010927553046039788	61.0	1.7244
0.013829677677931897	61.0	1.7237
0.016493770999353893	56.0	1.7227
0.012607868306597459	57.0	1.6817
0.013449395713587825	55.0	1.6817
0.01913584303765861	57.0	1.6789
0.010297433814440883	63.0	1.6783
0.012471130143457215	57.0	1.6783
0.013998203630854841	54.0	1.6774
0.015431368184006145	58.0	1.634
0.014045326345053845	54.0	1.6335
0.013778594473201738	61.0	1.5887
0.014481319651895697	59.0	1.5878
0.016186903323674482	56.0	1.5867
0.015758085360944862	57.0	1.5453
0.013609929859659442	61.0	1.5438
0.017274663057377283	60.0	1.5373
0.019668084461635673	51.0	1.4993
0.018280385269573433	53.0	1.4975
0.01977117547341211	51.0	1.4974
0.012626889813874755	57.0	1.4961
0.01755683708394183	54.0	1.4961
0.026261831373173176	49.0	1.4521
0.02406332632908285	51.0	1.4517
0.0124999418177756	64.0	1.4507
0.019460587189733636	46.0	1.409
0.01980940267349445	51.0	1.409
0.023499531820082444	52.0	1.409
0.014017834494331593	54.0	1.4067
0.012987982355689823	56.0	1.4067
0.015162214416179083	52.0	1.4067
0.01816257107977203	53.0	1.4066
0.017139169083537766	55.0	1.4066
0.020419160447888808	50.0	1.4063
0.019660109033076533	51.0	1.4054
0.01178530368709944	59.0	1.3635
0.020500328179393658	50.0	1.363
0.021472119550135074	49.0	1.3622
0.024205773585774526	51.0	1.3617
0.01975068310046409	51.0	1.3614
0.014460722562864086	53.0	1.3614
0.0226509948004089	48.0	1.3608
0.02858744025258279	47.0	1.3601
0.02260441468899035	48.0	1.3565
0.02069597431840312	50.0	1.3565
0.015224773837783525	52.0	1.3176
0.01891084986439013	52.0	1.3163
0.023393199392449677	47.0	1.3163
0.02333647209826346	47.0	1.316
0.018750171969439882	52.0	1.316
0.020373645322818792	50.0	1.3159
0.013624924514467845	55.0	1.3156
0.026378129002574083	49.0	1.3156
0.017994881119180853	48.0	1.3154
0.017263982923022593	54.0	1.3154
0.02047121678967821	50.0	1.3154
0.016504080015933703	50.0	1.3147
0.02367359239144484	47.0	1.3147
0.019657941843023358	46.0	1.2726
0.02442232532257191	46.0	1.2726
0.01955556487783489	51.0	1.2722
0.018670496121824857	47.0	1.2722
0.017781375758762888	48.0	1.2722
0.017470679425908558	54.0	1.2714
0.01928112743752182	52.0	1.2714
0.017911954285092513	48.0	1.2714
0.01798646639989684	48.0	1.2709
0.018723065769434687	47.0	1.2709
0.024245641773652193	46.0	1.2709
0.019619927623958696	51.0	1.2706
0.024618125558568273	46.0	1.2705
0.018819154958853924	47.0	1.2705
0.021579738386055786	49.0	1.2705
0.015789816362225085	51.0	1.2701
0.024577570123066817	46.0	1.2694
0.020957853854896836	50.0	1.2694
0.014155395226646083	54.0	1.266
0.02047886389196283	50.0	1.266
0.013999794993387759	54.0	1.2272
0.02548166500148516	45.0	1.2272
0.02148992238922476	49.0	1.2272
0.015844477720263327	51.0	1.2272
0.02800964400440491	43.0	1.2272
0.022787572257929135	43.0	1.226
