# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
2.6024	1.5835	2.408
2.5823	1.5859	2.2271
2.5896	1.5864	2.1782
2.583	1.5849	1.9965
2.5832	1.5847	1.9958
2.6267	1.5818	1.9057
2.573	1.5859	1.9051
2.5776	1.5855	1.8635
2.5662	1.5872	1.861
2.5607	1.5861	1.8603
2.5871	1.5857	1.86
2.6076	1.584	1.8597
2.58	1.5844	1.818
2.5871	1.5848	1.818
2.5551	1.5892	1.8174
2.5822	1.5868	1.8174
2.598	1.5837	1.8156
2.5769	1.5859	1.8146
2.5949	1.5858	1.7692
2.5345	1.5875	1.769
2.6339	1.5844	1.7271
2.5511	1.5871	1.7271
2.5887	1.5849	1.7244
2.5683	1.5856	1.7237
2.5338	1.587	1.7227
2.5736	1.5861	1.6817
2.5771	1.587	1.6817
2.5062	1.5902	1.6789
2.591	1.5841	1.6783
2.5852	1.5867	1.6783
2.5804	1.5873	1.6774
2.5734	1.5861	1.634
2.5717	1.5872	1.6335
2.5475	1.586	1.5887
2.568	1.5883	1.5878
2.5594	1.5887	1.5867
2.5526	1.5873	1.5453
2.5673	1.587	1.5438
2.5433	1.5886	1.5373
2.5158	1.5904	1.4993
2.5241	1.5889	1.4975
2.5144	1.5897	1.4974
2.5673	1.5857	1.4961
2.517	1.5888	1.4961
2.4976	1.5929	1.4521
2.4935	1.5925	1.4517
2.5934	1.5851	1.4507
2.5113	1.5903	1.409
2.5156	1.5895	1.409
2.494	1.5904	1.409
2.5795	1.5873	1.4067
2.5742	1.5867	1.4067
2.5449	1.5877	1.4067
2.5544	1.5894	1.4066
2.553	1.5872	1.4066
2.5102	1.5911	1.4063
2.5054	1.5904	1.4054
2.5867	1.5851	1.3635
2.5275	1.5905	1.363
2.5123	1.5905	1.3622
2.5195	1.5918	1.3617
2.5566	1.5898	1.3614
2.5724	1.5883	1.3614
2.5173	1.59	1.3608
2.4927	1.594	1.3601
2.5196	1.5901	1.3565
2.5102	1.5897	1.3565
2.5476	1.5874	1.3176
2.5266	1.5897	1.3163
2.482	1.5916	1.3163
2.4783	1.592	1.316
2.5441	1.5905	1.316
2.509	1.5913	1.3159
2.5692	1.5859	1.3156
2.5012	1.5924	1.3156
2.5363	1.5884	1.3154
2.5484	1.5904	1.3154
2.562	1.5909	1.3154
2.5542	1.588	1.3147
2.5168	1.5903	1.3147
2.513	1.5895	1.2726
2.4732	1.5924	1.2726
2.5312	1.5907	1.2722
2.5631	1.5896	1.2722
2.5572	1.5895	1.2722
2.5414	1.5893	1.2714
2.5507	1.5881	1.2714
2.5334	1.5888	1.2714
2.5557	1.5884	1.2709
2.5184	1.5894	1.2709
2.5004	1.5928	1.2709
2.5253	1.5904	1.2706
2.508	1.5913	1.2705
2.5561	1.5887	1.2705
2.5315	1.59	1.2705
2.5613	1.5878	1.2701
2.5013	1.5914	1.2694
2.524	1.5886	1.2694
2.5868	1.5863	1.266
2.5424	1.5907	1.266
2.5814	1.5872	1.2272
2.4991	1.5929	1.2272
2.5072	1.5905	1.2272
2.5593	1.5876	1.2272
2.4774	1.594	1.2272
2.5189	1.5898	1.226
2.5417	1.5901	1.226
2.4974	1.5916	1.226
2.5619	1.587	1.226
2.4926	1.5923	1.2255
2.5156	1.5893	1.2252
2.5375	1.5909	1.2252
2.4884	1.5936	1.2251
2.5522	1.5906	1.2248
2.5418	1.5871	1.2248
2.504	1.5925	1.2248
2.5549	1.5868	1.2248
2.5338	1.5887	1.2208
2.5197	1.5909	1.2208
2.5252	1.5887	1.1817
2.5227	1.5905	1.1813
2.5194	1.589	1.1813
2.481	1.5921	1.1801
2.4694	1.5934	1.1801
