# REJUVENATION INDEX IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	rejMean	rejStd
0.0	0.0	0.0	0.0
0.0	1.0	0.22887999999999997	0.2671978784014241
0.0	2.0	0.25318000000000007	0.39557987197418315
0.0	3.0	0.22984999999999997	0.3929391704407524
0.0	4.0	0.41770000000000007	0.4502141391728064
0.0	5.0	0.10261000000000002	0.24342185809824063
0.0	6.0	0.039259999999999996	0.3029209952006188
0.0	7.0	-0.16418	0.28087223983710297
0.0	8.0	-0.08606	0.3562184729129645
0.0	9.0	-0.22109000000000006	0.1341043080756336
0.0	10.0	-0.41886666666666666	0.25139256154468853
0.0	11.0	-0.35342499999999993	0.15661154628114568
0.0	12.0	-0.4442833333333333	0.20674745383357607
0.0	13.0	-0.20090000000000002	0.6484562359943807
0.0	14.0	-0.6440599999999999	0.07057282054728999
0.0	15.0	-0.7650250000000001	0.2031735936746374
0.0	16.0	-0.806	0.1634054160669101
0.0	17.0	NaN	NaN
0.0	18.0	NaN	NaN
1.0	1.0	0.10267887323943663	0.5361216844554997
1.0	2.0	0.10608169014084508	0.5823182772113787
1.0	3.0	0.08658802816901408	0.5999832083326921
1.0	4.0	0.05211830985915492	0.5582370555228534
1.0	5.0	0.020113380281690147	0.5125345568323739
1.0	6.0	-0.0727127659574468	0.489665599866898
1.0	7.0	-0.050231205673758855	0.5190078083825977
1.0	8.0	-0.1565057142857143	0.4809871019032921
1.0	9.0	-0.2363797101449275	0.3870751293866559
1.0	10.0	-0.23740802919708032	0.4974893393859862
1.0	11.0	-0.35347669172932333	0.4359224286163659
1.0	12.0	-0.44307500000000005	0.3830896741960161
1.0	13.0	-0.5391060869565218	0.3786745532027809
1.0	14.0	-0.6072425925925926	0.3992461164913224
1.0	15.0	-0.7782318681318681	0.342004519099162
1.0	16.0	-0.8330871428571431	0.3863967795952413
1.0	17.0	-0.9263516129032259	0.4010019740525939
1.0	18.0	-0.9595680851063833	0.4928488259736903
1.0	19.0	-1.0555870967741938	0.5264341805911007
1.0	20.0	-1.1878250000000001	0.4235705426079786
1.0	21.0	-1.3947611111111111	0.5521477648972652
1.0	22.0	-1.5143333333333333	0.6389050780733228
1.0	23.0	-1.6427624999999997	0.6667872737184305
1.0	24.0	-1.95136	0.7006129980238733
1.0	25.0	-2.4160999999999997	1.0687184521659576
1.0	26.0	-2.416933333333333	0.8877813488316442
1.0	27.0	-2.71145	1.1379469429635107
1.0	28.0	-2.67305	0.971211163959723
1.0	29.0	-2.7512	1.0817319538591803
1.0	30.0	-2.4353499999999997	1.196919648514469
1.0	31.0	-2.87035	0.9132284079024259
1.0	32.0	-2.67305	0.971211163959723
1.0	33.0	-2.83065	0.9693726863286378
1.0	34.0	-2.7154	0.46937748135163004
1.0	35.0	-3.10805	0.68751992334768
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
