# GENERATION TIME IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	genTMean	genTStd
0.0	0.0	1.5149199999999998	0.03126943129213152
0.0	1.0	1.4502000000000002	0.02709690429222905
0.0	2.0	1.4632	0.0346700318879448
0.0	3.0	1.45743	0.02025751163834733
0.0	4.0	1.4638300000000002	0.025140054362179334
0.0	5.0	1.48992	0.04315843679591123
0.0	6.0	1.51454	0.037058098530100905
0.0	7.0	1.52556	0.03013636415436412
0.0	8.0	1.5493900000000003	0.053049964917780836
0.0	9.0	1.58206	0.08975615361138815
0.0	10.0	1.6129777777777778	0.13743423679871197
0.0	11.0	1.6148375000000001	0.11823063341863403
0.0	12.0	1.6152166666666667	0.13836076635617
0.0	13.0	1.5566600000000002	0.049189765195617643
0.0	14.0	1.6382199999999998	0.08370476091597184
0.0	15.0	1.7110500000000002	0.1867545537151191
0.0	16.0	1.716	0.08913119543683899
0.0	17.0	NaN	NaN
0.0	18.0	NaN	NaN
1.0	1.0	1.4320042253521126	0.028538203517985552
1.0	2.0	1.4402978873239434	0.03268182844331941
1.0	3.0	1.4471056338028174	0.03453458082849278
1.0	4.0	1.4582957746478875	0.03533507263196587
1.0	5.0	1.4641232394366197	0.037799738573700954
1.0	6.0	1.47317304964539	0.03928656600532013
1.0	7.0	1.4793702127659578	0.04313883524601678
1.0	8.0	1.4956550000000002	0.07043400842750232
1.0	9.0	1.5079260869565219	0.05411264987548778
1.0	10.0	1.5289861313868611	0.09113719230343448
1.0	11.0	1.5445270676691731	0.08100405912745468
1.0	12.0	1.559183870967742	0.10172379739889534
1.0	13.0	1.5702921739130433	0.0932535189570036
1.0	14.0	1.5941537037037041	0.20084110817713072
1.0	15.0	1.6331395604395602	0.13783787649031815
1.0	16.0	1.6153514285714285	0.10817764207222498
1.0	17.0	1.6280967741935484	0.2584031746034891
1.0	18.0	1.607034042553192	0.27007072767396684
1.0	19.0	1.635638709677419	0.1309465887997071
1.0	20.0	1.6393583333333333	0.11672288221203268
1.0	21.0	1.5687888888888888	0.4108271153329713
1.0	22.0	1.6820166666666667	0.12367821762602954
1.0	23.0	1.6503625	0.11098091132519783
1.0	24.0	1.69588	0.23082653010431875
1.0	25.0	1.6100333333333332	0.10273078084650836
1.0	26.0	1.6544666666666668	0.29916888764263794
1.0	27.0	1.51565	0.005161879502661857
1.0	28.0	1.50805	0.019586857838867405
1.0	29.0	1.5467	0.051194530957906055
1.0	30.0	1.50495	0.03839589821842954
1.0	31.0	1.56075	0.074741186771418
1.0	32.0	1.5347	0.05260874452027915
1.0	33.0	1.5592000000000001	0.1277034846822904
1.0	34.0	1.5502500000000001	0.15337146083936223
1.0	35.0	1.6846999999999999	0.20972787129992998
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
1.0	47.0	NaN	NaN
1.0	48.0	NaN	NaN
1.0	49.0	NaN	NaN
1.0	50.0	NaN	NaN
1.0	51.0	NaN	NaN
1.0	52.0	NaN	NaN
1.0	53.0	NaN	NaN
1.0	54.0	NaN	NaN
1.0	55.0	NaN	NaN
1.0	56.0	NaN	NaN
1.0	57.0	NaN	NaN
1.0	58.0	NaN	NaN
2.0	1.0	1.4376549295774652	0.03553863461073041
2.0	2.0	1.442333802816901	0.03715394634084557
2.0	3.0	1.4519304964539008	0.03378588027831071
2.0	4.0	1.4593744680851062	0.04326312749452936
2.0	5.0	1.4750836879432623	0.08633044209325128
2.0	6.0	1.4800323741007193	0.04961084239814152
2.0	7.0	1.48975401459854	0.043612503291181486
2.0	8.0	1.4971536764705882	0.055473549129743886
2.0	9.0	1.5137281481481484	0.07059997743419774
2.0	10.0	1.5358111940298507	0.09203055937412284
2.0	11.0	1.5455883720930235	0.09071577318394232
2.0	12.0	1.5478308333333337	0.16710855969096494
2.0	13.0	1.583122123893805	0.2060140159649829
2.0	14.0	1.5851072164948454	0.20413854325730124
2.0	15.0	1.6167817073170732	0.14252240034295738
2.0	16.0	1.5945403225806458	0.09992206710720211
2.0	17.0	1.597588679245283	0.26380308482215215
2.0	18.0	1.6478697674418605	0.13613888135507538
2.0	19.0	1.5846677419354838	0.32556998570414597
2.0	20.0	1.5803260869565219	0.10273798190008006
2.0	21.0	1.6208449999999999	0.13012515625148613
2.0	22.0	1.6135882352941178	0.11897868970089212
2.0	23.0	1.5811999999999997	0.06995835024663437
2.0	24.0	1.630223076923077	0.12734364369588136
2.0	25.0	1.5978400000000001	0.10386104178179614
2.0	26.0	1.6560222222222223	0.13565290982667655
2.0	27.0	1.57496	0.11529342132142666
2.0	28.0	1.5725000000000002	0.06915001807664259
2.0	29.0	1.58552	0.12524251275026382
2.0	30.0	1.547525	0.01970979029146013
2.0	31.0	1.568925	0.05908645501861379
2.0	32.0	1.674675	0.16348217792774838
2.0	33.0	1.6570666666666665	0.10313691547323554
2.0	34.0	1.9257	0.42519467306164593
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
2.0	39.0	NaN	NaN
2.0	40.0	NaN	NaN
2.0	41.0	NaN	NaN
2.0	42.0	NaN	NaN
2.0	43.0	NaN	NaN
2.0	44.0	NaN	NaN
2.0	45.0	NaN	NaN
3.0	1.0	1.4387635714285714	0.03293598371271697
3.0	2.0	1.449752142857143	0.03856660214655323
3.0	3.0	1.4588237410071943	0.03918416676457323
3.0	4.0	1.463168345323741	0.03748895303174149
3.0	5.0	1.4739489208633092	0.050017578601096645
3.0	6.0	1.4783109489051096	0.04305982274838541
3.0	7.0	1.4946160583941603	0.055920152151996576
3.0	8.0	1.5099281481481481	0.0676059993052942
3.0	9.0	1.5283371212121215	0.09955697007686584
3.0	10.0	1.5364054687499993	0.07653446787563688
3.0	11.0	1.5698266129032257	0.1149586522407934
3.0	12.0	1.5741009009009008	0.09975172132986933
3.0	13.0	1.584901960784314	0.19778295834064838
3.0	14.0	1.6162966292134835	0.24148325767743958
3.0	15.0	1.5696661764705881	0.3034099195587629
3.0	16.0	1.6139290909090913	0.11885182912431462
3.0	17.0	1.6165162790697671	0.14284553750756454
3.0	18.0	1.6192666666666662	0.12476822679138576
3.0	19.0	1.5797083333333333	0.12357205578533721
3.0	20.0	1.565795	0.0724530445039733
3.0	21.0	1.593988888888889	0.11875455601855198
3.0	22.0	1.5834199999999998	0.08311053912883562
3.0	23.0	1.5815428571428571	0.06400997175063025
3.0	24.0	1.6628714285714283	0.11307079762133669
3.0	25.0	1.64284	0.11157435189146296
3.0	26.0	1.720175	0.16573165703285886
3.0	27.0	1.6801750000000002	0.032126974647482744
3.0	28.0	1.7834750000000001	0.2797684801760199
3.0	29.0	1.6891666666666667	0.08407688941280671
3.0	30.0	1.72525	0.04292138161802342
3.0	31.0	0.9373	1.325542372012302
4.0	1.0	1.4431547445255477	0.03253276170173086
4.0	2.0	1.4541474452554746	0.043659898952168055
4.0	3.0	1.4624176470588235	0.03856597979289029
4.0	4.0	1.4664963235294117	0.035520918006339205
4.0	5.0	1.4765544117647058	0.05124774953345766
4.0	6.0	1.4882918518518515	0.04274334032416559
4.0	7.0	1.5021681481481481	0.06052443770889481
4.0	8.0	1.5058880597014925	0.053791143085106706
4.0	9.0	1.5313278195488722	0.06768954459502843
4.0	10.0	1.5623023076923075	0.08947599085994916
4.0	11.0	1.5851130081300813	0.1286016412200231
4.0	12.0	1.5769223300970874	0.19386157479694813
4.0	13.0	1.5838921348314612	0.20755086847714702
4.0	14.0	1.615258108108108	0.12998844627979336
4.0	15.0	1.594420689655172	0.10382886350992024
4.0	16.0	1.6209291666666665	0.1571132522253381
4.0	17.0	1.6157380952380953	0.11463035385774437
4.0	18.0	1.6625135135135134	0.1527903668468703
4.0	19.0	1.5963851851851851	0.334219759236924
4.0	20.0	1.5986894736842105	0.41907946063662604
4.0	21.0	1.5113454545454545	0.5431100245137008
4.0	22.0	1.652775	0.19778093761966617
4.0	23.0	1.5677	0.0667267862256231
4.0	24.0	1.6165666666666665	0.04975510694056109
4.0	25.0	1.6580666666666666	0.10806889777668072
4.0	26.0	1.36474	0.7669290892905288
4.0	27.0	1.6228	0.1391586145375126
4.0	28.0	1.724	0.18780756108314706
4.0	29.0	NaN	NaN
4.0	30.0	NaN	NaN
5.0	1.0	1.4474125925925927	0.03043738968751257
5.0	2.0	1.4614814814814816	0.0387425586214321
5.0	3.0	1.4678874074074075	0.04396843581145359
5.0	4.0	1.4701171641791044	0.035814659757587956
5.0	5.0	1.4815097014925376	0.058166534146767465
5.0	6.0	1.4969894736842106	0.07715760657248008
5.0	7.0	1.5168480916030533	0.0697118810656736
5.0	8.0	1.512518604651163	0.06879148494663269
5.0	9.0	1.5415325396825392	0.09218013393729914
5.0	10.0	1.5547549999999999	0.0803670914401823
5.0	11.0	1.5864423423423426	0.14424641073180647
5.0	12.0	1.5801822916666666	0.1137284901534691
5.0	13.0	1.6064975903614458	0.1504043825385609
5.0	14.0	1.6063563380281691	0.13840605553679916
5.0	15.0	1.5923180327868856	0.2511044626632488
5.0	16.0	1.5856851063829787	0.2868487883573045
5.0	17.0	1.6211789473684208	0.13829884828406871
5.0	18.0	1.638661290322581	0.13855655566691738
5.0	19.0	1.64855	0.17238818811043868
5.0	20.0	1.6219368421052631	0.1443849069156096
5.0	21.0	1.6458411764705883	0.10537843742212828
5.0	22.0	1.5790999999999997	0.07364881039587319
5.0	23.0	1.4724500000000003	0.46975600146149377
5.0	24.0	1.612977777777778	0.10050647712682226
5.0	25.0	1.6522857142857141	0.173745018428073
5.0	26.0	1.6645800000000002	0.14124350250542497
5.0	27.0	1.636675	0.0534719474740416
5.0	28.0	1.175575	0.7843578153496018
5.0	29.0	1.5496	0.008416056083463396
5.0	30.0	1.6210333333333333	0.1010827548760585
5.0	31.0	1.7252333333333336	0.2373662641011425
5.0	32.0	1.64945	0.004313351365237936
5.0	33.0	1.8227	0.08145870119269041
5.0	34.0	NaN	NaN
6.0	1.0	1.4537230769230767	0.03790732178250951
6.0	2.0	1.4596930769230771	0.040237019069973956
6.0	3.0	1.4700661538461541	0.050085487467527647
6.0	4.0	1.487401550387597	0.0557122728070532
6.0	5.0	1.4949828125000004	0.06176456072948548
6.0	6.0	1.4940251968503941	0.15026113141477487
6.0	7.0	1.5187129032258062	0.061443999181410656
6.0	8.0	1.5517926829268294	0.10022390357425187
6.0	9.0	1.557322608695652	0.10506690104352272
6.0	10.0	1.594385714285714	0.1294446781362687
6.0	11.0	1.5716682352941178	0.10316784199472594
6.0	12.0	1.5852551282051282	0.10235639119036885
6.0	13.0	1.607672857142857	0.11783142210461812
6.0	14.0	1.599538596491228	0.24763716960388554
6.0	15.0	1.634295454545455	0.1348439683219529
6.0	16.0	1.613775	0.1284778981871226
6.0	17.0	1.6213076923076923	0.0853491179711984
6.0	18.0	1.5968666666666667	0.40261968572504414
6.0	19.0	1.6141615384615382	0.1454682183987367
