# GROWTH PER CELL CYCLE IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	growthCycleMean	growthCycleStd
0.0	0.0	1.5981900000000002	0.006459351532640266
0.0	1.0	1.59645	0.004721875804286976
0.0	2.0	1.5972600000000001	0.00757601478351247
0.0	3.0	1.59496	0.004613073210392873
0.0	4.0	1.59354	0.005939360234907476
0.0	5.0	1.5980299999999998	0.007624820580767054
0.0	6.0	1.6009400000000003	0.007346836053703691
0.0	7.0	1.6023699999999999	0.008503339213378308
0.0	8.0	1.6027900000000002	0.008496463316515173
0.0	9.0	1.6055899999999999	0.01085627826549124
0.0	10.0	1.6113333333333333	0.017449212016592646
0.0	11.0	1.6067125	0.01339194187348711
0.0	12.0	1.6080999999999996	0.016815588006370764
0.0	13.0	1.59794	0.00992763818841119
0.0	14.0	1.6085999999999998	0.009022471945093542
0.0	15.0	1.6172000000000002	0.02318188948295629
0.0	16.0	1.6169	0.01474075981759422
0.0	17.0	NaN	NaN
0.0	18.0	NaN	NaN
1.0	1.0	1.597635915492958	0.006388313149854927
1.0	2.0	1.5974669014084506	0.006737580871825974
1.0	3.0	1.5971816901408455	0.006511752819536302
1.0	4.0	1.5975429577464786	0.006732038333659537
1.0	5.0	1.5973330985915493	0.007268661205525209
1.0	6.0	1.59795390070922	0.006373690540366439
1.0	7.0	1.5971347517730496	0.007113749120195768
1.0	8.0	1.5986892857142856	0.009842206107822533
1.0	9.0	1.599553623188406	0.007341951841961184
1.0	10.0	1.6010635036496348	0.012190521124268505
1.0	11.0	1.602072180451128	0.010198955334081269
1.0	12.0	1.6031290322580645	0.01350685928838934
1.0	13.0	1.6032660869565214	0.011225205714182063
1.0	14.0	1.5924231481481481	0.15544245177651952
1.0	15.0	1.6103923076923075	0.01610544580616708
1.0	16.0	1.6077942857142857	0.012701134101072074
1.0	17.0	1.5863693548387099	0.20573121218820783
1.0	18.0	1.5742212765957444	0.2351061868660259
1.0	19.0	1.6086000000000003	0.016385216914442512
1.0	20.0	1.6085041666666668	0.014461657826869286
1.0	21.0	1.5237	0.38062678339193906
1.0	22.0	1.6157750000000002	0.017577936842427345
1.0	23.0	1.60765	0.00783162088678235
1.0	24.0	1.6190000000000002	0.02623308979133027
1.0	25.0	1.6131666666666666	0.0044105933085394665
1.0	26.0	1.6176000000000001	0.035189629154056094
1.0	27.0	1.60155	0.004313351365237936
1.0	28.0	1.5993	0.0008485281374239206
1.0	29.0	1.60525	0.0037476659402887603
1.0	30.0	1.595	0.00014142135623729392
1.0	31.0	1.6074	0.00820243866176399
1.0	32.0	1.59885	0.0007778174593051166
1.0	33.0	1.60285	0.01039446968344236
1.0	34.0	1.59925	0.016051323932934587
1.0	35.0	1.623	0.023900209204105186
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
1.0	47.0	NaN	NaN
1.0	48.0	NaN	NaN
1.0	49.0	NaN	NaN
1.0	50.0	NaN	NaN
1.0	51.0	NaN	NaN
1.0	52.0	NaN	NaN
1.0	53.0	NaN	NaN
1.0	54.0	NaN	NaN
1.0	55.0	NaN	NaN
1.0	56.0	NaN	NaN
1.0	57.0	NaN	NaN
1.0	58.0	NaN	NaN
2.0	1.0	1.5975190140845072	0.006619977642380361
2.0	2.0	1.5967732394366196	0.00624983308137908
2.0	3.0	1.5974773049645388	0.005871923130996556
2.0	4.0	1.597264539007092	0.00632813597867011
2.0	5.0	1.5985170212765958	0.012375961477493428
2.0	6.0	1.5984913669064749	0.0073312165787012655
2.0	7.0	1.5990029197080295	0.0070166811914205785
2.0	8.0	1.5986257352941176	0.00834514714890151
2.0	9.0	1.5999607407407408	0.008958387184072013
2.0	10.0	1.6016895522388062	0.011220565628839094
2.0	11.0	1.6016294573643408	0.010374694295953786
2.0	12.0	1.5897175	0.1467460297732163
2.0	13.0	1.5927530973451327	0.15239289568578773
2.0	14.0	1.5901731958762884	0.16387249013807959
2.0	15.0	1.6082487804878052	0.018769217272250532
2.0	16.0	1.6046612903225808	0.011037526968776228
2.0	17.0	1.5789207547169812	0.22165610782895423
2.0	18.0	1.6114953488372095	0.015505359342104808
2.0	19.0	1.5599096774193548	0.2899162687798424
2.0	20.0	1.6031999999999995	0.012082707402805797
2.0	21.0	1.61024	0.015933030900748643
2.0	22.0	1.6077882352941177	0.012497743914050084
2.0	23.0	1.6034214285714292	0.009793025663621628
2.0	24.0	1.6102923076923075	0.014957353906939438
2.0	25.0	1.60519	0.01185649845255991
2.0	26.0	1.6134111111111111	0.015746542830447328
2.0	27.0	1.6074199999999998	0.01945577035226305
2.0	28.0	1.6067399999999998	0.00914127999789964
2.0	29.0	1.6042999999999998	0.013780420893427077
2.0	30.0	1.597975	0.005446329038903214
2.0	31.0	1.60015	0.004286801449410365
2.0	32.0	1.6151749999999998	0.020694826245545857
2.0	33.0	1.6129999999999998	0.009175510884958943
2.0	34.0	1.6578666666666664	0.06482440384094044
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
2.0	39.0	NaN	NaN
2.0	40.0	NaN	NaN
2.0	41.0	NaN	NaN
2.0	42.0	NaN	NaN
2.0	43.0	NaN	NaN
2.0	44.0	NaN	NaN
2.0	45.0	NaN	NaN
3.0	1.0	1.5970564285714288	0.006220530069646742
3.0	2.0	1.5972371428571428	0.006349591760027842
3.0	3.0	1.5981683453237414	0.006655051867427355
3.0	4.0	1.59696690647482	0.00684141680056228
3.0	5.0	1.5976884892086327	0.007365313133604169
3.0	6.0	1.5971343065693433	0.006328883810568576
3.0	7.0	1.598344525547445	0.007811218550980432
3.0	8.0	1.5999274074074075	0.008930782165856164
3.0	9.0	1.6010227272727275	0.0129545040115241
3.0	10.0	1.6010499999999999	0.009368568660161362
3.0	11.0	1.6045580645161288	0.014048603765789727
3.0	12.0	1.6036936936936936	0.01154793392996245
3.0	13.0	1.5912529411764704	0.15979266436643216
3.0	14.0	1.5925089887640447	0.17215409365954246
3.0	15.0	1.5619838235294117	0.2743873830974611
3.0	16.0	1.6071309090909092	0.013766947437643597
3.0	17.0	1.607427906976744	0.018388419305708944
3.0	18.0	1.6089484848484854	0.015745735954777584
3.0	19.0	1.6037583333333334	0.016472847663501534
3.0	20.0	1.6013199999999999	0.008403232460754254
3.0	21.0	1.6042444444444444	0.013229566807287998
3.0	22.0	1.6042533333333333	0.009621023606565736
3.0	23.0	1.60135	0.00900288415325459
3.0	24.0	1.612842857142857	0.015547134996307381
3.0	25.0	1.6078500000000002	0.014236670178724311
3.0	26.0	1.6188	0.02306190427027719
3.0	27.0	1.61855	0.0035688466857889583
3.0	28.0	1.630575	0.03731732171525713
3.0	29.0	1.6153000000000002	0.007510659092250231
3.0	30.0	1.617	0.0026870057685088986
3.0	31.0	0.8182	1.1571095367336666
4.0	1.0	1.597087591240876	0.0057003798281016795
4.0	2.0	1.5980576642335766	0.006309793072813559
4.0	3.0	1.598	0.007024127730214644
4.0	4.0	1.597202205882353	0.0061862507871685065
4.0	5.0	1.5976897058823532	0.007370725673221806
4.0	6.0	1.5988814814814813	0.007291112819525049
4.0	7.0	1.5992207407407406	0.009095743602697591
4.0	8.0	1.5980738805970152	0.007624100381832091
4.0	9.0	1.6005578947368424	0.008485658226342271
4.0	10.0	1.603533846153846	0.010752591566803988
4.0	11.0	1.6049715447154471	0.01522761469284142
4.0	12.0	1.5906009708737863	0.15884141338735092
4.0	13.0	1.5888224719101125	0.17097604613778836
4.0	14.0	1.6079013513513514	0.014986848053783353
4.0	15.0	1.6050017241379313	0.012310065648624387
4.0	16.0	1.608902083333333	0.020778451292638916
4.0	17.0	1.6067357142857144	0.01491888345767516
4.0	18.0	1.6118486486486485	0.02122266374554468
4.0	19.0	1.5514703703703705	0.31028690794515523
4.0	20.0	1.5326263157894737	0.3717866201676339
4.0	21.0	1.4677454545454545	0.4877226801444369
4.0	22.0	1.61415	0.029818115299260588
4.0	23.0	1.6010166666666665	0.0113746062202903
4.0	24.0	1.6066166666666668	0.006877620712620521
4.0	25.0	1.6080499999999998	0.014090812609640345
4.0	26.0	1.2932799999999998	0.7230027123047327
4.0	27.0	1.6049	0.020788939366884408
4.0	28.0	1.6175000000000002	0.021496046148071032
4.0	29.0	NaN	NaN
4.0	30.0	NaN	NaN
5.0	1.0	1.5976444444444446	0.00566522076958694
5.0	2.0	1.598774074074074	0.006778961781150046
5.0	3.0	1.5981014814814818	0.006482525134327815
5.0	4.0	1.596942537313433	0.006230393328870323
5.0	5.0	1.5973865671641794	0.008266462645435926
5.0	6.0	1.599197744360902	0.010455660103832793
5.0	7.0	1.6016488549618322	0.009123404951528304
5.0	8.0	1.5985441860465115	0.00902315516962422
5.0	9.0	1.6015785714285717	0.010994555795613441
5.0	10.0	1.6023708333333333	0.009065887635937867
5.0	11.0	1.605863063063063	0.020453352372157067
5.0	12.0	1.6036187499999999	0.013240975576237806
5.0	13.0	1.6078999999999997	0.02032291149681357
5.0	14.0	1.6065197183098594	0.01675054472221561
5.0	15.0	1.581362295081967	0.20656306879008685
5.0	16.0	1.5744936170212769	0.23566518844608428
5.0	17.0	1.6090421052631576	0.01753271276983973
5.0	18.0	1.610916129032258	0.01650329455541518
5.0	19.0	1.6116923076923075	0.022131749557175492
5.0	20.0	1.6097736842105264	0.022238526182812243
5.0	21.0	1.6119823529411765	0.01083987057660964
5.0	22.0	1.6025500000000001	0.008135500208122672
5.0	23.0	1.4713916666666664	0.4634414848977618
5.0	24.0	1.6048777777777778	0.010208302721042523
5.0	25.0	1.6107285714285713	0.018846636683655625
5.0	26.0	1.6157400000000002	0.014275433443506996
5.0	27.0	1.61235	0.003931496746363492
5.0	28.0	1.2030500000000002	0.8020501002639009
5.0	29.0	1.5947666666666667	0.004072263907623472
5.0	30.0	1.6067333333333333	0.010750038759619973
5.0	31.0	1.6186666666666667	0.034419519655761226
5.0	32.0	1.60935	0.002474873734152958
5.0	33.0	1.63185	0.011242997820866123
5.0	34.0	NaN	NaN
6.0	1.0	1.5976223076923077	0.0063765348100407356
6.0	2.0	1.596690769230769	0.006661650587578431
6.0	3.0	1.5976592307692308	0.006909287044674916
6.0	4.0	1.5993961240310075	0.007846838566231381
6.0	5.0	1.5988421875000003	0.008185849220492017
6.0	6.0	1.5870551181102364	0.14223667438834953
6.0	7.0	1.6000580645161289	0.008491881314288751
6.0	8.0	1.6035967479674795	0.013781473278682545
6.0	9.0	1.6023139130434783	0.012924679825390781
6.0	10.0	1.6074809523809528	0.01553782045426142
6.0	11.0	1.6042835294117648	0.013105849721356018
6.0	12.0	1.6039730769230771	0.011604831876297166
6.0	13.0	1.6054342857142858	0.012752980733865455
6.0	14.0	1.5807578947368417	0.21365935166201258
6.0	15.0	1.6098522727272728	0.0162008683177622
6.0	16.0	1.6065906249999997	0.01674174537813939
6.0	17.0	1.6072038461538463	0.008603556509687416
6.0	18.0	1.5383380952380954	0.3529452258866671
6.0	19.0	1.6090923076923078	0.015681754873018382
6.0	20.0	1.603427272727273	0.009095173545248143
6.0	21.0	1.6038363636363635	0.011135912421285667
6.0	22.0	1.6083555555555555	0.01609876634335001
6.0	23.0	1.6061999999999999	0.014573520508099633
6.0	24.0	1.6224500000000002	0.03440880286039775
6.0	25.0	1.6246833333333333	0.02733272153786864
6.0	26.0	1.641	0.041602764331231654
6.0	27.0	1.63995	0.06102331521639908
6.0	28.0	NaN	NaN
6.0	29.0	NaN	NaN
6.0	30.0	NaN	NaN
6.0	31.0	NaN	NaN
6.0	32.0	NaN	NaN
6.0	33.0	NaN	NaN
6.0	34.0	NaN	NaN
7.0	1.0	1.5966396825396822	0.006669897502841605
7.0	2.0	1.597984126984127	0.0067490255616456316
7.0	3.0	1.5985817460317457	0.008833947256294
7.0	4.0	1.598097580645161	0.008668600131824985
7.0	5.0	1.6000747967479676	0.009445396081185858
7.0	6.0	1.5997876033057847	0.007280162203412018
7.0	7.0	1.6003599999999998	0.010671806884725481
7.0	8.0	1.5886449152542372	0.1477913831136387
7.0	9.0	1.572144859813084	0.2182215073509003
7.0	10.0	1.6033829999999998	0.012830621948914229
7.0	11.0	1.6076000000000001	0.014543918163808383
7.0	12.0	1.588696	0.18729785747897973
7.0	13.0	1.608329508196721	0.016760930207502366
7.0	14.0	1.5734125000000005	0.23239093312320155
7.0	15.0	1.6113243243243243	0.020228135046203518
7.0	16.0	1.6099962962962964	0.01222262975233554
7.0	17.0	1.6096916666666667	0.019315974840995502
7.0	18.0	1.5253052631578947	0.36960979345142453
7.0	19.0	1.6104400000000003	0.01891695384720127
7.0	20.0	1.6191071428571429	0.03622218751168774
7.0	21.0	1.6096166666666665	0.01456632688044174
7.0	22.0	1.6057666666666668	0.007442445834535844
7.0	23.0	1.6067375000000002	0.01428205042302095
7.0	24.0	1.6096000000000001	0.01765021246331044
7.0	25.0	1.6120999999999999	0.015896666317187346
7.0	26.0	1.6202	0.01513538899401001
7.0	27.0	1.5979999999999999	0.006222539674441718
7.0	28.0	1.6005500000000001	0.002333452377915664
7.0	29.0	1.6083500000000002	0.005020458146424562
7.0	30.0	1.5949	0.0018384776310851351
7.0	31.0	1.5907499999999999	0.0004949747468305288
7.0	32.0	1.5997	0.004949747468305759
7.0	33.0	1.6008499999999999	0.005727564927611032
7.0	34.0	1.60565	0.0014849242404917434
7.0	35.0	1.59835	0.002333452377915664
7.0	36.0	1.6001	0.008768124086713167
7.0	37.0	1.60215	0.0030405591591021333
7.0	38.0	1.5943	0.009192388155425047
7.0	39.0	1.6115499999999998	0.005868986283848326
7.0	40.0	1.6087	0.01923330444827417
7.0	41.0	NaN	NaN
7.0	42.0	NaN	NaN
7.0	43.0	NaN	NaN
7.0	44.0	NaN	NaN
8.0	1.0	1.5985341666666666	0.0068456021069941584
8.0	2.0	1.597855	0.007633295597621796
8.0	3.0	1.5973176470588233	0.007465089905560801
8.0	4.0	1.5989176470588238	0.008127048863536452
8.0	5.0	1.5868016806722691	0.14697938802983898
8.0	6.0	1.6005787610619464	0.011219812286176705
8.0	7.0	1.5997509090909094	0.009640023082831859
8.0	8.0	1.603639423076923	0.01059654109410585
8.0	9.0	1.6031175257731958	0.009238641791289807
8.0	10.0	1.5872102272727269	0.17158919870607076
8.0	11.0	1.6100858974358974	0.016386205192561235
8.0	12.0	1.585180303030303	0.19865109128217512
8.0	13.0	1.6136370370370372	0.020066176331444918
