# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# h	rls	rejuvenation
0.794249264218282	62.0	4.1261
0.7891884248693999	61.0	3.9746
0.7894086605940633	59.0	3.9709
0.7808893984344297	58.0	3.8286
0.779902856996743	58.0	3.5706
0.7811130151683606	57.0	3.4379
0.7550174236053198	52.0	3.3598
0.811693577944043	56.0	3.0179
0.7762356460471969	56.0	2.9614
0.7406068162354685	48.0	2.9364
0.7797656657530103	57.0	2.8128
0.7717791303124121	45.0	2.7261
0.7675293158422651	53.0	2.7261
0.7496542480336662	49.0	2.7002
0.7683903088633647	53.0	2.6983
0.7884278528113323	49.0	2.6637
0.777203298991961	46.0	2.6497
0.7502964742617803	49.0	2.6106
0.7398351576929424	48.0	2.5784
0.7527930229695707	51.0	2.5703
0.713073565962978	42.0	2.5162
0.771419310883828	44.0	2.4924
0.6805321362423424	37.0	2.4222
0.7281078203820682	45.0	2.3804
0.7221295360862494	44.0	2.3366
0.7651865278825182	43.0	2.2942
0.7067565292789287	40.0	2.2719
0.7162542810949566	43.0	2.2719
0.754136904652375	41.0	2.2719
0.7210412966492613	44.0	2.2659
0.7101834747308885	42.0	2.2588
0.6576605845823597	34.0	2.2217
0.7033610008700013	40.0	2.2151
0.6949876490114409	38.0	2.1443
0.6873046063076588	38.0	2.1424
0.7528791589640538	41.0	2.136
0.7538560573583148	41.0	2.123
0.7427754929530014	39.0	2.1153
0.6516990730904735	33.0	2.1042
0.7444695657280442	40.0	2.1042
0.7152236505426047	42.0	2.1042
0.6867189169207395	38.0	2.0634
0.6733150971709416	36.0	2.063
0.7070605281761024	40.0	2.0569
0.6955757466908135	39.0	2.0569
0.7009378147534743	40.0	2.0263
0.7106565742357014	41.0	2.0263
0.7297771719973092	37.0	2.0263
0.7446480942944221	39.0	2.0251
0.6898259389841438	39.0	2.0251
0.6877247285215782	38.0	1.9778
0.7040114944038764	33.0	1.9658
0.6800976713538439	37.0	1.9534
0.7293778280432409	37.0	1.9483
0.700311023977943	40.0	1.9483
0.7258107966337678	44.0	1.9472
0.7357445683634989	38.0	1.9068
0.7678759811897652	44.0	1.906
0.7242326239936749	36.0	1.906
0.6828995946055383	30.0	1.9047
0.6621591834011895	34.0	1.9043
0.7533329309963301	41.0	1.8986
0.679016093668167	30.0	1.8871
0.6559025247004111	34.0	1.8871
0.6373776860639783	31.0	1.8802
0.6636705784793233	35.0	1.8752
0.7457790406183493	40.0	1.8704
0.7292220539904704	37.0	1.8704
0.6230747754719846	30.0	1.8704
0.6814354078377772	37.0	1.8266
0.6668529729238787	36.0	1.8266
0.7334206871680111	38.0	1.825
0.690373785703645	32.0	1.8195
0.696700450702962	40.0	1.7914
0.6943663476463084	39.0	1.7479
0.707993180805941	34.0	1.7472
0.7176042588376733	35.0	1.7472
0.6631341654304348	28.0	1.7456
0.668639530862192	29.0	1.7456
0.725037068668968	36.0	1.7299
0.7267669270117422	45.0	1.719
0.7053402242719518	33.0	1.7135
0.7517645447443128	41.0	1.7135
0.7178407184477866	35.0	1.7135
0.6368442443009722	32.0	1.6678
0.7136875270875752	35.0	1.6663
0.6810907297464056	30.0	1.6663
0.6239762036895541	30.0	1.6512
0.686965575649011	31.0	1.6452
0.6737934557737938	36.0	1.6452
0.6582919588912747	34.0	1.6408
0.7081523495111364	34.0	1.6408
0.6881460230384236	38.0	1.6408
0.6604962795738446	34.0	1.6366
0.69968947587606	33.0	1.6366
0.703741339374283	33.0	1.6366
0.6891480533064522	37.0	1.6357
0.6848679655458687	31.0	1.6357
0.7140246772409771	35.0	1.589
0.6713820626348274	30.0	1.589
0.6846687009764971	31.0	1.5884
0.700620468506197	33.0	1.5884
0.7348525071990925	38.0	1.5884
0.6371774716227577	32.0	1.5884
0.6388095403939318	32.0	1.5884
0.6476792375715326	33.0	1.5884
0.6847845798941234	38.0	1.5872
0.6963890808909684	32.0	1.5869
0.6617816830949034	28.0	1.5869
0.6372102868028362	32.0	1.5869
0.7079959930992265	34.0	1.5822
0.7022926818178019	33.0	1.5726
0.6307025523437206	25.0	1.5726
0.6644904722961796	35.0	1.5669
0.7127965855284334	34.0	1.5669
0.6840187345907964	38.0	1.5627
0.6430685618010981	32.0	1.5627
0.6676681043962945	35.0	1.5587
0.7012610522750107	33.0	1.5587
0.7244724302246426	36.0	1.5587
0.7265519760362955	44.0	1.5578
0.6594043237078129	28.0	1.5096
0.687466807113811	32.0	1.5096
0.7062627161610515	33.0	1.5096
0.5919617602344176	27.0	1.5096
0.7023447579848492	33.0	1.5089
0.5758453928448176	25.0	1.5079
0.7085501485809816	34.0	1.5079
0.7034999072758913	33.0	1.5079
0.6482370592143213	33.0	1.5031
0.7100036317908666	34.0	1.5031
0.6976107108769269	33.0	1.4885
0.7274622182247908	37.0	1.4885
0.6962642266704339	25.0	1.4885
0.7013562201848398	33.0	1.4846
0.6875295615825724	31.0	1.4846
0.6711083065066824	36.0	1.4807
0.6006176205009146	28.0	1.4807
0.7057923060572308	33.0	1.4799
0.6538350614369806	33.0	1.4799
0.7011224204797316	33.0	1.4799
0.6754936519863028	30.0	1.4799
0.6716044124900955	29.0	1.4799
0.6549754542755504	34.0	1.4799
0.6601247390994559	35.0	1.4799
0.6623359116731393	28.0	1.4301
0.6139000739184565	24.0	1.4295
0.6423958684448384	33.0	1.4285
0.6505368400874946	27.0	1.4285
0.6168053924322117	30.0	1.4285
0.6160464694136868	24.0	1.4283
0.6077778983444829	29.0	1.4283
0.6336416474477153	25.0	1.424
0.6692089932274536	29.0	1.424
0.6907664282994949	32.0	1.4153
0.6486643055892145	27.0	1.4153
0.6264651130180788	31.0	1.4102
0.6563144839619538	27.0	1.4102
0.7197655380674295	36.0	1.4102
0.685202399439677	31.0	1.4102
0.6710986645337023	29.0	1.4064
0.6509529543194572	27.0	1.4064
0.6558225645892061	27.0	1.4064
0.65631773244242	28.0	1.4064
0.6415927305261544	26.0	1.4028
0.6202034744688105	24.0	1.4028
0.662593848822269	28.0	1.4028
0.6821529056225574	31.0	1.4028
0.5980516192409269	28.0	1.402
0.7166470808169318	35.0	1.402
0.6425636994644458	26.0	1.402
0.6322941794421365	26.0	1.3507
0.6778117381807933	30.0	1.3507
0.6217859042009244	24.0	1.3507
0.6204481341378166	24.0	1.3501
0.6033520668736472	28.0	1.3501
0.6504138486094918	27.0	1.3501
0.6704797931076918	29.0	1.3501
0.7096172153051962	34.0	1.3491
0.6305615039988591	25.0	1.3491
0.5982399827914672	28.0	1.3491
0.6471925500548404	27.0	1.3489
0.6878868685779309	31.0	1.3449
0.7164803269979529	42.0	1.3449
