# =============================================
# POSSIBLE PARAMETERS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.005 
# k2 variation 0.005 
# maximal time 500.0 
# expected RLS 24 pm 1 
# mean of 200 cells 
# =============================================
# k1	k2	R	RLS	nDead
0.30000000	0.03250000	0.31830989	23.20000000	200.00000000
0.32000000	0.05500000	0.31830989	23.93500000	200.00000000
0.34000000	0.07625000	0.31830989	24.22000000	200.00000000
0.36000000	0.09750000	0.31830989	24.90500000	200.00000000
0.38000000	0.11750000	0.31830989	23.98000000	200.00000000
0.40000000	0.13750000	0.31830989	23.74500000	200.00000000
0.42000000	0.15750000	0.31830989	23.58000000	200.00000000
0.44000000	0.17750000	0.31830989	23.25500000	200.00000000
0.46000000	0.19750000	0.31830989	23.48000000	200.00000000
0.48000000	0.21750000	0.31830989	24.85000000	200.00000000
0.50000000	0.23750000	0.31830989	24.00500000	200.00000000
0.30000000	0.02500000	1000.00000000	23.42000000	200.00000000
0.32000000	0.04125000	1000.00000000	24.56000000	200.00000000
0.34000000	0.05500000	1000.00000000	23.92500000	200.00000000
0.36000000	0.06875000	1000.00000000	24.85500000	200.00000000
0.38000000	0.08062500	1000.00000000	24.38000000	200.00000000
0.40000000	0.09250000	1000.00000000	24.89000000	200.00000000
0.42000000	0.10312500	1000.00000000	23.32000000	200.00000000
0.44000000	0.11375000	1000.00000000	24.28000000	200.00000000
0.46000000	0.12375000	1000.00000000	23.18500000	200.00000000
0.48000000	0.13375000	1000.00000000	23.03500000	200.00000000
0.50000000	0.14437500	1000.00000000	24.89500000	200.00000000
