# =============================================
# POSSIBLE PARAMETERS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.005 
# k2 variation 0.005 
# maximal time 500.0 
# expected RLS 24 pm 1 
# mean of 200 cells 
# =============================================
# k1	k2	R	RLS	nDead
0.38000000	0.00750000	0.31830989	24.65500000	200.00000000
0.40000000	0.03062500	0.31830989	23.55000000	200.00000000
0.42000000	0.05437500	0.31830989	23.66500000	200.00000000
0.44000000	0.07750000	0.31830989	24.33500000	200.00000000
0.46000000	0.10000000	0.31830989	24.08000000	200.00000000
0.48000000	0.12281250	0.31830989	23.99000000	200.00000000
0.50000000	0.14562500	0.31830989	24.33500000	200.00000000
0.38000000	0.00562500	1000.00000000	24.03000000	200.00000000
0.40000000	0.02437500	1000.00000000	23.59000000	200.00000000
0.42000000	0.04250000	1000.00000000	24.27000000	200.00000000
0.44000000	0.05937500	1000.00000000	23.87500000	200.00000000
0.46000000	0.07562500	1000.00000000	23.94500000	200.00000000
0.48000000	0.09125000	1000.00000000	24.93000000	200.00000000
0.50000000	0.10625000	1000.00000000	24.92500000	200.00000000
