# =============================================
# POSSIBLE PARAMETERS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.005 
# k2 variation 0.005 
# maximal time 500.0 
# expected RLS 24 pm 1 
# mean of 200 cells 
# =============================================
# k1	k2	R	re	RLS	nDead
0.40000000	0.02437500	1000.00000000	0.00000000	23.81000000	200.00000000
0.40000000	0.02750000	1000.00000000	0.01000000	23.24500000	200.00000000
0.40000000	0.03125000	1000.00000000	0.02000000	24.57500000	200.00000000
0.40000000	0.03375000	1000.00000000	0.03000000	23.17000000	200.00000000
0.40000000	0.03750000	1000.00000000	0.04000000	24.32500000	200.00000000
0.40000000	0.04062500	1000.00000000	0.05000000	24.64500000	200.00000000
0.40000000	0.04312500	1000.00000000	0.06000000	23.70000000	200.00000000
0.40000000	0.04625000	1000.00000000	0.07000000	23.81000000	200.00000000
0.40000000	0.04875000	1000.00000000	0.08000000	23.34500000	200.00000000
0.40000000	0.05125000	1000.00000000	0.09000000	23.00000000	200.00000000
0.40000000	0.05500000	1000.00000000	0.10000000	24.74500000	200.00000000
0.40000000	0.05687500	1000.00000000	0.11000000	23.64000000	200.00000000
0.40000000	0.05937500	1000.00000000	0.12000000	23.28500000	200.00000000
0.40000000	0.06250000	1000.00000000	0.13000000	24.91000000	200.00000000
0.40000000	0.06437500	1000.00000000	0.14000000	23.91500000	200.00000000
0.40000000	0.06687500	1000.00000000	0.15000000	23.86500000	200.00000000
0.40000000	0.06875000	1000.00000000	0.16000000	23.72000000	200.00000000
0.40000000	0.07125000	1000.00000000	0.17000000	24.57000000	200.00000000
0.40000000	0.07312500	1000.00000000	0.18000000	23.59500000	200.00000000
0.40000000	0.07500000	1000.00000000	0.19000000	23.76000000	200.00000000
0.40000000	0.07750000	1000.00000000	0.20000000	24.68000000	200.00000000
0.40000000	0.07875000	1000.00000000	0.21000000	23.33000000	200.00000000
0.40000000	0.08062500	1000.00000000	0.22000000	23.48500000	200.00000000
0.40000000	0.08250000	1000.00000000	0.23000000	23.76500000	200.00000000
0.40000000	0.08437500	1000.00000000	0.24000000	23.96500000	200.00000000
0.40000000	0.08562500	1000.00000000	0.25000000	23.13500000	200.00000000
0.40000000	0.08750000	1000.00000000	0.26000000	24.31000000	200.00000000
0.40000000	0.08875000	1000.00000000	0.27000000	23.94000000	200.00000000
0.40000000	0.09062500	1000.00000000	0.28000000	24.97500000	200.00000000
0.40000000	0.09156250	1000.00000000	0.29000000	24.57000000	200.00000000
0.40000000	0.09218750	1000.00000000	0.29570000	24.33000000	200.00000000
0.40000000	0.03125000	0.31830989	0.00000000	24.87000000	200.00000000
0.40000000	0.03500000	0.31830989	0.01000000	24.06500000	200.00000000
0.40000000	0.04000000	0.31830989	0.02000000	24.81000000	200.00000000
0.40000000	0.04375000	0.31830989	0.03000000	24.57500000	200.00000000
0.40000000	0.04750000	0.31830989	0.04000000	23.64500000	200.00000000
0.40000000	0.05250000	0.31830989	0.05000000	24.58500000	200.00000000
0.40000000	0.05625000	0.31830989	0.06000000	24.31000000	200.00000000
0.40000000	0.06000000	0.31830989	0.07000000	24.51000000	200.00000000
0.40000000	0.06375000	0.31830989	0.08000000	23.63500000	200.00000000
0.40000000	0.06750000	0.31830989	0.09000000	23.33000000	200.00000000
0.40000000	0.07187500	0.31830989	0.10000000	24.74000000	200.00000000
0.40000000	0.07562500	0.31830989	0.11000000	23.74500000	200.00000000
0.40000000	0.07875000	0.31830989	0.12000000	23.34500000	200.00000000
0.40000000	0.08250000	0.31830989	0.13000000	23.14500000	200.00000000
0.40000000	0.08625000	0.31830989	0.14000000	23.39000000	200.00000000
0.40000000	0.09062500	0.31830989	0.15000000	24.29000000	200.00000000
0.40000000	0.09375000	0.31830989	0.16000000	23.76000000	200.00000000
0.40000000	0.09750000	0.31830989	0.17000000	24.16500000	200.00000000
0.40000000	0.10125000	0.31830989	0.18000000	24.38000000	200.00000000
0.40000000	0.10437500	0.31830989	0.19000000	24.06000000	200.00000000
0.40000000	0.10750000	0.31830989	0.20000000	23.89000000	200.00000000
0.40000000	0.11125000	0.31830989	0.21000000	24.30000000	200.00000000
0.40000000	0.11375000	0.31830989	0.22000000	23.31500000	200.00000000
0.40000000	0.11750000	0.31830989	0.23000000	24.47000000	200.00000000
0.40000000	0.12125000	0.31830989	0.24000000	24.57500000	200.00000000
0.40000000	0.12375000	0.31830989	0.25000000	24.03000000	200.00000000
0.40000000	0.12750000	0.31830989	0.26000000	24.61000000	200.00000000
0.40000000	0.13000000	0.31830989	0.27000000	24.30000000	200.00000000
0.40000000	0.13250000	0.31830989	0.28000000	23.43000000	200.00000000
0.40000000	0.13625000	0.31830989	0.29000000	24.07500000	200.00000000
0.40000000	0.13750000	0.31830989	0.29570000	23.36000000	200.00000000
