# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.685	1.5868	1.4956
1.7187	1.5863	1.3986
1.6943	1.5899	1.3599
1.6979	1.5879	1.3114
1.7155	1.5877	1.3096
1.6941	1.5874	1.3084
1.7203	1.5898	1.2633
1.6981	1.588	1.1279
1.6798	1.5907	1.0871
1.7067	1.5909	1.0828
1.6874	1.5881	1.0418
1.722	1.5918	1.0416
1.6975	1.5888	1.0405
1.7122	1.5897	1.0386
1.7146	1.5899	0.9963
1.6863	1.5902	0.9939
1.7168	1.5895	0.9935
1.6949	1.5867	0.951
1.6957	1.5912	0.9483
1.6791	1.5933	0.9474
1.6985	1.5941	0.9066
1.6759	1.5923	0.9066
1.7032	1.5908	0.9066
1.6836	1.589	0.9064
1.7174	1.5909	0.9064
1.6668	1.5928	0.9057
1.6945	1.5901	0.9057
1.7105	1.5897	0.9044
1.6691	1.5908	0.9044
1.7028	1.5886	0.9044
1.6689	1.5917	0.9035
1.6876	1.5942	0.9035
1.6927	1.589	0.9032
1.7119	1.5951	0.8613
1.7099	1.593	0.8611
1.6992	1.5884	0.8606
1.7051	1.5938	0.8606
1.6782	1.5918	0.8606
1.6854	1.5934	0.8604
1.7157	1.5909	0.8604
1.6972	1.5948	0.8604
1.6904	1.5905	0.8592
1.6741	1.5909	0.8582
1.6812	1.5903	0.858
1.691	1.5888	0.816
1.6968	1.5908	0.816
1.692	1.5927	0.816
1.7007	1.5934	0.816
1.6584	1.5936	0.816
1.6721	1.5922	0.8158
1.6766	1.5914	0.8158
1.7086	1.5943	0.8158
1.675	1.5908	0.8153
1.6924	1.5921	0.8153
1.6865	1.5931	0.8152
1.6952	1.5921	0.8143
1.6697	1.5982	0.814
1.676	1.5926	0.814
1.686	1.5921	0.814
1.6771	1.5926	0.814
1.7113	1.5934	0.8132
1.6913	1.5919	0.8132
1.6773	1.5956	0.8132
1.6943	1.5921	0.813
1.7038	1.5935	0.813
1.6983	1.5905	0.8129
1.6986	1.5915	0.8129
1.6867	1.5905	0.8129
1.7123	1.5933	0.8129
1.6735	1.592	0.8121
1.687	1.5893	0.8121
1.6692	1.592	0.8121
1.6904	1.5956	0.8121
1.6866	1.5905	0.7706
1.7083	1.5949	0.7706
1.6618	1.5948	0.7706
1.7071	1.5928	0.7706
1.6852	1.5933	0.7704
1.6981	1.5949	0.7704
1.6723	1.5932	0.7704
1.6877	1.5934	0.7704
1.6795	1.5936	0.77
1.6648	1.5946	0.77
1.6872	1.5923	0.7699
1.6967	1.5959	0.7699
1.7015	1.5888	0.7691
1.6708	1.596	0.7691
1.6921	1.5951	0.7691
1.6935	1.5972	0.7688
1.6941	1.5914	0.7688
1.7119	1.5957	0.7688
1.6768	1.5921	0.7688
1.7105	1.5964	0.7688
1.6895	1.5902	0.768
1.6801	1.596	0.768
1.6828	1.5974	0.768
1.6805	1.5945	0.768
1.6675	1.5923	0.768
1.689	1.593	0.7678
1.6721	1.5928	0.7678
1.6749	1.596	0.7678
1.6964	1.5927	0.7678
1.6718	1.594	0.7678
1.7058	1.5945	0.7677
1.7159	1.5898	0.7677
1.6808	1.5944	0.7677
1.7068	1.592	0.7677
1.7153	1.594	0.767
1.7092	1.6	0.767
1.6736	1.5932	0.767
1.6832	1.5928	0.7253
1.7006	1.5997	0.7253
1.709	1.5967	0.7253
1.6916	1.5963	0.7253
1.7012	1.5976	0.7253
1.6856	1.5922	0.7251
1.6547	1.5964	0.7251
1.7173	1.5912	0.7251
1.6645	1.5954	0.7251
1.7042	1.5924	0.7251
1.7017	1.5904	0.7247
1.7005	1.5953	0.7247
1.7025	1.5905	0.7247
1.6879	1.5952	0.7247
1.6693	1.5938	0.7247
1.6845	1.5934	0.7247
1.6802	1.5961	0.7247
1.6856	1.5937	0.7246
1.6663	1.5965	0.7246
1.69	1.5943	0.7246
1.6772	1.5956	0.7246
1.7254	1.5939	0.7246
1.7071	1.5999	0.7239
1.7088	1.5923	0.7239
1.7002	1.5944	0.7239
1.7135	1.5967	0.7239
1.7055	1.5976	0.7239
1.6721	1.5947	0.7235
1.7185	1.5968	0.7235
1.6796	1.5925	0.7235
1.6832	1.5966	0.7235
1.6587	1.5972	0.7228
1.6616	1.5962	0.7228
1.6842	1.5964	0.7227
1.6653	1.5962	0.7227
1.6994	1.5983	0.7227
1.6686	1.5941	0.7227
1.6615	1.595	0.7227
1.6671	1.5955	0.7227
1.6613	1.5938	0.7227
1.6773	1.5929	0.7227
1.6794	1.5923	0.7227
1.6535	1.598	0.7227
1.6803	1.5987	0.7227
1.666	1.5976	0.7225
1.6666	1.5943	0.7225
1.6989	1.5967	0.7219
1.6783	1.5936	0.7219
1.6933	1.5953	0.7219
1.691	1.5934	0.7219
1.6811	1.5947	0.7219
1.7062	1.5958	0.68
1.681	1.591	0.68
1.689	1.5971	0.68
1.7044	1.5943	0.68
1.6826	1.596	0.68
1.6632	1.5947	0.6798
1.7033	1.5942	0.6798
1.711	1.5975	0.6798
1.6929	1.5957	0.6798
1.6813	1.5986	0.6798
1.6828	1.5921	0.6794
1.6918	1.5998	0.6794
1.671	1.5955	0.6794
1.6763	1.5948	0.6794
1.7195	1.5975	0.6794
1.6863	1.5944	0.6794
1.6712	1.5987	0.6794
1.6806	1.5926	0.6794
1.6885	1.6007	0.6793
1.6817	1.5938	0.6793
1.6812	1.5998	0.6793
1.6936	1.595	0.6793
1.6905	1.5926	0.6793
1.6811	1.5931	0.6793
1.7273	1.5913	0.6786
1.7087	1.5939	0.6786
1.6796	1.5935	0.6786
1.6825	1.5923	0.6786
1.7111	1.5978	0.6783
1.675	1.5975	0.6783
1.6615	1.5994	0.6783
1.6863	1.5916	0.6783
1.6682	1.5917	0.6783
1.6728	1.596	0.6783
1.7074	1.5932	0.6783
1.6807	1.598	0.6783
1.6742	1.595	0.6783
1.6757	1.6013	0.6783
1.7064	1.5917	0.6776
1.6784	1.5987	0.6776
1.6775	1.5957	0.6776
1.6832	1.5945	0.6776
1.7113	1.5968	0.6776
1.673	1.5947	0.6776
1.6852	1.5924	0.6775
1.6887	1.5964	0.6775
1.6921	1.5918	0.6775
1.7223	1.5986	0.6775
1.7027	1.5945	0.6775
1.7087	1.5926	0.6775
1.7132	1.597	0.6775
1.6848	1.5916	0.6774
1.6809	1.5898	0.6774
1.6756	1.5945	0.6774
1.6903	1.5966	0.6774
1.69	1.5989	0.6774
1.6751	1.5931	0.6774
1.7079	1.5913	0.6774
1.6882	1.5951	0.6767
1.7233	1.5955	0.6767
1.6585	1.5982	0.6767
1.6932	1.5919	0.6767
1.6798	1.5945	0.6767
1.6895	1.5977	0.6767
1.6835	1.5959	0.6346
1.6734	1.592	0.6346
1.6691	1.5937	0.6346
1.695	1.5937	0.6346
1.6672	1.5961	0.6346
1.6771	1.593	0.6346
1.7286	1.5957	0.6346
1.6904	1.6004	0.6345
1.6741	1.596	0.6345
1.6855	1.5942	0.6345
1.6949	1.5941	0.6345
1.6956	1.5955	0.6345
1.6876	1.5963	0.6345
1.6553	1.5984	0.6345
1.6666	1.596	0.6345
1.6942	1.5933	0.6345
1.6816	1.5917	0.6345
1.6914	1.597	0.6345
1.6642	1.5969	0.6345
1.6981	1.5992	0.6345
1.7099	1.5959	0.6345
1.6772	1.5958	0.6341
1.6758	1.5921	0.6341
1.686	1.5949	0.6341
1.6967	1.5962	0.6341
1.6893	1.5949	0.6341
1.6997	1.6035	0.6341
1.7011	1.5976	0.6341
1.7291	1.5959	0.634
1.654	1.5963	0.634
1.6863	1.5997	0.634
1.6593	1.5978	0.634
1.676	1.5927	0.634
1.7002	1.5917	0.634
1.6582	1.5962	0.634
1.6624	1.5956	0.634
1.681	1.5999	0.634
1.7365	1.594	0.634
1.6837	1.5948	0.634
1.7025	1.5951	0.634
1.689	1.598	0.634
1.6988	1.5943	0.6334
1.6873	1.5919	0.6334
1.6928	1.5936	0.6334
1.7032	1.5932	0.6334
1.7103	1.6008	0.6334
1.7048	1.5954	0.6334
1.6737	1.5946	0.6334
1.7028	1.597	0.6334
1.6848	1.5914	0.6334
1.6636	1.5966	0.6334
1.6891	1.5977	0.6334
1.7099	1.5912	0.6334
1.7006	1.591	0.6331
1.6852	1.5932	0.6331
1.7109	1.5964	0.6331
1.6518	1.5987	0.6331
1.7001	1.594	0.6331
1.7023	1.5915	0.6331
1.6535	1.5987	0.6325
1.6936	1.5948	0.6325
1.6967	1.5972	0.6325
1.6936	1.5928	0.6325
1.6625	1.5967	0.6325
1.6778	1.5918	0.6325
1.7049	1.5948	0.6325
1.7058	1.5998	0.6325
1.6585	1.5972	0.6325
1.6939	1.5951	0.6325
1.6971	1.5905	0.6325
1.7108	1.5983	0.6325
1.6908	1.5974	0.6323
1.6837	1.5937	0.6323
1.6707	1.5951	0.6323
1.6719	1.595	0.6323
1.7066	1.5995	0.6323
1.7126	1.5963	0.6323
1.6596	1.5985	0.6323
1.6549	1.5994	0.6323
1.6749	1.597	0.6323
1.6939	1.5947	0.6322
1.6728	1.5929	0.6322
1.6847	1.5967	0.6322
1.6834	1.5953	0.6322
1.6789	1.595	0.6322
1.6613	1.5979	0.6322
1.7009	1.5961	0.6322
1.6646	1.5973	0.6322
1.6937	1.5968	0.6322
1.6474	1.5992	0.6322
1.6547	1.5978	0.6322
1.6592	1.5964	0.6322
1.6689	1.5951	0.6322
1.6874	1.5925	0.6322
1.676	1.5956	0.6322
1.7016	1.5955	0.6322
1.6821	1.5981	0.6316
1.6968	1.5958	0.6316
1.6896	1.5944	0.6316
1.7021	1.5993	0.6316
1.6663	1.5935	0.6316
1.6447	1.5996	0.6316
1.6955	1.5912	0.6316
1.6785	1.5953	0.6316
1.6794	1.5931	0.6316
1.7238	1.5932	0.6316
1.6722	1.5932	0.6316
1.6715	1.5999	0.5893
1.6809	1.5987	0.5893
1.6669	1.5919	0.5893
1.6892	1.5967	0.5893
1.6532	1.596	0.5893
1.6962	1.5977	0.5893
1.6584	1.5987	0.5893
1.7	1.6013	0.5893
1.6972	1.5981	0.5893
1.6671	1.5943	0.5893
1.6948	1.6006	0.5893
1.711	1.5972	0.5893
1.7128	1.5996	0.5893
1.7125	1.6005	0.5893
1.6697	1.5955	0.5893
1.6587	1.5971	0.5893
1.6919	1.5954	0.5893
1.6789	1.6017	0.5893
1.6872	1.6016	0.5893
1.7066	1.5938	0.5893
1.7274	1.5968	0.5892
1.7039	1.5954	0.5892
1.6664	1.5943	0.5892
1.6762	1.6026	0.5892
1.6701	1.5973	0.5892
1.6912	1.5984	0.5892
1.674	1.5947	0.5892
1.6572	1.5988	0.5892
1.6693	1.5973	0.5892
1.6891	1.5943	0.5892
1.6775	1.5947	0.5892
1.6717	1.5989	0.5892
1.7026	1.5971	0.5892
1.6835	1.5982	0.5892
1.6824	1.5942	0.5892
1.6757	1.5966	0.5892
1.6766	1.596	0.5892
1.696	1.5958	0.5892
1.6729	1.5965	0.5892
1.7032	1.5936	0.5892
1.6605	1.5964	0.5888
1.7103	1.594	0.5888
1.6748	1.5929	0.5888
1.6615	1.5977	0.5888
1.6958	1.598	0.5888
1.6978	1.5952	0.5888
1.6811	1.6031	0.5888
1.6543	1.5997	0.5888
1.6948	1.5931	0.5888
1.6552	1.599	0.5888
1.6886	1.6003	0.5888
1.6892	1.5953	0.5888
1.7039	1.6001	0.5888
1.6807	1.5959	0.5888
1.7123	1.5991	0.5888
1.7012	1.5911	0.5888
1.7002	1.596	0.5887
1.6829	1.5936	0.5887
1.6667	1.5959	0.5887
1.6921	1.5981	0.5887
1.706	1.5986	0.5887
1.7161	1.597	0.5887
1.6804	1.6011	0.5887
1.6558	1.5981	0.5887
1.6731	1.5926	0.5887
1.6721	1.6008	0.5887
1.7264	1.5977	0.5887
1.6929	1.5939	0.5887
1.6701	1.6036	0.5887
1.6891	1.5938	0.5887
1.6861	1.598	0.5887
1.6898	1.5907	0.5887
