# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.7113	1.5966	0.9572
1.6636	1.6002	0.7887
1.6609	1.6046	0.7323
1.686	1.5996	0.7295
1.7027	1.6045	0.676
1.7032	1.6005	0.6757
1.6573	1.6006	0.6757
1.6659	1.6047	0.6757
1.6969	1.6051	0.6748
1.6842	1.5992	0.6741
1.71	1.6036	0.6734
1.6595	1.6033	0.6194
1.6967	1.6065	0.6189
1.6947	1.5967	0.6186
1.6503	1.6029	0.6184
1.6714	1.6097	0.6184
1.6517	1.6038	0.6184
1.6542	1.6007	0.618
1.6591	1.6067	0.6179
1.6804	1.6076	0.6179
1.66	1.6016	0.6173
1.6761	1.5992	0.6173
1.6609	1.6033	0.5633
1.6834	1.5973	0.5633
1.6659	1.6032	0.5631
1.7067	1.6121	0.5631
1.6602	1.606	0.5631
1.7014	1.609	0.5631
1.669	1.6068	0.5631
1.6696	1.6123	0.5626
1.6906	1.608	0.5624
1.7064	1.6099	0.5624
1.6962	1.6039	0.5624
1.6658	1.6023	0.5624
1.677	1.5993	0.5622
1.7254	1.6029	0.5622
1.6666	1.601	0.5618
1.6858	1.6121	0.5618
1.6999	1.603	0.5618
1.69	1.6053	0.5618
1.6849	1.6019	0.5618
1.6842	1.6115	0.5617
1.6639	1.606	0.5617
1.6495	1.6029	0.5617
1.6496	1.6068	0.5617
1.658	1.6064	0.5617
1.693	1.6063	0.5617
1.7017	1.6046	0.5617
1.7236	1.6072	0.5611
1.6502	1.6008	0.507
1.6757	1.6067	0.507
1.6857	1.6052	0.507
1.6763	1.6023	0.5064
1.6758	1.6048	0.5064
1.6495	1.6061	0.5064
1.6922	1.6071	0.5064
1.6779	1.603	0.5061
1.6461	1.6074	0.5061
1.6592	1.6044	0.5061
1.644	1.6045	0.506
1.6506	1.6066	0.506
1.6965	1.6063	0.506
1.6731	1.6069	0.506
1.6851	1.6038	0.506
1.6893	1.61	0.506
1.6718	1.6052	0.5056
1.6661	1.6082	0.5056
1.6792	1.6049	0.5056
1.6872	1.6129	0.5056
1.6983	1.6118	0.5056
1.6713	1.6094	0.5056
1.6291	1.6071	0.5056
1.6675	1.6071	0.5056
1.6816	1.6076	0.5056
1.6928	1.5989	0.5056
1.6568	1.6014	0.5056
1.664	1.6057	0.5055
1.6829	1.6053	0.5055
1.6764	1.6049	0.5055
1.7144	1.6015	0.5055
1.7158	1.6069	0.5055
1.6511	1.6112	0.5055
1.6444	1.6065	0.5055
1.6759	1.6055	0.5055
1.6656	1.6103	0.5055
1.6759	1.608	0.5055
1.6522	1.6064	0.5055
1.7084	1.6053	0.5055
1.6397	1.6063	0.5055
1.7084	1.6115	0.5055
