# INITIAL SIZE IN LINEAGE
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# mother	daughter	initSizeMean	initSizeStd
0.0	0.0	0.7744201000000001	1.1702778228589004e-16
0.0	1.0	0.5798320579999999	0.0011651975951247262
0.0	2.0	0.619106716	0.0019813968096112937
0.0	3.0	0.65149696	0.002731608598349662
0.0	4.0	0.6786104079999998	0.0034671606203501197
0.0	5.0	0.701745996	0.004231810810251304
0.0	6.0	0.721949504	0.0050455140268453645
0.0	7.0	0.7399403999999999	0.0059508677201377935
0.0	8.0	0.7563992039999999	0.006930471986362836
0.0	9.0	0.7717977540000001	0.008235897183207174
0.0	10.0	0.786607888	0.009716814159508128
0.0	11.0	0.801341444	0.011551563311859307
0.0	12.0	0.8164457859999998	0.014030641176244855
0.0	13.0	0.8328135379999999	0.01755952634236015
0.0	14.0	0.851499428	0.023011819450683632
0.0	15.0	0.8754165879999999	0.03315227321591917
0.0	16.0	0.8916855250000001	0.04027349666127732
0.0	17.0	0.8993589233333333	0.024832862458036266
0.0	18.0	0.9319471480000001	0.03550718332299699
0.0	19.0	0.94558045	0.02378649229155496
1.0	1.0	0.5425166533701657	0.0035052878925938068
1.0	2.0	0.5886412878453038	0.003255391203366825
1.0	3.0	0.6261245320441989	0.0033864674635723474
1.0	4.0	0.6570625293922652	0.003786444832000087
1.0	5.0	0.6830662428729282	0.004407874781135404
1.0	6.0	0.705351931160221	0.005130054859769182
1.0	7.0	0.7248320028729283	0.005994566861201759
1.0	8.0	0.7422555498342542	0.006972430334978091
1.0	9.0	0.7582344742541436	0.008111836824228466
1.0	10.0	0.7732050184530386	0.009495935807694773
1.0	11.0	0.7876423599999999	0.011159407879586322
1.0	12.0	0.8020434993370167	0.013273169782689507
1.0	13.0	0.8168777551381217	0.016105281214782323
1.0	14.0	0.8329617528176796	0.020157531993224526
1.0	15.0	0.8516660824309392	0.02680518691904855
1.0	16.0	0.8742059686516854	0.037119844904178585
1.0	17.0	0.8932672926923078	0.042573565134080706
1.0	18.0	0.9078669685714285	0.04512072063646722
1.0	19.0	0.9147551036363635	0.0449006626743066
1.0	20.0	0.9132721944186045	0.04322067945042499
1.0	21.0	0.9323093487500002	0.041355275402667806
1.0	22.0	0.9326751114285715	0.04534112396548546
1.0	23.0	0.9444949333333335	0.032786304507905414
1.0	24.0	0.9917960999999998	0.03923168684171761
2.0	1.0	0.5495305788950277	0.002947956755482399
2.0	2.0	0.5940827640883979	0.00278345200391066
2.0	3.0	0.6303236230939228	0.002962381789729965
2.0	4.0	0.6602835975690606	0.003378221728951267
2.0	5.0	0.6854555794475139	0.003940326675932918
2.0	6.0	0.7070411721546962	0.004587778511624883
2.0	7.0	0.725952638674033	0.0053680367055747935
2.0	8.0	0.7428576963535912	0.0062596149927449775
2.0	9.0	0.7583239035359115	0.007292088035110433
2.0	10.0	0.7727976797790056	0.00850405274970104
2.0	11.0	0.786730576685083	0.010000394357616443
2.0	12.0	0.8005044898342542	0.011874750329927151
2.0	13.0	0.8146296793370165	0.014348783789616439
2.0	14.0	0.8297300711602209	0.017891699351305818
2.0	15.0	0.8469097993370167	0.0235854017039567
2.0	16.0	0.867971418888889	0.03396549807731407
2.0	17.0	0.8895745305325442	0.04053103082754732
2.0	18.0	0.9076943005797101	0.044518634744236285
2.0	19.0	0.9187837631914895	0.04422313705388353
2.0	20.0	0.9236935639285714	0.04032385123408678
2.0	21.0	0.945238536	0.04657843673658034
2.0	22.0	0.9431972253333333	0.0393366256277287
2.0	23.0	0.9476010466666667	0.01599587713821122
2.0	24.0	NaN	NaN
3.0	1.0	0.5558487559116022	0.002630468745155267
3.0	2.0	0.5994319904972375	0.0026986981038036885
3.0	3.0	0.6349846467403314	0.003096493174708889
3.0	4.0	0.6644585829834254	0.0036661276247121717
3.0	5.0	0.6893695755801105	0.004393587100338447
3.0	6.0	0.7108169171270718	0.00518607102742727
3.0	7.0	0.7296961216574585	0.006098297667913518
3.0	8.0	0.7467038535911601	0.007135440936716669
3.0	9.0	0.76237045160221	0.008365605718005127
3.0	10.0	0.7771823754696132	0.00983279523177003
3.0	11.0	0.7915830932596685	0.011636394696052025
3.0	12.0	0.8060501815469615	0.013953077605631983
3.0	13.0	0.8211922857458562	0.01714127286529141
3.0	14.0	0.8378680055248621	0.02194396841588839
3.0	15.0	0.858123920883978	0.03149031270108259
3.0	16.0	0.8775386223391813	0.03616281797198293
3.0	17.0	0.9018446976923079	0.04431401540716157
3.0	18.0	0.913500925321101	0.04612770437165473
3.0	19.0	0.9202538641791046	0.046706236379317013
3.0	20.0	0.9205191188888888	0.04410537478582023
3.0	21.0	0.9295364171428572	0.04974050333919722
3.0	22.0	0.9281017745454545	0.04845018654224901
3.0	23.0	0.9370382314285716	0.04889975521476543
3.0	24.0	0.8957822	0.03379568777419979
3.0	25.0	0.9294713800000001	0.05890892451929503
3.0	26.0	NaN	NaN
3.0	27.0	NaN	NaN
4.0	1.0	0.5608515474033149	0.00226627165500138
4.0	2.0	0.6034007696132597	0.0024135964859498186
4.0	3.0	0.6381390391160221	0.0029077110499603335
4.0	4.0	0.666977345635359	0.0035539471186663593
4.0	5.0	0.6913739635359116	0.0043098962750798865
4.0	6.0	0.7124484236464089	0.005151261319737997
4.0	7.0	0.7309609550276245	0.0061053778353637326
4.0	8.0	0.747694205524862	0.007156004956696654
4.0	9.0	0.7630873689502765	0.0084147647431588
4.0	10.0	0.7776670615469611	0.009911688703332372
4.0	11.0	0.7918482552486187	0.011760448346715233
4.0	12.0	0.8060905417679558	0.014159326644162345
4.0	13.0	0.8209776030939228	0.01740307175232386
4.0	14.0	0.8373912286187843	0.022322216367840472
4.0	15.0	0.8572782608839778	0.03183093907749871
4.0	16.0	0.8780627011560693	0.04018295900756652
4.0	17.0	0.8950096351677852	0.043478537405808884
4.0	18.0	0.907776537413793	0.04049483535475987
4.0	19.0	0.9228248167901237	0.04258404272680359
4.0	20.0	0.9374968204081635	0.046700530852810514
4.0	21.0	0.9372848130434781	0.03965375087931878
4.0	22.0	0.9424041620000001	0.03632407803504011
4.0	23.0	0.955638915	0.04932708513262968
4.0	24.0	NaN	NaN
4.0	25.0	NaN	NaN
5.0	1.0	0.5652448356906078	0.0023107861097088934
5.0	2.0	0.6069735356906077	0.0025717275635142784
5.0	3.0	0.6410998595580111	0.003093562520988784
5.0	4.0	0.6694823542541436	0.0037077063807363984
5.0	5.0	0.693531068839779	0.00442718109285824
5.0	6.0	0.7143203759116022	0.005238800477269889
5.0	7.0	0.7326764969060773	0.00615203584737202
5.0	8.0	0.7492548782320444	0.007214395966199586
5.0	9.0	0.7645823980110497	0.008438351523319947
5.0	10.0	0.7790999075138123	0.009924535708837348
5.0	11.0	0.7932770447513812	0.011753041752560603
5.0	12.0	0.8075699996685084	0.014154482856032172
5.0	13.0	0.8225659288397789	0.017465417494021765
5.0	14.0	0.839219142320442	0.02270900332089674
5.0	15.0	0.8577929102793296	0.02882981680434551
5.0	16.0	0.8790257058139537	0.03704824912957
5.0	17.0	0.9007621874509805	0.04273938473177983
5.0	18.0	0.9144458229357798	0.047599719093337316
5.0	19.0	0.9210729945714285	0.043429195865000936
5.0	20.0	0.9380363772727273	0.04423127732866062
5.0	21.0	0.9299480426666668	0.05685492251670231
5.0	22.0	0.9243187933333332	0.046532854612596056
5.0	23.0	0.9382993733333334	0.0521965951653089
5.0	24.0	0.91123075	0.0720033117410707
5.0	25.0	NaN	NaN
5.0	26.0	NaN	NaN
5.0	27.0	NaN	NaN
5.0	28.0	NaN	NaN
6.0	1.0	0.568981746961326	0.002175144562281916
6.0	2.0	0.6099206749171271	0.0024463936928840655
6.0	3.0	0.6434511620994475	0.002938097230298323
6.0	4.0	0.6713553533701656	0.003569544974510553
6.0	5.0	0.6950458564640885	0.004295289064070162
6.0	6.0	0.7155332034254143	0.005098918855302494
6.0	7.0	0.733650899558011	0.0059833950425708955
6.0	8.0	0.7500318996685084	0.007005035149956217
6.0	9.0	0.7651695839779006	0.008204470820272303
6.0	10.0	0.7795566786740332	0.009632783470844777
6.0	11.0	0.7935715319337017	0.011387452439146203
6.0	12.0	0.8077153022099449	0.013654806275926424
6.0	13.0	0.8225123236464087	0.01678315917292576
6.0	14.0	0.8388889038674036	0.02152875645086751
6.0	15.0	0.8587783932596686	0.03098782977102895
