# DAUGHTER VS D BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# daughter	initD	rejuvenation
1.0	0.1503	4.1261
1.0	0.1501	3.9746
5.0	0.1666	3.9709
1.0	0.1578	3.8286
6.0	0.1601	3.5706
8.0	0.164	3.4379
1.0	0.1478	3.3598
2.0	0.1349	3.0179
3.0	0.1436	2.9614
1.0	0.1441	2.9364
1.0	0.1361	2.8128
2.0	0.1495	2.7261
7.0	0.1573	2.7261
6.0	0.1533	2.7002
4.0	0.1562	2.6983
3.0	0.1483	2.6637
5.0	0.1563	2.6497
3.0	0.149	2.6106
6.0	0.1584	2.5784
2.0	0.1334	2.5703
4.0	0.1537	2.5162
9.0	0.1773	2.4924
1.0	0.1564	2.4222
7.0	0.1584	2.3804
4.0	0.1595	2.3366
8.0	0.1642	2.2942
7.0	0.1743	2.2719
2.0	0.1376	2.2719
4.0	0.1546	2.2719
7.0	0.1556	2.2659
5.0	0.1534	2.2588
2.0	0.1707	2.2217
7.0	0.1623	2.2151
9.0	0.1821	2.1443
6.0	0.165	2.1424
4.0	0.1589	2.136
3.0	0.1583	2.123
3.0	0.1533	2.1153
3.0	0.1725	2.1042
1.0	0.1387	2.1042
7.0	0.1588	2.1042
2.0	0.1436	2.0634
3.0	0.1584	2.063
12.0	0.1854	2.0569
4.0	0.1523	2.0569
6.0	0.1556	2.0263
10.0	0.1703	2.0263
2.0	0.1537	2.0263
8.0	0.1674	2.0251
2.0	0.1478	2.0251
3.0	0.1544	1.9778
2.0	0.1595	1.9658
4.0	0.1527	1.9534
5.0	0.1573	1.9483
4.0	0.1495	1.9483
5.0	0.1502	1.9472
1.0	0.1378	1.9068
9.0	0.1541	1.906
5.0	0.1614	1.906
2.0	0.171	1.9047
5.0	0.1707	1.9043
2.0	0.1502	1.8986
1.0	0.1624	1.8871
4.0	0.1566	1.8871
6.0	0.1882	1.8802
1.0	0.1499	1.8752
1.0	0.1412	1.8704
2.0	0.1417	1.8704
3.0	0.1783	1.8704
6.0	0.1588	1.8266
1.0	0.1506	1.8266
4.0	0.1449	1.825
1.0	0.1447	1.8195
5.0	0.1509	1.7914
5.0	0.1598	1.7479
2.0	0.1512	1.7472
6.0	0.157	1.7472
2.0	0.1711	1.7456
2.0	0.1567	1.7456
5.0	0.1536	1.7299
10.0	0.1524	1.719
4.0	0.1632	1.7135
1.0	0.1331	1.7135
2.0	0.1475	1.7135
3.0	0.1532	1.6678
4.0	0.1459	1.6663
3.0	0.1609	1.6663
4.0	0.1729	1.6512
2.0	0.1552	1.6452
10.0	0.1706	1.6452
5.0	0.1607	1.6408
1.0	0.1409	1.6408
8.0	0.1571	1.6408
8.0	0.1657	1.6366
3.0	0.1522	1.6366
2.0	0.1555	1.6366
13.0	0.1814	1.6357
3.0	0.1596	1.6357
1.0	0.1359	1.589
1.0	0.1517	1.589
3.0	0.1532	1.5884
6.0	0.1556	1.5884
7.0	0.1539	1.5884
1.0	0.1482	1.5884
8.0	0.1716	1.5884
6.0	0.1644	1.5884
5.0	0.1438	1.5872
4.0	0.1529	1.5869
1.0	0.1577	1.5869
5.0	0.158	1.5869
1.0	0.1338	1.5822
2.0	0.1442	1.5726
1.0	0.1732	1.5726
6.0	0.1571	1.5669
4.0	0.1589	1.5669
1.0	0.137	1.5627
8.0	0.1723	1.5627
8.0	0.1616	1.5587
1.0	0.1303	1.5587
6.0	0.1556	1.5587
12.0	0.1558	1.5578
4.0	0.1634	1.5096
2.0	0.1391	1.5096
8.0	0.1638	1.5096
6.0	0.1834	1.5096
5.0	0.1532	1.5089
5.0	0.1908	1.5079
3.0	0.1426	1.5079
2.0	0.1505	1.5079
10.0	0.171	1.5031
6.0	0.155	1.5031
2.0	0.1396	1.4885
1.0	0.1339	1.4885
1.0	0.1576	1.4885
5.0	0.152	1.4846
5.0	0.1582	1.4846
4.0	0.145	1.4807
5.0	0.1761	1.4807
10.0	0.1703	1.4799
10.0	0.1746	1.4799
3.0	0.1475	1.4799
1.0	0.148	1.4799
5.0	0.1667	1.4799
2.0	0.1497	1.4799
3.0	0.1475	1.4799
7.0	0.1737	1.4301
1.0	0.1655	1.4295
3.0	0.1405	1.4285
2.0	0.1504	1.4285
1.0	0.151	1.4285
3.0	0.1713	1.4283
4.0	0.1565	1.4283
3.0	0.1692	1.424
3.0	0.1586	1.424
2.0	0.1443	1.4153
1.0	0.1541	1.4153
3.0	0.1502	1.4102
6.0	0.1759	1.4102
2.0	0.1419	1.4102
3.0	0.1472	1.4102
1.0	0.1491	1.4064
1.0	0.148	1.4064
7.0	0.1833	1.4064
2.0	0.1561	1.4064
2.0	0.1626	1.4028
2.0	0.1696	1.4028
3.0	0.1579	1.4028
3.0	0.1523	1.4028
3.0	0.1665	1.402
4.0	0.1436	1.402
2.0	0.1592	1.402
4.0	0.1627	1.3507
1.0	0.1344	1.3507
4.0	0.1717	1.3507
3.0	0.1639	1.3501
7.0	0.1714	1.3501
4.0	0.1572	1.3501
4.0	0.1582	1.3501
5.0	0.1443	1.3491
4.0	0.1661	1.3491
6.0	0.1699	1.3491
1.0	0.1512	1.3489
4.0	0.1495	1.3449
15.0	0.1634	1.3449
1.0	0.1368	1.3449
4.0	0.173	1.3449
5.0	0.1549	1.3367
12.0	0.1755	1.3367
3.0	0.153	1.3367
2.0	0.1413	1.3367
1.0	0.1592	1.3367
1.0	0.1481	1.3367
3.0	0.1644	1.3367
9.0	0.1705	1.3318
1.0	0.1667	1.3318
1.0	0.1443	1.3318
1.0	0.1362	1.3318
2.0	0.1451	1.3318
4.0	0.1607	1.3283
2.0	0.1452	1.3283
7.0	0.1636	1.3283
8.0	0.1675	1.3283
5.0	0.1674	1.3283
2.0	0.1463	1.3249
14.0	0.1764	1.3249
3.0	0.1431	1.3249
1.0	0.1364	1.3249
1.0	0.1697	1.3241
6.0	0.1625	1.3241
5.0	0.1661	1.3241
3.0	0.1522	1.2712
2.0	0.1404	1.2712
2.0	0.1424	1.2698
1.0	0.1502	1.2698
2.0	0.1882	1.2698
1.0	0.1425	1.2698
3.0	0.1531	1.2698
1.0	0.1791	1.2698
6.0	0.151	1.2696
2.0	0.1577	1.2696
1.0	0.1627	1.2658
1.0	0.1299	1.2658
4.0	0.1671	1.2658
4.0	0.154	1.2658
2.0	0.1643	1.2658
1.0	0.13	1.2581
4.0	0.1508	1.2581
2.0	0.1459	1.2535
4.0	0.1703	1.2535
8.0	0.1814	1.2535
3.0	0.1546	1.2502
2.0	0.1573	1.2502
1.0	0.1671	1.2502
2.0	0.1608	1.2502
1.0	0.1521	1.2469
1.0	0.1342	1.2469
9.0	0.1667	1.2469
8.0	0.1727	1.2469
6.0	0.1676	1.2469
3.0	0.1463	1.2462
3.0	0.1585	1.2462
2.0	0.1445	1.2462
1.0	0.1438	1.1918
6.0	0.1714	1.1918
4.0	0.1659	1.1918
3.0	0.1451	1.1913
3.0	0.1539	1.1913
1.0	0.1694	1.1913
2.0	0.156	1.1913
2.0	0.1607	1.1913
3.0	0.155	1.1904
6.0	0.1666	1.1904
1.0	0.1589	1.1904
4.0	0.1481	1.1904
1.0	0.1621	1.1904
2.0	0.1408	1.1902
2.0	0.1436	1.1902
5.0	0.1612	1.1902
2.0	0.1624	1.1902
1.0	0.1569	1.1902
7.0	0.1592	1.1867
4.0	0.1569	1.1867
5.0	0.159	1.1867
2.0	0.1653	1.1867
1.0	0.1513	1.1795
2.0	0.1655	1.1795
4.0	0.145	1.1795
5.0	0.1694	1.1795
3.0	0.1558	1.1751
4.0	0.1548	1.1751
1.0	0.1505	1.1751
4.0	0.1527	1.172
4.0	0.1582	1.172
12.0	0.1672	1.172
9.0	0.1844	1.172
1.0	0.156	1.172
3.0	0.1501	1.169
2.0	0.143	1.169
7.0	0.162	1.169
8.0	0.1766	1.169
3.0	0.164	1.169
2.0	0.1507	1.169
7.0	0.1616	1.1683
3.0	0.1606	1.1683
1.0	0.1442	1.1683
10.0	0.1691	1.1683
2.0	0.1554	1.1683
1.0	0.1603	1.1683
9.0	0.1825	1.1683
6.0	0.1688	1.1683
1.0	0.1744	1.1683
3.0	0.1387	1.1123
5.0	0.1554	1.1123
3.0	0.1504	1.1123
5.0	0.1509	1.1123
2.0	0.1625	1.1123
7.0	0.1736	1.1123
1.0	0.1767	1.1123
3.0	0.1535	1.1119
4.0	0.1548	1.1119
4.0	0.1623	1.1119
2.0	0.1541	1.1119
2.0	0.1497	1.1119
1.0	0.1544	1.1119
2.0	0.1692	1.1111
1.0	0.147	1.1111
1.0	0.1677	1.1111
3.0	0.1471	1.1111
6.0	0.1616	1.1111
8.0	0.1651	1.1111
3.0	0.1558	1.1111
2.0	0.1446	1.1111
4.0	0.1598	1.1111
3.0	0.1348	1.1109
3.0	0.1604	1.1109
3.0	0.1508	1.1109
2.0	0.1618	1.1109
4.0	0.1659	1.1109
4.0	0.1563	1.1075
