# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# daughter	rls	rejuvenation
1.0	62.0	4.1261
1.0	61.0	3.9746
5.0	59.0	3.9709
1.0	58.0	3.8286
6.0	58.0	3.5706
8.0	57.0	3.4379
1.0	52.0	3.3598
2.0	56.0	3.0179
3.0	56.0	2.9614
1.0	48.0	2.9364
1.0	57.0	2.8128
2.0	45.0	2.7261
7.0	53.0	2.7261
6.0	49.0	2.7002
4.0	53.0	2.6983
3.0	49.0	2.6637
5.0	46.0	2.6497
3.0	49.0	2.6106
6.0	48.0	2.5784
2.0	51.0	2.5703
4.0	42.0	2.5162
9.0	44.0	2.4924
1.0	37.0	2.4222
7.0	45.0	2.3804
4.0	44.0	2.3366
8.0	43.0	2.2942
7.0	40.0	2.2719
2.0	43.0	2.2719
4.0	41.0	2.2719
7.0	44.0	2.2659
5.0	42.0	2.2588
2.0	34.0	2.2217
7.0	40.0	2.2151
9.0	38.0	2.1443
6.0	38.0	2.1424
4.0	41.0	2.136
3.0	41.0	2.123
3.0	39.0	2.1153
3.0	33.0	2.1042
1.0	40.0	2.1042
7.0	42.0	2.1042
2.0	38.0	2.0634
3.0	36.0	2.063
12.0	40.0	2.0569
4.0	39.0	2.0569
6.0	40.0	2.0263
10.0	41.0	2.0263
2.0	37.0	2.0263
8.0	39.0	2.0251
2.0	39.0	2.0251
3.0	38.0	1.9778
2.0	33.0	1.9658
4.0	37.0	1.9534
5.0	37.0	1.9483
4.0	40.0	1.9483
5.0	44.0	1.9472
1.0	38.0	1.9068
9.0	44.0	1.906
5.0	36.0	1.906
2.0	30.0	1.9047
5.0	34.0	1.9043
2.0	41.0	1.8986
1.0	30.0	1.8871
4.0	34.0	1.8871
6.0	31.0	1.8802
1.0	35.0	1.8752
1.0	40.0	1.8704
2.0	37.0	1.8704
3.0	30.0	1.8704
6.0	37.0	1.8266
1.0	36.0	1.8266
4.0	38.0	1.825
1.0	32.0	1.8195
5.0	40.0	1.7914
5.0	39.0	1.7479
2.0	34.0	1.7472
6.0	35.0	1.7472
2.0	28.0	1.7456
2.0	29.0	1.7456
5.0	36.0	1.7299
10.0	45.0	1.719
4.0	33.0	1.7135
1.0	41.0	1.7135
2.0	35.0	1.7135
