# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.3826	1.5773	4.1261
1.3873	1.5781	3.9746
1.3922	1.5758	3.9709
1.3946	1.5779	3.8286
1.3994	1.5781	3.5706
1.3948	1.5766	3.4379
1.3972	1.5806	3.3598
1.3636	1.5776	3.0179
1.3769	1.5779	2.9614
1.3908	1.5804	2.9364
1.3692	1.578	2.8128
1.3835	1.5787	2.7261
1.3869	1.5771	2.7261
1.3891	1.5783	2.7002
1.3832	1.5768	2.6983
1.3789	1.578	2.6637
1.3888	1.5779	2.6497
1.3822	1.5782	2.6106
1.4092	1.5803	2.5784
1.3806	1.5805	2.5703
1.4006	1.5801	2.5162
1.4177	1.5766	2.4924
1.413	1.5817	2.4222
1.4061	1.5798	2.3804
1.411	1.5803	2.3366
1.3995	1.5777	2.2942
1.4222	1.578	2.2719
1.3856	1.5814	2.2719
1.3899	1.5788	2.2719
1.4082	1.5808	2.2659
1.4075	1.5813	2.2588
1.4453	1.5824	2.2217
1.4094	1.5795	2.2151
1.4408	1.5779	2.1443
1.4263	1.5812	2.1424
1.4007	1.5792	2.136
1.3969	1.5788	2.123
1.3925	1.5796	2.1153
1.4451	1.5817	2.1042
1.3844	1.5814	2.1042
1.4013	1.5792	2.1042
1.3951	1.5821	2.0634
1.4175	1.5819	2.063
1.4482	1.5778	2.0569
1.3993	1.5806	2.0569
1.4058	1.5806	2.0263
1.4194	1.5787	2.0263
1.3995	1.5806	2.0263
1.4101	1.5784	2.0251
1.4083	1.5831	2.0251
1.4079	1.5813	1.9778
1.4118	1.5811	1.9658
1.4085	1.5819	1.9534
1.4069	1.5806	1.9483
1.399	1.5811	1.9483
1.3886	1.5792	1.9472
1.3763	1.581	1.9068
1.3894	1.5785	1.906
1.4114	1.5803	1.906
1.4311	1.5806	1.9047
1.432	1.5805	1.9043
1.3865	1.5793	1.8986
1.4264	1.5826	1.8871
1.4237	1.5835	1.8871
1.4813	1.5809	1.8802
1.4114	1.5833	1.8752
1.3836	1.5808	1.8704
1.384	1.5813	1.8704
1.4708	1.5835	1.8704
1.4139	1.5812	1.8266
1.4225	1.585	1.8266
1.3933	1.5816	1.825
1.4078	1.5846	1.8195
1.4101	1.5825	1.7914
1.4144	1.5809	1.7479
1.4066	1.5824	1.7472
1.4054	1.5808	1.7472
1.4424	1.5821	1.7456
1.4223	1.5838	1.7456
1.3954	1.5802	1.7299
1.4019	1.5805	1.719
1.4138	1.5804	1.7135
1.3707	1.5806	1.7135
1.3891	1.581	1.7135
1.4272	1.5853	1.6678
1.4004	1.5828	1.6663
1.4153	1.5816	1.6663
1.4544	1.583	1.6512
1.412	1.5826	1.6452
1.4393	1.5815	1.6452
1.4238	1.5823	1.6408
1.3903	1.5828	1.6408
1.4101	1.5811	1.6408
1.4271	1.5813	1.6366
1.4125	1.5832	1.6366
1.4052	1.5814	1.6366
1.4376	1.5778	1.6357
1.4273	1.5834	1.6357
1.386	1.5831	1.589
1.43	1.5864	1.589
1.4161	1.5837	1.5884
1.4156	1.5827	1.5884
1.4017	1.5807	1.5884
1.4181	1.5853	1.5884
1.4573	1.5841	1.5884
1.4396	1.5837	1.5884
1.4007	1.5828	1.5872
1.4005	1.5817	1.5869
1.4169	1.5831	1.5869
1.4348	1.585	1.5869
1.3811	1.5832	1.5822
1.3914	1.5824	1.5726
1.4597	1.584	1.5726
1.4206	1.5828	1.5669
1.4025	1.5801	1.5669
1.3943	1.5834	1.5627
1.4468	1.5821	1.5627
1.4198	1.5814	1.5587
1.3755	1.5835	1.5587
1.4007	1.5804	1.5587
1.3941	1.5788	1.5578
1.4377	1.584	1.5096
1.4083	1.5862	1.5096
1.4113	1.58	1.5096
1.4919	1.5846	1.5096
1.406	1.582	1.5089
1.4929	1.5812	1.5079
1.3915	1.5825	1.5079
1.3971	1.5816	1.5079
1.4517	1.5834	1.5031
1.4059	1.5814	1.5031
1.4	1.5846	1.4885
1.38	1.5823	1.4885
1.4173	1.5839	1.4885
1.4072	1.5825	1.4846
1.4155	1.5822	1.4846
1.4032	1.5832	1.4807
1.4766	1.5853	1.4807
1.427	1.58	1.4799
1.4436	1.5808	1.4799
1.4008	1.5828	1.4799
1.4113	1.5846	1.4799
1.4329	1.5822	1.4799
1.4148	1.5841	1.4799
1.4171	1.585	1.4799
1.4521	1.5825	1.4301
1.4612	1.5873	1.4295
1.4147	1.5867	1.4285
1.4088	1.5844	1.4285
1.4311	1.5869	1.4285
1.4684	1.586	1.4283
1.4408	1.5867	1.4283
1.4361	1.5825	1.424
1.4236	1.5835	1.424
1.4061	1.5845	1.4153
1.4236	1.5852	1.4153
1.428	1.5864	1.4102
1.4453	1.581	1.4102
1.3952	1.5828	1.4102
1.4043	1.5837	1.4102
1.3982	1.583	1.4064
1.4024	1.5843	1.4064
1.4693	1.5812	1.4064
