# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.74665578	3.4487	4.1261
0.74614526	3.5367	3.9746
0.78826316	3.1588	3.9709
0.76580028	3.4185	3.8286
0.77167126	3.4422	3.5706
0.7816263999999999	3.2378	3.4379
0.74027428	3.6621	3.3598
0.70734574	3.4705	3.0179
0.7295533599999999	3.4586	2.9614
0.7308296599999999	3.5721	2.9364
0.71040886	3.5287	2.8128
0.7446136999999999	3.3244	2.7261
0.76452398	3.2588	2.7261
0.75431358	3.336	2.7002
0.76171612	3.2385	2.6983
0.74155058	3.328	2.6637
0.76197138	3.2361	2.6497
0.7433373999999999	3.3504	2.6106
0.76733184	3.4853	2.5784
0.70351684	3.7179	2.5703
0.75533462	3.3725	2.5162
0.81557598	3.0149	2.4924
0.76222664	3.3679	2.4222
0.76733184	3.3788	2.3804
0.7701397	3.3972	2.3366
0.78213692	3.1384	2.2942
0.8079181799999999	3.0785	2.2719
0.71423776	3.5899	2.2719
0.7576319599999999	3.2404	2.2719
0.7601845599999999	3.4629	2.2659
0.75456884	3.4696	2.2588
0.79872882	3.2855	2.2217
0.77728698	3.2423	2.2151
0.8278284600000001	3.0174	2.1443
0.784179	3.3198	2.1424
0.76860814	3.2468	2.136
0.7670765799999999	3.2227	2.123
0.75431358	3.2681	2.1153
0.8033235	3.2098	2.1042
0.7170456199999999	3.5095	2.1042
0.7683528799999999	3.2681	2.1042
0.7295533599999999	3.4896	2.0634
0.76733184	3.3523	2.063
0.83625204	3.0255	2.0569
0.75176098	3.3546	2.0569
0.7601845599999999	3.3612	2.0263
0.79770778	3.1608	2.0263
0.75533462	3.3004	2.0263
0.7903052399999999	3.1188	2.0251
0.74027428	3.5736	2.0251
0.75712144	3.376	1.9778
0.7701397	3.2248	1.9658
0.7527820199999999	3.4072	1.9534
0.76452398	3.2867	1.9483
0.7446136999999999	3.4278	1.9483
0.74640052	3.3468	1.9472
0.71474828	3.4344	1.9068
0.7563556599999999	3.2708	1.906
0.77498964	3.2258	1.906
0.7994946	3.0833	1.9047
0.79872882	3.1583	1.9043
0.74640052	3.2982	1.8986
0.7775422399999999	3.2301	1.8871
0.7627371599999999	3.4188	1.8871
0.8433993200000001	3.0619	1.8802
0.7456347400000001	3.4719	1.8752
0.72342712	3.4459	1.8704
0.72470342	3.4129	1.8704
0.81812858	3.2183	1.8704
0.7683528799999999	3.3238	1.8266
0.74742156	3.6195	1.8266
0.73287174	3.4433	1.825
0.73236122	3.4994	1.8195
0.74818734	3.5352	1.7914
0.7709054799999999	3.3386	1.7479
0.7489531199999999	3.3753	1.7472
0.7637582	3.2564	1.7472
0.7997498599999999	3.1216	1.7456
0.76299242	3.3039	1.7456
0.75507936	3.2567	1.7299
0.75201624	3.4719	1.719
0.77958432	3.1648	1.7135
0.70275106	3.5003	1.7135
0.7395084999999999	3.319	1.7135
0.75405832	3.497	1.6678
0.73542434	3.4529	1.6663
0.77371334	3.1841	1.6663
0.80434454	3.2135	1.6512
0.75916352	3.2898	1.6452
0.7984735599999999	3.2688	1.6452
0.7732028200000001	3.3213	1.6408
0.7226613399999999	3.4528	1.6408
0.7640134599999999	3.3424	1.6408
0.7859658199999999	3.2306	1.6366
0.7515057199999999	3.394	1.6366
0.7599293	3.2581	1.6366
0.82604164	2.9948	1.6357
0.77039496	3.3185	1.6357
0.70989834	3.5303	1.589
0.7502294199999999	3.5119	1.589
0.75405832	3.3656	1.5884
0.7601845599999999	3.3445	1.5884
0.75584514	3.3276	1.5884
0.74129532	3.5223	1.5884
0.8010261599999999	3.3356	1.5884
0.78264744	3.367	1.5884
0.73006388	3.5497	1.5872
0.75329254	3.2664	1.5869
0.76554502	3.2284	1.5869
0.7663108000000001	3.4555	1.5869
0.70453788	3.52	1.5822
0.73108492	3.3827	1.5726
0.80511032	3.131	1.5726
0.7640134599999999	3.3969	1.5669
0.76860814	3.1841	1.5669
0.7127062	3.6352	1.5627
0.80281298	3.2084	1.5627
0.77550016	3.2765	1.5587
0.69560378	3.5342	1.5587
0.7601845599999999	3.258	1.5587
0.76069508	3.2817	1.5578
0.78009484	3.2563	1.5096
0.71806666	3.6347	1.5096
0.78111588	3.1362	1.5096
0.8311468399999999	3.1747	1.5096
0.75405832	3.3126	1.5089
0.85003608	2.9461	1.5079
0.72700076	3.4271	1.5079
0.7471663	3.2994	1.5079
0.7994946	3.3186	1.5031
0.758653	3.2889	1.5031
0.71934296	3.5572	1.4885
0.70479314	3.5383	1.4885
0.7652897599999999	3.1918	1.4885
0.7509952	3.3491	1.4846
0.76682132	3.2547	1.4846
0.733127	3.5174	1.4807
0.81251286	3.2712	1.4807
0.79770778	3.1125	1.4799
0.80868396	3.1421	1.4799
0.7395084999999999	3.3899	1.4799
0.7407847999999999	3.4215	1.4799
0.7885184199999999	3.1675	1.4799
0.74512422	3.494	1.4799
0.7395084999999999	3.6048	1.4799
0.8063866199999999	3.1311	1.4301
0.7854553	3.2868	1.4295
0.7216403	3.7023	1.4285
0.7469110400000001	3.3067	1.4285
0.7484426	3.5426	1.4285
0.80026038	3.2056	1.4283
0.7624819	3.4699	1.4283
0.79489992	3.0768	1.424
0.76784236	3.2756	1.424
0.73134018	3.4912	1.4153
0.7563556599999999	3.3322	1.4153
0.74640052	3.5538	1.4102
0.81200234	3.0245	1.4102
0.72521394	3.5041	1.4102
0.73874272	3.3961	1.4102
0.74359266	3.2882	1.4064
0.7407847999999999	3.312	1.4064
0.83089158	3.0104	1.4064
0.7614608599999999	3.3831	1.4064
