# DAUGHTER VS D BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# daughter	initD	rejuvenation
1.0	0.1522	1.9174
1.0	0.1528	1.7934
2.0	0.1721	1.7896
2.0	0.1466	1.6437
1.0	0.1427	1.5339
3.0	0.1513	1.5219
4.0	0.1475	1.3951
1.0	0.1505	1.2883
2.0	0.1547	1.2877
2.0	0.1551	1.2643
6.0	0.1622	1.262
3.0	0.163	1.1678
1.0	0.156	1.1678
1.0	0.1399	1.1653
1.0	0.1549	1.1653
1.0	0.1347	1.1595
1.0	0.1446	1.1406
2.0	0.1467	1.038
1.0	0.1542	1.0302
2.0	0.1406	1.0248
7.0	0.1751	1.0226
1.0	0.1702	1.0139
2.0	0.1341	1.0115
3.0	0.163	1.0115
1.0	0.1513	1.0115
1.0	0.1507	1.0096
1.0	0.165	1.0096
1.0	0.1587	1.0096
2.0	0.1501	1.0096
1.0	0.1578	1.0096
2.0	0.1689	1.0096
3.0	0.1726	0.9083
3.0	0.1528	0.9083
1.0	0.1505	0.9083
4.0	0.1693	0.9083
2.0	0.1668	0.9083
2.0	0.1599	0.9063
3.0	0.1621	0.9063
2.0	0.1515	0.9018
1.0	0.1507	0.9018
5.0	0.1659	0.9018
1.0	0.1479	0.9018
1.0	0.1482	0.9018
3.0	0.1606	0.9014
2.0	0.164	0.9014
1.0	0.1448	0.8967
3.0	0.1561	0.8948
2.0	0.1613	0.8948
1.0	0.1522	0.8878
1.0	0.174	0.8878
2.0	0.1373	0.8878
1.0	0.1623	0.8871
1.0	0.136	0.8871
2.0	0.1476	0.8871
1.0	0.1502	0.885
1.0	0.1445	0.885
2.0	0.1653	0.8834
3.0	0.1677	0.8834
2.0	0.1596	0.7785
1.0	0.1424	0.7785
1.0	0.1624	0.7785
3.0	0.1544	0.7785
3.0	0.1802	0.7785
4.0	0.1786	0.7768
2.0	0.1864	0.7768
1.0	0.1733	0.7768
1.0	0.1757	0.7768
3.0	0.1504	0.773
1.0	0.1583	0.773
2.0	0.1637	0.773
5.0	0.1511	0.773
6.0	0.1883	0.773
1.0	0.1626	0.773
4.0	0.1776	0.773
1.0	0.1799	0.773
1.0	0.1698	0.773
4.0	0.1612	0.7726
2.0	0.1671	0.7726
6.0	0.1583	0.7726
1.0	0.1787	0.7726
1.0	0.1568	0.7726
1.0	0.1891	0.7726
1.0	0.1624	0.7726
3.0	0.1607	0.7686
2.0	0.1618	0.7686
1.0	0.1487	0.7686
4.0	0.171	0.7686
1.0	0.1567	0.7686
1.0	0.1486	0.7686
3.0	0.1626	0.767
3.0	0.1544	0.767
1.0	0.1578	0.767
4.0	0.1611	0.767
1.0	0.1632	0.767
2.0	0.152	0.767
2.0	0.1586	0.7609
4.0	0.1484	0.7609
3.0	0.17	0.7609
1.0	0.1576	0.7604
1.0	0.1497	0.7604
1.0	0.139	0.7604
1.0	0.1532	0.7604
2.0	0.1651	0.7604
1.0	0.1841	0.7604
1.0	0.1503	0.7586
1.0	0.159	0.7586
12.0	0.1717	0.7586
4.0	0.1613	0.7586
2.0	0.164	0.7586
1.0	0.178	0.7586
1.0	0.1585	0.7586
2.0	0.1656	0.7586
3.0	0.1653	0.7572
2.0	0.1618	0.7572
4.0	0.1807	0.7572
2.0	0.1423	0.7572
2.0	0.155	0.7572
3.0	0.174	0.7572
1.0	0.1772	0.7572
1.0	0.16	0.6488
6.0	0.1737	0.6488
2.0	0.1669	0.6488
3.0	0.1564	0.6488
3.0	0.1658	0.6488
1.0	0.1615	0.6488
2.0	0.1439	0.6488
1.0	0.146	0.6488
3.0	0.1631	0.6488
1.0	0.1556	0.6488
2.0	0.1574	0.6488
3.0	0.1662	0.6488
3.0	0.1777	0.6488
1.0	0.1753	0.6488
2.0	0.1925	0.6488
1.0	0.1816	0.6488
2.0	0.1461	0.6474
1.0	0.1547	0.6474
1.0	0.1748	0.6474
2.0	0.1854	0.6474
4.0	0.1606	0.6474
1.0	0.1785	0.6474
2.0	0.1788	0.6474
1.0	0.1523	0.6474
2.0	0.1406	0.6441
4.0	0.166	0.6441
1.0	0.1448	0.6441
1.0	0.1526	0.6441
2.0	0.1637	0.6441
3.0	0.1551	0.6441
1.0	0.151	0.6441
1.0	0.1642	0.6441
1.0	0.1848	0.6441
2.0	0.1398	0.6439
1.0	0.1859	0.6439
3.0	0.1566	0.6439
1.0	0.1505	0.6439
2.0	0.1573	0.6439
5.0	0.1704	0.6439
1.0	0.1565	0.6439
1.0	0.1787	0.6439
1.0	0.157	0.6439
3.0	0.1773	0.6439
5.0	0.1622	0.6405
1.0	0.1572	0.6405
1.0	0.1475	0.6405
1.0	0.1569	0.6405
5.0	0.1621	0.6405
2.0	0.1517	0.6405
2.0	0.1555	0.6405
4.0	0.1659	0.6391
1.0	0.1735	0.6391
1.0	0.1489	0.6391
5.0	0.1807	0.6391
2.0	0.1654	0.6391
1.0	0.1779	0.6391
2.0	0.1533	0.6391
1.0	0.1424	0.6391
1.0	0.1687	0.6391
1.0	0.154	0.6391
1.0	0.1605	0.6341
3.0	0.1727	0.6341
1.0	0.1729	0.6341
2.0	0.1827	0.6341
1.0	0.1382	0.6341
1.0	0.1633	0.6341
3.0	0.1863	0.6341
3.0	0.1516	0.6341
2.0	0.1515	0.6341
2.0	0.1597	0.6341
1.0	0.1551	0.6341
3.0	0.1681	0.6341
6.0	0.1685	0.6337
2.0	0.1554	0.6337
3.0	0.1625	0.6337
3.0	0.1703	0.6337
3.0	0.1775	0.6337
1.0	0.1775	0.6337
4.0	0.1553	0.6337
2.0	0.1506	0.6337
3.0	0.1669	0.6337
1.0	0.1412	0.6337
