# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.4438	1.5904	1.9174
1.4392	1.5892	1.7934
1.5033	1.592	1.7896
1.4428	1.5927	1.6437
1.4179	1.5907	1.5339
1.449	1.5915	1.5219
1.4484	1.5923	1.3951
1.4556	1.5954	1.2883
1.4817	1.597	1.2877
1.4481	1.5919	1.2643
1.4795	1.5921	1.262
1.467	1.5916	1.1678
1.4727	1.5955	1.1678
1.4137	1.5932	1.1653
1.4879	1.5984	1.1653
1.4072	1.5919	1.1595
1.4274	1.5918	1.1406
1.4617	1.5959	1.038
1.4417	1.5921	1.0302
1.4224	1.5933	1.0248
1.4866	1.5884	1.0226
1.5227	1.5988	1.0139
1.4058	1.5896	1.0115
1.4825	1.5944	1.0115
1.4823	1.5998	1.0115
1.4926	1.6019	1.0096
1.4815	1.5957	1.0096
1.4601	1.5933	1.0096
1.4996	1.603	1.0096
1.459	1.5935	1.0096
1.509	1.596	1.0096
1.5235	1.5968	0.9083
1.446	1.594	0.9083
1.4493	1.5963	0.9083
1.4916	1.5933	0.9083
1.5003	1.5974	0.9083
1.505	1.6	0.9063
1.5363	1.6043	0.9063
1.4868	1.6005	0.9018
1.4794	1.6005	0.9018
1.5112	1.5969	0.9018
1.4936	1.6034	0.9018
1.4607	1.5979	0.9018
1.4697	1.5945	0.9014
1.5448	1.6059	0.9014
1.4232	1.5926	0.8967
1.5153	1.6038	0.8948
1.4944	1.5984	0.8948
1.5115	1.6059	0.8878
1.5291	1.5996	0.8878
1.4464	1.5974	0.8878
1.4781	1.5967	0.8871
1.4193	1.5963	0.8871
1.4295	1.5932	0.8871
1.4423	1.5955	0.885
1.4408	1.5959	0.885
1.5634	1.6086	0.8834
1.4992	1.5958	0.8834
1.4652	1.5952	0.7785
1.4483	1.601	0.7785
1.5623	1.611	0.7785
1.4917	1.6006	0.7785
1.6141	1.609	0.7785
1.5171	1.5934	0.7768
1.6415	1.6101	0.7768
1.5467	1.6026	0.7768
1.6039	1.6116	0.7768
1.4504	1.5956	0.773
1.4791	1.5988	0.773
1.4924	1.5979	0.773
1.4398	1.5917	0.773
1.553	1.5924	0.773
1.5296	1.6051	0.773
1.5595	1.6002	0.773
1.6558	1.6185	0.773
1.6249	1.6199	0.773
1.5237	1.6025	0.7726
1.5356	1.6034	0.7726
