# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# h	rls	rejuvenation
0.5722208689326113	21.0	1.9174
0.5873048146523996	22.0	1.7934
0.5237918454978803	18.0	1.7896
0.5545604925791481	20.0	1.6437
0.6332661025699361	20.0	1.5339
0.570419926554858	21.0	1.5219
0.5944606720322777	23.0	1.3951
0.5673322803850783	16.0	1.2883
0.4991035683580281	17.0	1.2877
0.5885783534919176	17.0	1.2643
0.5822873824349935	22.0	1.262
0.5719406961673136	16.0	1.1678
0.5671603882437334	16.0	1.1678
0.587130636123456	17.0	1.1653
0.5633910809713747	16.0	1.1653
0.6320342498553091	20.0	1.1595
0.6186449205857889	19.0	1.1406
0.5497476310246351	20.0	1.038
0.5712184316684064	16.0	1.0302
0.6025079337886867	18.0	1.0248
0.5933066344903353	17.0	1.0226
0.4774076679998025	12.0	1.0139
0.6113588611123023	24.0	1.0115
0.5500839086563993	15.0	1.0115
0.5436295844733968	15.0	1.0115
0.5411419792239278	15.0	1.0096
0.591933428387569	12.0	1.0096
0.5511909415988494	15.0	1.0096
0.5575205013667578	16.0	1.0096
0.5510129072087983	15.0	1.0096
0.5280706543463899	14.0	1.0096
0.50471758329755	13.0	0.9083
0.5503257334881515	15.0	0.9083
0.5271093848680055	14.0	0.9083
0.5308763501832808	14.0	0.9083
0.4783621213761629	12.0	0.9083
0.5234478196466026	14.0	0.9063
0.4506201734217282	15.0	0.9063
0.5427857337287937	15.0	0.9018
0.5227916193274603	14.0	0.9018
0.48003374578177727	16.0	0.9018
0.5393349302522192	15.0	0.9018
0.5458637766453743	15.0	0.9018
0.5293152128901103	14.0	0.9014
0.47050975171891607	12.0	0.9014
0.5877208794732737	17.0	0.8967
0.5190831262806873	14.0	0.8948
0.5025677329376227	13.0	0.8948
0.4948237401384036	13.0	0.8878
0.4160705325110793	10.0	0.8878
0.6106188322675937	19.0	0.8878
0.591088416163336	12.0	0.8871
0.5663804012318706	16.0	0.8871
0.5699767056756916	16.0	0.8871
0.6311400006231214	14.0	0.885
0.5667522697168719	16.0	0.885
0.468039724044498	12.0	0.8834
0.5053797359559608	13.0	0.8834
0.6131032136043104	13.0	0.7785
0.6078281414946318	13.0	0.7785
0.4384732719172002	11.0	0.7785
