# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# initSize	totGrowth	rejuvenation
0.7515057199999999	3.3729	1.9174
0.75303728	3.3592	1.7934
0.8023024599999999	3.2166	1.7896
0.73721116	3.4545	1.6437
0.72725602	3.3949	1.5339
0.74920838	3.4238	1.5219
0.7395084999999999	3.5686	1.3951
0.7471663	3.3374	1.2883
0.75788722	3.4171	1.2877
0.7589082599999999	3.2479	1.2643
0.7770317200000001	3.4364	1.262
0.7790737999999999	3.1634	1.1678
0.7612056	3.3124	1.1678
0.7201087399999999	3.3686	1.1653
0.7583977399999999	3.4084	1.1653
0.7068352199999999	3.4879	1.1595
0.73210596	3.384	1.1406
0.73746642	3.5805	1.038
0.75661092	3.216	1.0302
0.72189556	3.4157	1.0248
0.80996026	3.0551	1.0226
0.79745252	3.1285	1.0139
0.70530366	3.5634	1.0115
0.7790737999999999	3.1996	1.0115
0.74920838	3.4115	1.0115
0.7476768199999999	3.4745	1.0096
0.784179	3.085	1.0096
0.76809762	3.1882	1.0096
0.74614526	3.5778	1.0096
0.76580028	3.1977	1.0096
0.7941341399999999	3.1686	1.0096
0.80357876	3.1257	0.9083
0.75303728	3.2342	0.9083
0.7471663	3.2625	0.9083
0.7951551800000001	3.0989	0.9083
0.78877368	3.1134	0.9083
0.77116074	3.3131	0.9063
0.77677646	3.4833	0.9063
0.7497189	3.4306	0.9018
0.7476768199999999	3.3734	0.9018
0.7864763399999999	3.3077	0.9018
0.74052954	3.5357	0.9018
0.74129532	3.3727	0.9018
0.77294756	3.1666	0.9014
0.7816263999999999	3.313	0.9014
0.73261648	3.3235	0.8967
0.7614608599999999	3.4346	0.8948
0.77473438	3.2131	0.8948
0.7515057199999999	3.4425	0.8878
0.8071523999999999	3.0246	0.8878
0.71347198	3.6432	0.8878
0.77728698	3.1171	0.8871
0.7101535999999999	3.4446	0.8871
0.73976376	3.2813	0.8871
0.74640052	3.2428	0.885
0.7318507	3.3828	0.885
0.78494478	3.3651	0.8834
