# REJUVENATION FRACTION IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
0.0	0.0	10.0	0.0	0.0	0.0	0.0
0.0	1.0	10.0	0.8	0.7	0.3	0.1
0.0	2.0	10.0	0.7	0.4	0.2	0.0
0.0	3.0	10.0	0.9	0.7	0.2	0.0
0.0	4.0	10.0	0.6	0.3	0.2	0.0
0.0	5.0	10.0	0.0	0.0	0.0	0.0
0.0	6.0	10.0	0.1	0.0	0.0	0.0
0.0	7.0	9.0	0.0	0.0	0.0	0.0
0.0	8.0	6.0	0.0	0.0	0.0	0.0
0.0	9.0	4.0	0.0	0.0	0.0	0.0
1.0	1.0	89.0	0.5955056179775281	0.47191011235955055	0.20224719101123595	0.02247191011235955
1.0	2.0	89.0	0.5393258426966292	0.4157303370786517	0.1797752808988764	0.033707865168539325
1.0	3.0	89.0	0.43820224719101125	0.3258426966292135	0.11235955056179775	0.0
1.0	4.0	89.0	0.4044943820224719	0.23595505617977527	0.06741573033707865	0.011235955056179775
1.0	5.0	88.0	0.25	0.125	0.011363636363636364	0.0
1.0	6.0	84.0	0.10714285714285714	0.05952380952380952	0.0	0.0
1.0	7.0	78.0	0.038461538461538464	0.02564102564102564	0.0	0.0
1.0	8.0	76.0	0.05263157894736842	0.02631578947368421	0.013157894736842105	0.0
1.0	9.0	70.0	0.0	0.0	0.0	0.0
1.0	10.0	60.0	0.0	0.0	0.0	0.0
1.0	11.0	43.0	0.0	0.0	0.0	0.0
1.0	12.0	29.0	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.0
1.0	13.0	13.0	0.0	0.0	0.0	0.0
1.0	14.0	5.0	0.0	0.0	0.0	0.0
1.0	15.0	4.0	0.0	0.0	0.0	0.0
1.0	16.0	2.0	0.0	0.0	0.0	0.0
1.0	17.0	1.0	NaN	NaN	NaN	NaN
1.0	18.0	1.0	NaN	NaN	NaN	NaN
1.0	19.0	1.0	NaN	NaN	NaN	NaN
1.0	20.0	1.0	NaN	NaN	NaN	NaN
2.0	1.0	89.0	0.5056179775280899	0.42696629213483145	0.21348314606741572	0.011235955056179775
2.0	2.0	87.0	0.5632183908045977	0.3793103448275862	0.13793103448275862	0.022988505747126436
2.0	3.0	87.0	0.42528735632183906	0.26436781609195403	0.05747126436781609	0.011494252873563218
2.0	4.0	85.0	0.25882352941176473	0.10588235294117647	0.03529411764705882	0.0
2.0	5.0	85.0	0.21176470588235294	0.12941176470588237	0.011764705882352941	0.0
2.0	6.0	83.0	0.10843373493975904	0.07228915662650602	0.024096385542168676	0.012048192771084338
2.0	7.0	82.0	0.10975609756097561	0.036585365853658534	0.0	0.0
2.0	8.0	75.0	0.0	0.0	0.0	0.0
2.0	9.0	62.0	0.0	0.0	0.0	0.0
2.0	10.0	49.0	0.0	0.0	0.0	0.0
2.0	11.0	36.0	0.0	0.0	0.0	0.0
2.0	12.0	23.0	0.0	0.0	0.0	0.0
2.0	13.0	9.0	0.0	0.0	0.0	0.0
2.0	14.0	5.0	0.0	0.0	0.0	0.0
2.0	15.0	1.0	NaN	NaN	NaN	NaN
3.0	1.0	85.0	0.7058823529411765	0.5647058823529412	0.3058823529411765	0.023529411764705882
3.0	2.0	85.0	0.6352941176470588	0.38823529411764707	0.18823529411764706	0.011764705882352941
3.0	3.0	83.0	0.5180722891566265	0.3253012048192771	0.04819277108433735	0.0
3.0	4.0	82.0	0.32926829268292684	0.15853658536585366	0.04878048780487805	0.0
3.0	5.0	81.0	0.20987654320987653	0.12345679012345678	0.0	0.0
3.0	6.0	77.0	0.1038961038961039	0.03896103896103896	0.012987012987012988	0.0
3.0	7.0	72.0	0.05555555555555555	0.05555555555555555	0.027777777777777776	0.013888888888888888
3.0	8.0	65.0	0.03076923076923077	0.015384615384615385	0.0	0.0
3.0	9.0	53.0	0.0	0.0	0.0	0.0
3.0	10.0	41.0	0.0	0.0	0.0	0.0
3.0	11.0	22.0	0.0	0.0	0.0	0.0
3.0	12.0	14.0	0.0	0.0	0.0	0.0
3.0	13.0	8.0	0.0	0.0	0.0	0.0
3.0	14.0	3.0	0.0	0.0	0.0	0.0
