# RLS IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	rlsMean	rlsStd
0.0	0.0	7.9	1.1005049346146119
0.0	1.0	10.7	2.2632326929023945
0.0	2.0	9.6	1.2649110640673518
0.0	3.0	10.2	1.4757295747452437
0.0	4.0	9.2	2.440400695696417
0.0	5.0	7.0	1.1547005383792515
0.0	6.0	6.1	1.9692073983655907
0.0	7.0	4.555555555555555	1.5898986690282428
0.0	8.0	4.0	1.2649110640673518
0.0	9.0	2.75	0.9574271077563381
1.0	1.0	11.573033707865168	2.3203038616126346
1.0	2.0	11.303370786516854	2.7609471957596794
1.0	3.0	10.640449438202246	2.040761839759603
1.0	4.0	10.067415730337078	2.96110296100268
1.0	5.0	9.215909090909092	2.5928675983252867
1.0	6.0	8.511904761904763	2.331006544154845
1.0	7.0	8.012820512820513	1.9439789811246109
1.0	8.0	7.2368421052631575	2.4542122758100695
1.0	9.0	6.5285714285714285	2.36349917799631
1.0	10.0	5.633333333333334	1.9394798067791152
1.0	11.0	5.023255813953488	2.0527376852461394
1.0	12.0	4.551724137931035	4.005230570289589
1.0	13.0	3.8461538461538463	2.5444761689508852
1.0	14.0	5.4	2.701851217221259
1.0	15.0	4.0	3.8297084310253524
1.0	16.0	5.5	3.5355339059327378
1.0	17.0	NaN	NaN
1.0	18.0	NaN	NaN
1.0	19.0	NaN	NaN
1.0	20.0	NaN	NaN
2.0	1.0	10.662921348314606	2.392905329134055
2.0	2.0	10.735632183908047	2.4611387519116947
2.0	3.0	9.988505747126437	2.399099893582006
2.0	4.0	9.235294117647058	1.900169533937191
2.0	5.0	9.117647058823529	2.290829360660428
2.0	6.0	8.44578313253012	2.7904585340842685
2.0	7.0	7.634146341463414	2.6411379661232317
2.0	8.0	6.64	2.1538149685892054
2.0	9.0	5.774193548387097	1.987001652863501
2.0	10.0	5.061224489795919	2.0146149680243512
2.0	11.0	4.666666666666667	2.32992949004287
2.0	12.0	4.130434782608695	2.029427770357648
2.0	13.0	3.888888888888889	1.90029237516523
2.0	14.0	3.0	1.0
2.0	15.0	NaN	NaN
3.0	1.0	11.011764705882353	2.1684651014850447
3.0	2.0	10.258823529411766	2.6010663617999823
3.0	3.0	9.867469879518072	2.2073661843116716
3.0	4.0	9.060975609756097	2.257211001561575
3.0	5.0	8.25925925925926	2.212339134139349
3.0	6.0	7.714285714285714	2.3723025837511074
3.0	7.0	7.291666666666667	2.4805582061472586
3.0	8.0	6.369230769230769	2.035384106634043
3.0	9.0	5.754716981132075	2.1022484334759888
3.0	10.0	4.951219512195122	2.2243113486222557
3.0	11.0	4.636363636363637	2.012945118960786
3.0	12.0	4.0	1.7097008285302207
3.0	13.0	3.5	1.6035674514745464
3.0	14.0	3.6666666666666665	1.1547005383792515
3.0	15.0	NaN	NaN
4.0	1.0	10.407407407407407	2.3386843404881397
4.0	2.0	9.8375	2.373075502754211
4.0	3.0	9.1	2.3524832018932407
4.0	4.0	8.883116883116884	2.2241144066916427
4.0	5.0	7.96	2.42977031502646
4.0	6.0	7.114285714285714	2.6732320835005567
4.0	7.0	6.684210526315789	2.1226490755055014
4.0	8.0	6.098039215686274	2.317368351909418
4.0	9.0	5.684210526315789	2.2910550285119706
4.0	10.0	4.5	2.080285126346038
4.0	11.0	4.3125	1.8874586088176875
4.0	12.0	4.2	1.1352924243950935
4.0	13.0	2.75	1.0350983390135313
4.0	14.0	NaN	NaN
5.0	1.0	10.24	2.3643752388887576
5.0	2.0	9.506666666666666	1.961613603115539
5.0	3.0	8.824324324324325	2.6810246870972447
5.0	4.0	8.183098591549296	2.356206752721292
5.0	5.0	7.147058823529412	2.4081001732173313
5.0	6.0	6.873015873015873	2.5557781688032084
5.0	7.0	5.673076923076923	2.365778517521625
5.0	8.0	4.75	2.0615528128088303
5.0	9.0	4.571428571428571	2.357359297422193
5.0	10.0	3.8181818181818183	2.136266922375657
5.0	11.0	5.5	2.6457513110645907
5.0	12.0	4.0	3.605551275463989
5.0	13.0	NaN	NaN
5.0	14.0	NaN	NaN
5.0	15.0	NaN	NaN
5.0	16.0	NaN	NaN
6.0	1.0	9.855072463768115	2.109330548377575
6.0	2.0	9.26086956521739	2.627077183269311
6.0	3.0	8.220588235294118	2.367980361425815
6.0	4.0	7.682539682539683	2.401782918566128
6.0	5.0	7.448275862068965	2.576359554515631
6.0	6.0	6.230769230769231	2.0351363071889343
6.0	7.0	5.951219512195122	3.2011811844395432
