# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
10.0	0.1396	2.408
4.0	0.1007	2.2271
4.0	0.1036	2.1782
11.0	0.1496	1.9965
10.0	0.1411	1.9958
29.0	0.2059	1.9057
7.0	0.1268	1.9051
11.0	0.1476	1.8635
6.0	0.1169	1.861
6.0	0.1144	1.8603
12.0	0.1538	1.86
19.0	0.1686	1.8597
19.0	0.1794	1.818
18.0	0.1952	1.818
6.0	0.1249	1.8174
9.0	0.1314	1.8174
17.0	0.1584	1.8156
13.0	0.1525	1.8146
17.0	0.1748	1.7692
5.0	0.1174	1.769
22.0	0.176	1.7271
10.0	0.1409	1.7271
16.0	0.1631	1.7244
11.0	0.1435	1.7237
9.0	0.14	1.7227
18.0	0.1813	1.6817
12.0	0.1568	1.6817
1.0	0.0598	1.6789
22.0	0.1767	1.6783
14.0	0.1619	1.6783
14.0	0.1693	1.6774
16.0	0.1646	1.634
16.0	0.1774	1.6335
8.0	0.1286	1.5887
7.0	0.115	1.5878
7.0	0.1252	1.5867
8.0	0.1249	1.5453
7.0	0.121	1.5438
1.0	0.0725	1.5373
5.0	0.1065	1.4993
7.0	0.1261	1.4975
6.0	0.118	1.4974
18.0	0.1689	1.4961
5.0	0.1072	1.4961
1.0	0.0776	1.4521
1.0	0.0587	1.4517
15.0	0.1486	1.4507
10.0	0.1532	1.409
6.0	0.1207	1.409
3.0	0.0898	1.409
19.0	0.1753	1.4067
19.0	0.1684	1.4067
14.0	0.1597	1.4067
7.0	0.1213	1.4066
13.0	0.1498	1.4066
4.0	0.1035	1.4063
5.0	0.1081	1.4054
25.0	0.1803	1.3635
6.0	0.1187	1.363
7.0	0.1209	1.3622
1.0	0.0807	1.3617
9.0	0.1359	1.3614
17.0	0.1664	1.3614
11.0	0.151	1.3608
1.0	0.0721	1.3601
10.0	0.1428	1.3565
7.0	0.1279	1.3565
17.0	0.1681	1.3176
6.0	0.1174	1.3163
4.0	0.1111	1.3163
5.0	0.1063	1.316
6.0	0.1089	1.316
3.0	0.0979	1.3159
23.0	0.1797	1.3156
2.0	0.0767	1.3156
16.0	0.175	1.3154
3.0	0.0966	1.3154
9.0	0.1341	1.3154
19.0	0.1808	1.3147
10.0	0.1454	1.3147
15.0	0.1687	1.2726
4.0	0.102	1.2726
6.0	0.1109	1.2722
18.0	0.1864	1.2722
16.0	0.1679	1.2722
6.0	0.1165	1.2714
17.0	0.1625	1.2714
16.0	0.1686	1.2714
18.0	0.1801	1.2709
14.0	0.1624	1.2709
4.0	0.1064	1.2709
5.0	0.1124	1.2706
9.0	0.1354	1.2705
18.0	0.1871	1.2705
9.0	0.1387	1.2705
18.0	0.1699	1.2701
9.0	0.1346	1.2694
13.0	0.1538	1.2694
25.0	0.1931	1.266
8.0	0.1288	1.266
22.0	0.176	1.2272
5.0	0.1155	1.2272
6.0	0.117	1.2272
21.0	0.1814	1.2272
4.0	0.1099	1.2272
16.0	0.193	1.226
16.0	0.1692	1.226
4.0	0.0963	1.226
23.0	0.181	1.226
8.0	0.1337	1.2255
17.0	0.1849	1.2252
15.0	0.1811	1.2252
5.0	0.1168	1.2251
15.0	0.1648	1.2248
20.0	0.1732	1.2248
4.0	0.0969	1.2248
13.0	0.1482	1.2248
14.0	0.1563	1.2208
8.0	0.1306	1.2208
17.0	0.1683	1.1817
12.0	0.1495	1.1813
18.0	0.1799	1.1813
6.0	0.124	1.1801
4.0	0.1081	1.1801
7.0	0.1263	1.1801
3.0	0.0922	1.1799
8.0	0.1392	1.1799
3.0	0.0955	1.1799
10.0	0.1399	1.1797
1.0	0.0712	1.1795
2.0	0.0856	1.1795
11.0	0.1486	1.1795
19.0	0.1697	1.1795
21.0	0.1967	1.1793
3.0	0.0933	1.1793
4.0	0.1011	1.1756
9.0	0.1403	1.1756
13.0	0.1584	1.1363
3.0	0.0895	1.1363
6.0	0.1187	1.1363
10.0	0.1364	1.1359
12.0	0.157	1.1352
7.0	0.1294	1.1348
20.0	0.1798	1.1348
5.0	0.1098	1.1348
12.0	0.1516	1.1345
10.0	0.1476	1.1345
9.0	0.1311	1.1341
17.0	0.1709	1.1341
12.0	0.1568	1.1341
12.0	0.1477	1.1341
10.0	0.134	1.134
5.0	0.1122	1.134
16.0	0.1823	1.134
2.0	0.0927	1.134
3.0	0.0889	1.134
12.0	0.1522	1.134
22.0	0.1919	1.1334
15.0	0.1679	1.1334
10.0	0.1401	1.1334
10.0	0.1415	1.1304
3.0	0.087	1.1304
16.0	0.1911	1.0908
16.0	0.1902	1.0908
1.0	0.0758	1.0908
14.0	0.1657	1.0904
9.0	0.1448	1.0904
15.0	0.1785	1.0898
17.0	0.1519	1.0898
23.0	0.1831	1.0894
17.0	0.1766	1.0894
2.0	0.0895	1.0891
19.0	0.1803	1.0891
3.0	0.0971	1.0891
9.0	0.1405	1.089
15.0	0.1564	1.089
17.0	0.1862	1.0886
18.0	0.1849	1.088
8.0	0.1297	1.088
16.0	0.1679	1.088
7.0	0.1203	1.088
13.0	0.1595	1.0852
5.0	0.1158	1.0852
1.0	0.0748	1.0852
1.0	0.0573	1.0852
1.0	0.076	1.0454
17.0	0.1626	1.0454
14.0	0.1649	1.045
16.0	0.1682	1.045
20.0	0.1783	1.045
4.0	0.0999	1.045
6.0	0.122	1.0444
8.0	0.1321	1.0444
8.0	0.1309	1.0444
17.0	0.181	1.0444
14.0	0.1595	1.0444
13.0	0.1585	1.0444
12.0	0.1509	1.044
19.0	0.1752	1.044
9.0	0.1349	1.044
16.0	0.1695	1.044
15.0	0.1698	1.044
7.0	0.1201	1.0437
5.0	0.1136	1.0437
19.0	0.1802	1.0437
16.0	0.1705	1.0437
6.0	0.1113	1.0437
8.0	0.1369	1.0437
18.0	0.1914	1.0436
20.0	0.1919	1.0436
2.0	0.0868	1.0436
1.0	0.0711	1.0434
13.0	0.1598	1.0434
12.0	0.1517	1.0434
20.0	0.1808	1.0434
8.0	0.1308	1.0434
9.0	0.1322	1.0433
6.0	0.1164	1.0433
1.0	0.058	1.0427
2.0	0.0784	1.0427
12.0	0.154	1.04
6.0	0.1226	1.04
9.0	0.1362	1.04
6.0	0.1168	1.04
5.0	0.1063	1.04
16.0	0.1695	1.04
12.0	0.1532	0.9999
1.0	0.0798	0.9999
5.0	0.1151	0.9999
2.0	0.0753	0.9999
2.0	0.0889	0.9999
8.0	0.136	0.9999
13.0	0.1635	0.9996
13.0	0.1569	0.9996
4.0	0.0971	0.9989
18.0	0.1778	0.9989
11.0	0.1467	0.9989
7.0	0.123	0.9989
5.0	0.1113	0.9989
4.0	0.0989	0.9989
7.0	0.1247	0.9989
7.0	0.1282	0.9986
7.0	0.1209	0.9986
8.0	0.1313	0.9986
6.0	0.1236	0.9986
1.0	0.0744	0.9983
10.0	0.1485	0.9983
3.0	0.1026	0.9983
2.0	0.0841	0.9983
13.0	0.1515	0.9983
8.0	0.1375	0.9983
13.0	0.1611	0.9983
4.0	0.1027	0.9982
2.0	0.0714	0.9982
1.0	0.074	0.9982
13.0	0.1596	0.9982
7.0	0.1187	0.998
18.0	0.1858	0.998
9.0	0.1415	0.998
1.0	0.0713	0.998
5.0	0.1133	0.998
5.0	0.1193	0.9979
21.0	0.1887	0.9979
8.0	0.1276	0.9979
18.0	0.1744	0.9979
5.0	0.1087	0.9979
22.0	0.189	0.9974
8.0	0.1341	0.9974
2.0	0.085	0.9974
2.0	0.079	0.9974
16.0	0.1723	0.9974
21.0	0.2045	0.9974
3.0	0.0927	0.9947
16.0	0.1695	0.9947
3.0	0.0861	0.9947
16.0	0.1661	0.9947
4.0	0.1057	0.9545
5.0	0.1136	0.9545
8.0	0.1282	0.9545
20.0	0.1712	0.9545
1.0	0.0802	0.9545
2.0	0.0823	0.9545
4.0	0.0959	0.9545
10.0	0.1432	0.9545
3.0	0.0965	0.9545
16.0	0.174	0.9545
19.0	0.2042	0.9545
2.0	0.079	0.9545
9.0	0.1344	0.9545
13.0	0.1553	0.9541
4.0	0.1008	0.9541
9.0	0.1373	0.9541
4.0	0.0981	0.9541
9.0	0.1444	0.9541
1.0	0.0733	0.9541
3.0	0.0986	0.9541
1.0	0.0829	0.9541
7.0	0.1286	0.9541
11.0	0.1409	0.9535
19.0	0.1752	0.9535
3.0	0.0956	0.9532
3.0	0.0903	0.9532
13.0	0.1603	0.9532
2.0	0.0861	0.9532
18.0	0.1756	0.9532
8.0	0.131	0.9532
8.0	0.1335	0.9532
13.0	0.1549	0.9532
17.0	0.1866	0.9532
9.0	0.1378	0.953
4.0	0.0968	0.953
6.0	0.115	0.953
4.0	0.0982	0.953
7.0	0.1275	0.953
15.0	0.1629	0.953
20.0	0.1784	0.953
10.0	0.1405	0.9529
5.0	0.1128	0.9529
10.0	0.1432	0.9529
14.0	0.1622	0.9529
1.0	0.0669	0.9529
22.0	0.1865	0.9527
9.0	0.1393	0.9527
3.0	0.0938	0.9527
4.0	0.1088	0.9525
5.0	0.1078	0.9525
3.0	0.0967	0.9525
7.0	0.1304	0.9525
4.0	0.0959	0.9525
8.0	0.1267	0.9525
16.0	0.1704	0.9525
25.0	0.1791	0.9525
14.0	0.1713	0.9525
3.0	0.0944	0.9525
8.0	0.1332	0.952
14.0	0.1551	0.952
12.0	0.1621	0.952
