# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# daughter	rls	rejuvenation
3.0	40.0	1.413
1.0	33.0	0.9407
10.0	33.0	0.9404
14.0	30.0	0.8839
2.0	28.0	0.825
3.0	30.0	0.825
2.0	26.0	0.8233
8.0	29.0	0.8225
13.0	30.0	0.8225
3.0	29.0	0.7661
12.0	28.0	0.7654
5.0	26.0	0.7654
1.0	28.0	0.7645
13.0	27.0	0.7645
4.0	27.0	0.7643
1.0	29.0	0.7641
12.0	26.0	0.7638
10.0	29.0	0.7637
8.0	28.0	0.7637
7.0	29.0	0.7637
7.0	26.0	0.7071
13.0	26.0	0.7071
3.0	25.0	0.7065
10.0	28.0	0.7057
9.0	26.0	0.7057
19.0	31.0	0.7057
8.0	28.0	0.7053
7.0	27.0	0.7053
16.0	28.0	0.7053
1.0	26.0	0.705
2.0	28.0	0.705
6.0	29.0	0.6482
6.0	27.0	0.6482
8.0	24.0	0.6482
7.0	28.0	0.6482
7.0	29.0	0.6482
6.0	27.0	0.6482
6.0	27.0	0.6477
2.0	26.0	0.6477
13.0	24.0	0.6476
14.0	28.0	0.6476
15.0	28.0	0.6469
9.0	28.0	0.6467
8.0	27.0	0.6467
1.0	26.0	0.6467
2.0	24.0	0.6467
7.0	31.0	0.6467
10.0	28.0	0.6466
4.0	29.0	0.6466
3.0	27.0	0.6466
10.0	26.0	0.6463
2.0	29.0	0.6463
6.0	26.0	0.6463
11.0	26.0	0.6463
13.0	25.0	0.6462
6.0	29.0	0.6462
7.0	24.0	0.6462
12.0	27.0	0.6462
6.0	24.0	0.6458
10.0	29.0	0.6458
2.0	26.0	0.6458
9.0	24.0	0.5893
15.0	26.0	0.5893
3.0	24.0	0.5893
3.0	23.0	0.5893
4.0	25.0	0.5893
4.0	28.0	0.5893
9.0	25.0	0.5888
4.0	24.0	0.5888
6.0	26.0	0.5888
1.0	24.0	0.5888
1.0	25.0	0.5888
14.0	26.0	0.5888
11.0	24.0	0.5888
7.0	25.0	0.5888
9.0	24.0	0.5888
7.0	22.0	0.5888
13.0	25.0	0.5888
2.0	26.0	0.5888
10.0	23.0	0.5888
9.0	26.0	0.5881
1.0	25.0	0.5881
7.0	25.0	0.5881
1.0	24.0	0.5881
7.0	27.0	0.5881
9.0	28.0	0.5881
5.0	24.0	0.5881
8.0	25.0	0.5879
1.0	26.0	0.5879
8.0	23.0	0.5879
7.0	24.0	0.5879
2.0	24.0	0.5879
6.0	27.0	0.5879
9.0	27.0	0.5879
7.0	25.0	0.5878
1.0	24.0	0.5878
2.0	24.0	0.5878
12.0	25.0	0.5878
7.0	25.0	0.5878
2.0	28.0	0.5875
13.0	23.0	0.5875
2.0	23.0	0.5875
2.0	25.0	0.5875
13.0	25.0	0.5875
2.0	24.0	0.5875
10.0	26.0	0.5875
15.0	26.0	0.5875
6.0	24.0	0.5875
3.0	23.0	0.5875
9.0	24.0	0.5875
10.0	23.0	0.5875
12.0	24.0	0.5875
13.0	24.0	0.5875
3.0	24.0	0.5875
9.0	27.0	0.5871
5.0	32.0	0.5871
12.0	24.0	0.5871
4.0	25.0	0.5303
13.0	23.0	0.5303
11.0	21.0	0.5303
7.0	25.0	0.5303
7.0	22.0	0.5303
4.0	26.0	0.5303
4.0	23.0	0.5303
4.0	24.0	0.5303
3.0	24.0	0.5303
4.0	26.0	0.5303
12.0	24.0	0.5303
14.0	23.0	0.5303
2.0	23.0	0.5303
6.0	23.0	0.5303
1.0	26.0	0.5303
11.0	22.0	0.5303
1.0	22.0	0.5303
4.0	23.0	0.5303
7.0	23.0	0.5303
5.0	24.0	0.5303
1.0	25.0	0.5303
9.0	24.0	0.5303
3.0	24.0	0.5303
9.0	24.0	0.5303
16.0	26.0	0.5299
7.0	23.0	0.5299
8.0	23.0	0.5299
3.0	24.0	0.5299
1.0	24.0	0.5299
13.0	30.0	0.5299
2.0	24.0	0.5299
8.0	25.0	0.5299
15.0	27.0	0.5299
15.0	26.0	0.5299
3.0	25.0	0.5299
2.0	23.0	0.5299
12.0	22.0	0.5299
17.0	26.0	0.5299
11.0	23.0	0.5299
9.0	26.0	0.5299
6.0	23.0	0.5299
13.0	23.0	0.5299
3.0	24.0	0.5299
4.0	24.0	0.5299
5.0	23.0	0.5299
12.0	23.0	0.5299
6.0	23.0	0.5299
15.0	24.0	0.5299
1.0	22.0	0.5299
6.0	26.0	0.5299
4.0	23.0	0.5299
13.0	26.0	0.5293
12.0	22.0	0.5293
6.0	23.0	0.5293
3.0	22.0	0.5293
11.0	23.0	0.5293
12.0	24.0	0.5293
1.0	25.0	0.5293
12.0	21.0	0.5293
6.0	27.0	0.5293
4.0	22.0	0.5293
7.0	23.0	0.5293
10.0	26.0	0.5293
2.0	23.0	0.5293
2.0	25.0	0.5293
14.0	24.0	0.5291
11.0	25.0	0.5291
13.0	24.0	0.5291
3.0	22.0	0.5291
4.0	22.0	0.5291
6.0	24.0	0.5291
5.0	28.0	0.5291
1.0	23.0	0.5291
9.0	22.0	0.5291
12.0	30.0	0.5291
8.0	24.0	0.5291
3.0	25.0	0.5291
3.0	25.0	0.529
3.0	24.0	0.529
6.0	22.0	0.529
4.0	23.0	0.529
11.0	25.0	0.529
5.0	28.0	0.529
7.0	27.0	0.529
5.0	22.0	0.529
12.0	26.0	0.529
5.0	26.0	0.529
4.0	24.0	0.529
10.0	24.0	0.529
11.0	26.0	0.5288
14.0	26.0	0.5288
10.0	22.0	0.5288
9.0	22.0	0.5288
8.0	25.0	0.5288
6.0	25.0	0.5288
3.0	22.0	0.5288
1.0	25.0	0.5288
12.0	24.0	0.5288
1.0	24.0	0.5288
9.0	25.0	0.5288
13.0	26.0	0.5288
1.0	25.0	0.5288
13.0	25.0	0.5288
5.0	25.0	0.5288
13.0	25.0	0.5287
1.0	23.0	0.5287
15.0	25.0	0.5287
4.0	24.0	0.5287
6.0	24.0	0.5287
9.0	23.0	0.5287
5.0	23.0	0.5287
3.0	25.0	0.5287
9.0	24.0	0.5287
2.0	27.0	0.5287
9.0	23.0	0.5287
4.0	24.0	0.5287
3.0	25.0	0.5287
8.0	24.0	0.5287
3.0	25.0	0.5287
6.0	23.0	0.5287
1.0	24.0	0.5284
7.0	22.0	0.5284
5.0	26.0	0.5284
14.0	23.0	0.5284
5.0	21.0	0.5284
7.0	22.0	0.4714
8.0	23.0	0.4714
1.0	22.0	0.4714
1.0	21.0	0.4714
2.0	25.0	0.4714
1.0	22.0	0.4714
11.0	23.0	0.4714
5.0	23.0	0.4714
9.0	26.0	0.4714
1.0	22.0	0.4714
4.0	22.0	0.4714
15.0	24.0	0.4714
6.0	21.0	0.4714
4.0	24.0	0.4714
11.0	23.0	0.4714
4.0	22.0	0.4714
5.0	23.0	0.4714
13.0	25.0	0.4714
3.0	21.0	0.4714
4.0	22.0	0.4714
11.0	26.0	0.4714
1.0	24.0	0.4714
14.0	27.0	0.4714
11.0	22.0	0.4714
5.0	23.0	0.4714
11.0	23.0	0.4714
3.0	24.0	0.4714
6.0	24.0	0.4714
11.0	23.0	0.4714
9.0	24.0	0.4714
1.0	24.0	0.4714
4.0	21.0	0.4714
5.0	22.0	0.471
9.0	23.0	0.471
2.0	23.0	0.471
7.0	24.0	0.471
10.0	24.0	0.471
3.0	24.0	0.471
10.0	24.0	0.471
2.0	24.0	0.471
3.0	25.0	0.471
1.0	23.0	0.471
2.0	24.0	0.471
9.0	22.0	0.471
13.0	23.0	0.471
12.0	23.0	0.471
3.0	23.0	0.471
5.0	23.0	0.471
8.0	23.0	0.471
4.0	22.0	0.471
2.0	21.0	0.471
7.0	27.0	0.471
3.0	22.0	0.471
1.0	23.0	0.471
11.0	22.0	0.471
10.0	22.0	0.471
10.0	24.0	0.471
1.0	24.0	0.471
15.0	24.0	0.471
5.0	23.0	0.471
14.0	24.0	0.471
7.0	24.0	0.471
18.0	28.0	0.471
15.0	25.0	0.471
5.0	23.0	0.471
1.0	23.0	0.471
8.0	25.0	0.471
12.0	22.0	0.471
1.0	23.0	0.471
11.0	25.0	0.471
9.0	21.0	0.471
6.0	24.0	0.471
8.0	22.0	0.471
11.0	23.0	0.471
9.0	24.0	0.471
1.0	24.0	0.471
6.0	22.0	0.471
9.0	23.0	0.471
12.0	23.0	0.471
5.0	23.0	0.471
4.0	24.0	0.471
1.0	24.0	0.471
11.0	24.0	0.471
9.0	25.0	0.471
2.0	21.0	0.4705
2.0	25.0	0.4705
5.0	25.0	0.4705
1.0	21.0	0.4705
8.0	23.0	0.4705
12.0	24.0	0.4705
2.0	23.0	0.4705
4.0	22.0	0.4705
3.0	24.0	0.4705
1.0	25.0	0.4705
12.0	24.0	0.4705
5.0	23.0	0.4705
3.0	25.0	0.4705
5.0	26.0	0.4705
7.0	23.0	0.4705
9.0	24.0	0.4705
5.0	21.0	0.4705
10.0	21.0	0.4705
10.0	23.0	0.4705
2.0	21.0	0.4705
15.0	24.0	0.4705
4.0	23.0	0.4705
8.0	23.0	0.4705
7.0	23.0	0.4705
10.0	22.0	0.4705
4.0	23.0	0.4705
