# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# h	rls	rejuvenation
0.03224382895617637	40.0	1.413
0.04803770464121699	33.0	0.9407
0.03815895186538561	33.0	0.9404
0.03525743863810466	30.0	0.8839
0.067502303407937	28.0	0.825
0.05826157762119395	30.0	0.825
0.061103275332545524	26.0	0.8233
0.04964801230211124	29.0	0.8225
0.04634709628414455	30.0	0.8225
0.04973277539550844	29.0	0.7661
0.05391481375794165	28.0	0.7654
0.06147904236092198	26.0	0.7654
0.06724911803637229	28.0	0.7645
0.04503049832053406	27.0	0.7645
0.05701765677883893	27.0	0.7643
0.061719610774623165	29.0	0.7641
0.048668710526086886	26.0	0.7638
0.05008037465615896	29.0	0.7637
0.052998474565712196	28.0	0.7637
0.050187640518407274	29.0	0.7637
0.0617080162831484	26.0	0.7071
0.04793767063474594	26.0	0.7071
0.06718662105663246	25.0	0.7065
0.0533685669204278	28.0	0.7057
0.06349697618708643	26.0	0.7057
0.03341969440859498	31.0	0.7057
0.05385423278172709	28.0	0.7053
0.05759736207864069	27.0	0.7053
0.041422156811279025	28.0	0.7053
0.062090179636785585	26.0	0.705
0.06748619356931143	28.0	0.705
0.049870903280876226	29.0	0.6482
0.0576168013814128	27.0	0.6482
0.05571968756839743	24.0	0.6482
0.05368732026965445	28.0	0.6482
0.04935793285109992	29.0	0.6482
0.05816844362040253	27.0	0.6482
0.05677563586074573	27.0	0.6477
0.061666212198689174	26.0	0.6477
0.041555674771458474	24.0	0.6476
0.041364869063139735	28.0	0.6476
0.041417999360956616	28.0	0.6469
0.053686473798522594	28.0	0.6467
0.05840841299931375	27.0	0.6467
0.06029210883887278	26.0	0.6467
0.07321412016207757	24.0	0.6467
0.04262205739471545	31.0	0.6467
0.05400346644795216	28.0	0.6466
0.04999050807840871	29.0	0.6466
0.05714690546118754	27.0	0.6466
0.047604788565788175	26.0	0.6463
0.06215040132281512	29.0	0.6463
0.06300373724171339	26.0	0.6463
0.0479375116164462	26.0	0.6463
0.051973795645143095	25.0	0.6462
0.050035774661216115	29.0	0.6462
0.07429185665307611	24.0	0.6462
0.05788522464436405	27.0	0.6462
0.07480323052425707	24.0	0.6458
0.049996824867043856	29.0	0.6458
0.061337400173465596	26.0	0.6458
0.057102065187797035	24.0	0.5893
