# INITIAL SIZE IN LINEAGE
# original file "wt_unlimCap_noRe_3gen.txt" 
# mother	daughter	initSizeMean	initSizeStd
0.0	0.0	0.8084287000000001	2.340555645717801e-16
0.0	1.0	0.753113858	0.003445852428496218
0.0	2.0	0.762507426	0.0056266031261029085
0.0	3.0	0.771900994	0.008108228082282534
0.0	4.0	0.7815498219999999	0.011120700386166521
0.0	5.0	0.791938904	0.014870072655080096
0.0	6.0	0.803476656	0.02003432375480484
0.0	7.0	0.8173372740000001	0.02814258703789693
0.0	8.0	0.8373751840000001	0.0471911548658666
0.0	9.0	0.83114684	0.02030744165272005
0.0	10.0	0.8501956175	0.02965600137001892
0.0	11.0	0.8655704742857143	0.03180196386236071
0.0	12.0	0.8945364066666666	0.04799069032046391
0.0	13.0	0.84952556	0.015883654772979646
0.0	14.0	0.8709674000000001	0.024186474313400878
0.0	15.0	0.90976692	0.04801195647287035
0.0	16.0	NaN	NaN
1.0	1.0	0.723267076031746	0.01980050971990319
1.0	2.0	0.7345491628571429	0.019562695506021084
1.0	3.0	0.7452234877777778	0.0201244360729168
1.0	4.0	0.7556303974603175	0.021624157119947716
1.0	5.0	0.766122393809524	0.0245905603778339
1.0	6.0	0.77583097696	0.026094821111615738
1.0	7.0	0.7845421747967479	0.023804424126572972
1.0	8.0	0.7966265567479676	0.029624317147888334
1.0	9.0	0.8093932480327867	0.03485304018745617
1.0	10.0	0.8244285684033614	0.045203550161481074
1.0	11.0	0.8312923620560747	0.04384540271323366
1.0	12.0	0.8395651020833332	0.043378217293331384
1.0	13.0	0.851297185952381	0.050225484351364064
1.0	14.0	0.8528629892537313	0.04665631438233561
1.0	15.0	0.8509620231372549	0.03932014834837496
1.0	16.0	0.866321668	0.04719240865254811
1.0	17.0	0.867192646060606	0.04257784228550058
1.0	18.0	0.8798606584	0.0540088419275628
1.0	19.0	0.859207207142857	0.04082226245743377
1.0	20.0	0.8775452538461539	0.04692170798340174
1.0	21.0	0.8796178777777777	0.04478620981644175
1.0	22.0	0.8838580300000002	0.0496764423429114
1.0	23.0	0.883794215	0.04971495687235483
1.0	24.0	0.85603469	0.005595378385935963
