# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# daughter	initD	rejuvenation
3.0	0.1606	1.5288
1.0	0.1564	1.2441
1.0	0.1574	1.2441
2.0	0.1771	1.2441
1.0	0.147	1.236
1.0	0.1433	1.1416
1.0	0.1645	1.1416
1.0	0.1513	1.1416
2.0	0.1641	1.1416
5.0	0.171	1.1178
1.0	0.172	1.1178
4.0	0.1732	1.0986
2.0	0.1633	1.0986
1.0	0.1544	1.0141
1.0	0.1452	1.0141
1.0	0.1389	0.9989
1.0	0.1614	0.9934
1.0	0.1464	0.9781
2.0	0.166	0.9781
2.0	0.1782	0.9781
3.0	0.1738	0.9781
2.0	0.1839	0.9728
1.0	0.1486	0.9728
1.0	0.1568	0.971
4.0	0.1762	0.971
3.0	0.1804	0.9704
2.0	0.1659	0.9613
2.0	0.1879	0.9613
2.0	0.1516	0.8693
1.0	0.1798	0.8562
2.0	0.1563	0.8562
1.0	0.1735	0.8515
2.0	0.1496	0.8515
1.0	0.1551	0.8515
1.0	0.1611	0.8515
2.0	0.1674	0.8515
3.0	0.164	0.8383
1.0	0.1372	0.8383
1.0	0.1455	0.8383
3.0	0.1607	0.8383
2.0	0.1539	0.8383
2.0	0.1608	0.8383
1.0	0.1774	0.8383
1.0	0.1599	0.8383
1.0	0.1654	0.8383
1.0	0.1425	0.8381
2.0	0.1647	0.8381
1.0	0.1595	0.8339
1.0	0.1563	0.8339
3.0	0.185	0.8339
1.0	0.1595	0.8339
4.0	0.1725	0.8339
1.0	0.1542	0.8339
1.0	0.1962	0.8339
2.0	0.1562	0.8323
1.0	0.1651	0.8323
1.0	0.1815	0.8323
1.0	0.1588	0.8318
1.0	0.1485	0.8318
1.0	0.1659	0.8318
1.0	0.1629	0.8294
1.0	0.1602	0.8294
2.0	0.1532	0.824
1.0	0.1546	0.824
1.0	0.1768	0.824
1.0	0.1509	0.824
2.0	0.1838	0.824
2.0	0.1626	0.824
1.0	0.2016	0.7244
1.0	0.1545	0.7244
4.0	0.1739	0.7244
1.0	0.1527	0.7244
1.0	0.1598	0.7244
1.0	0.1838	0.7244
2.0	0.1621	0.7244
2.0	0.169	0.7244
2.0	0.1601	0.7244
2.0	0.15	0.7135
2.0	0.1534	0.7135
2.0	0.1615	0.7135
1.0	0.1809	0.7135
1.0	0.157	0.7135
2.0	0.1765	0.7135
1.0	0.1693	0.7135
1.0	0.1531	0.7096
3.0	0.1717	0.7096
1.0	0.1744	0.7096
3.0	0.1623	0.7096
1.0	0.1463	0.6986
2.0	0.1524	0.6986
1.0	0.1784	0.6986
1.0	0.1448	0.6986
1.0	0.1479	0.6986
2.0	0.1637	0.6986
1.0	0.1423	0.6984
2.0	0.1491	0.6984
1.0	0.1808	0.6984
1.0	0.1575	0.6984
1.0	0.142	0.6984
3.0	0.1732	0.6984
2.0	0.1686	0.6984
4.0	0.1657	0.6949
1.0	0.1585	0.6949
1.0	0.1445	0.6949
1.0	0.161	0.6949
1.0	0.1724	0.6949
2.0	0.1599	0.6949
1.0	0.1704	0.6949
1.0	0.1533	0.6949
2.0	0.1928	0.6949
3.0	0.1648	0.6949
1.0	0.1804	0.6949
1.0	0.173	0.6949
5.0	0.1669	0.6936
1.0	0.1413	0.6936
2.0	0.1625	0.6936
3.0	0.1738	0.6936
3.0	0.1847	0.6936
1.0	0.1896	0.6936
1.0	0.1598	0.6936
1.0	0.1759	0.6936
1.0	0.1693	0.6936
2.0	0.1592	0.6936
3.0	0.167	0.6936
1.0	0.1713	0.6936
1.0	0.1731	0.6936
5.0	0.1655	0.6932
3.0	0.1761	0.6932
1.0	0.1538	0.6932
2.0	0.1799	0.6932
2.0	0.1668	0.6932
1.0	0.166	0.6932
1.0	0.1581	0.6912
1.0	0.1511	0.6912
2.0	0.1709	0.6912
2.0	0.1598	0.6912
2.0	0.1762	0.6912
2.0	0.1816	0.6912
3.0	0.1738	0.6912
1.0	0.1601	0.6867
3.0	0.1838	0.6867
1.0	0.1837	0.6867
1.0	0.204	0.6867
3.0	0.1746	0.5795
4.0	0.1851	0.5795
2.0	0.156	0.5795
1.0	0.1751	0.5795
2.0	0.1534	0.5795
3.0	0.1608	0.5795
1.0	0.1467	0.5795
2.0	0.1597	0.5795
1.0	0.1582	0.5795
2.0	0.1653	0.5795
2.0	0.1549	0.5795
3.0	0.1742	0.5795
3.0	0.1599	0.5708
4.0	0.1668	0.5708
1.0	0.1622	0.5708
2.0	0.1703	0.5708
1.0	0.1619	0.5708
1.0	0.1836	0.5708
