# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.5266	1.5943	1.5288
1.4884	1.5928	1.2441
1.5196	1.5956	1.2441
1.5593	1.5938	1.2441
1.4854	1.5945	1.236
1.4656	1.5954	1.1416
1.5484	1.5977	1.1416
1.5486	1.6037	1.1416
1.5522	1.5993	1.1416
1.539	1.5923	1.1178
1.6126	1.6057	1.1178
1.5289	1.5912	1.0986
1.5824	1.6044	1.0986
1.4947	1.5944	1.0141
1.5173	1.6005	1.0141
1.5065	1.6015	0.9989
1.5286	1.5965	0.9934
1.5536	1.6078	0.9781
1.5889	1.6054	0.9781
1.567	1.5967	0.9781
1.6072	1.6027	0.9781
1.655	1.606	0.9728
1.5144	1.5994	0.9728
1.5222	1.5986	0.971
1.5567	1.5939	0.971
1.5725	1.5953	0.9704
1.5269	1.5943	0.9613
1.6566	1.6044	0.9613
1.4902	1.595	0.8693
1.5918	1.6017	0.8562
1.5197	1.5996	0.8562
1.6357	1.6107	0.8515
1.5418	1.6034	0.8515
1.5413	1.6033	0.8515
1.5364	1.6007	0.8515
1.5553	1.5999	0.8515
1.5909	1.6061	0.8383
1.5006	1.6033	0.8383
1.5122	1.6024	0.8383
1.5759	1.6047	0.8383
1.5001	1.5971	0.8383
1.5687	1.6028	0.8383
1.6324	1.6089	0.8383
1.5398	1.6018	0.8383
1.5587	1.6027	0.8383
1.5252	1.6046	0.8381
1.5729	1.602	0.8381
1.5357	1.6029	0.8339
1.5374	1.6033	0.8339
1.6761	1.6089	0.8339
1.5322	1.601	0.8339
1.5502	1.5957	0.8339
1.5289	1.6007	0.8339
1.7643	1.6182	0.8339
1.5806	1.6088	0.8323
1.5571	1.6026	0.8323
1.6604	1.6093	0.8323
1.5743	1.6072	0.8318
1.5525	1.6071	0.8318
1.5968	1.608	0.8318
1.5491	1.6028	0.8294
1.6066	1.612	0.8294
1.4924	1.5938	0.824
1.5196	1.6004	0.824
1.6121	1.6049	0.824
1.5434	1.6045	0.824
1.5896	1.5976	0.824
1.5689	1.6044	0.824
1.7423	1.6114	0.7244
1.5436	1.6051	0.7244
1.6244	1.6066	0.7244
1.5354	1.6047	0.7244
1.5883	1.609	0.7244
1.7291	1.6219	0.7244
1.5685	1.6059	0.7244
1.5936	1.6057	0.7244
1.5325	1.5995	0.7244
1.5179	1.6024	0.7135
1.5395	1.6038	0.7135
1.5986	1.6097	0.7135
1.6894	1.6172	0.7135
1.5892	1.6119	0.7135
1.5804	1.6007	0.7135
1.597	1.6073	0.7135
1.579	1.6113	0.7096
1.6258	1.609	0.7096
1.5773	1.603	0.7096
1.5165	1.5965	0.7096
1.5514	1.6092	0.6986
1.5495	1.6058	0.6986
1.6954	1.6188	0.6986
1.5577	1.6111	0.6986
1.497	1.6021	0.6986
1.6219	1.6135	0.6986
1.5554	1.612	0.6984
1.5792	1.6126	0.6984
1.6369	1.609	0.6984
1.6085	1.6149	0.6984
1.4691	1.5952	0.6984
1.6071	1.6051	0.6984
1.5928	1.6056	0.6984
1.5673	1.6014	0.6949
1.5513	1.604	0.6949
1.4978	1.601	0.6949
1.558	1.6067	0.6949
1.632	1.6107	0.6949
1.5612	1.6036	0.6949
1.609	1.6101	0.6949
1.5784	1.611	0.6949
1.7295	1.6148	0.6949
1.6043	1.6087	0.6949
1.6457	1.6089	0.6949
1.6384	1.6127	0.6949
1.5138	1.5923	0.6936
1.4955	1.6021	0.6936
1.6048	1.6102	0.6936
1.5695	1.5995	0.6936
1.6154	1.6005	0.6936
1.7524	1.6229	0.6936
1.5512	1.6048	0.6936
1.6493	1.6144	0.6936
1.5528	1.6013	0.6936
1.5696	1.6077	0.6936
1.5897	1.6062	0.6936
1.6804	1.6212	0.6936
1.5732	1.6033	0.6936
1.5193	1.5935	0.6932
1.6254	1.6062	0.6932
1.551	1.6051	0.6932
1.6362	1.6079	0.6932
1.5633	1.6026	0.6932
1.5693	1.6053	0.6932
1.5822	1.6102	0.6912
1.5312	1.605	0.6912
1.5877	1.605	0.6912
1.5488	1.603	0.6912
1.6252	1.6087	0.6912
1.6154	1.6038	0.6912
1.572	1.5999	0.6912
1.5312	1.602	0.6867
1.6247	1.6024	0.6867
1.6823	1.6138	0.6867
1.7643	1.6147	0.6867
1.5922	1.6034	0.5795
1.6687	1.6082	0.5795
1.5645	1.6073	0.5795
1.6076	1.6087	0.5795
1.5949	1.6151	0.5795
1.5661	1.6063	0.5795
1.4814	1.598	0.5795
1.6032	1.6126	0.5795
1.555	1.6078	0.5795
1.5541	1.6037	0.5795
1.54	1.6031	0.5795
1.6063	1.6057	0.5795
1.5162	1.5987	0.5708
1.5656	1.6016	0.5708
1.5506	1.6069	0.5708
1.6206	1.6118	0.5708
1.6013	1.6125	0.5708
1.6378	1.6093	0.5708
1.543	1.6006	0.5708
1.6191	1.6107	0.5708
1.6407	1.6173	0.5708
1.6193	1.6125	0.5708
1.5532	1.6104	0.5677
1.5571	1.6028	0.5677
1.6519	1.6157	0.5677
1.6208	1.6077	0.5677
1.4646	1.5997	0.5677
1.5395	1.6056	0.5677
1.7825	1.6274	0.5677
1.5986	1.6116	0.5677
1.7397	1.6165	0.5677
1.5865	1.615	0.5677
1.5748	1.603	0.5677
1.5155	1.6036	0.5677
1.6031	1.6159	0.5677
1.5695	1.6069	0.5677
1.6981	1.6199	0.5677
1.6415	1.6101	0.5677
1.517	1.6053	0.5589
1.5177	1.6023	0.5589
1.6102	1.6193	0.5589
1.5643	1.6081	0.5589
1.611	1.6064	0.5589
1.5785	1.6124	0.5589
1.6344	1.6033	0.5589
1.5088	1.6037	0.5589
1.5617	1.6086	0.5589
1.5732	1.6108	0.5589
1.6128	1.6105	0.5589
1.7035	1.6179	0.5589
1.6805	1.6144	0.5589
1.5542	1.6014	0.5589
1.6372	1.6144	0.5589
1.8025	1.6266	0.5589
1.8968	1.6323	0.5589
1.5473	1.6032	0.5589
1.5665	1.6083	0.5587
1.5264	1.602	0.5587
1.5235	1.6055	0.5587
1.6983	1.6164	0.5587
1.5306	1.6066	0.5587
1.6611	1.6109	0.5587
1.5262	1.5999	0.5587
1.5332	1.6021	0.5587
1.6078	1.6123	0.5587
1.595	1.6016	0.5587
1.601	1.6154	0.5587
1.5484	1.602	0.5587
1.7282	1.6214	0.5587
1.5146	1.599	0.5559
1.4966	1.603	0.5559
1.6869	1.6177	0.5559
1.5534	1.6133	0.5559
1.5972	1.6162	0.5559
1.5426	1.5977	0.5559
1.5299	1.6023	0.5559
