# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# h	rls	rejuvenation
0.4639362302790179	19.0	1.5288
0.48300147885635114	16.0	1.2441
0.49872713321584733	17.0	1.2441
0.43718432740794594	14.0	1.2441
0.5183784115649632	18.0	1.236
0.5654666505664354	16.0	1.1416
0.4556005105440909	15.0	1.1416
0.4690756748925485	16.0	1.1416
0.43066720595488434	14.0	1.1416
0.4285565974202028	17.0	1.1178
0.371370560484384	12.0	1.1178
0.4636233759416857	15.0	1.0986
0.4250573879667446	14.0	1.0986
0.4810119229390442	16.0	1.0141
0.4923145349697749	17.0	1.0141
0.49101013747505273	17.0	0.9989
0.4571093774091091	15.0	0.9934
0.44368828955554956	15.0	0.9781
0.3713088154693605	12.0	0.9781
0.3475785148904654	11.0	0.9781
0.34740412757379296	14.0	0.9781
0.3408750514292141	11.0	0.9728
0.47457482434828285	16.0	0.9728
0.4312528525787312	14.0	0.971
0.43698573650489714	14.0	0.971
0.38101176669949904	12.0	0.9704
0.45981430178017946	15.0	0.9613
0.30754171301446054	10.0	0.9613
0.4802235676294576	16.0	0.8693
0.37600870154070926	9.0	0.8562
0.49902123958947436	13.0	0.8562
0.30237910410896063	10.0	0.8515
0.46946631501376873	16.0	0.8515
0.4009293848431348	13.0	0.8515
0.4728922253966325	12.0	0.8515
0.3762692603362412	12.0	0.8515
0.3983388227085707	13.0	0.8383
0.4490827681233168	15.0	0.8383
0.4271858593660304	14.0	0.8383
0.4246665242977418	14.0	0.8383
0.5242571403368387	14.0	0.8383
0.44950684187772094	15.0	0.8383
0.371466888862437	9.0	0.8383
0.4718582230547341	12.0	0.8383
0.4430819906465096	11.0	0.8383
0.4474452412614525	15.0	0.8381
0.4277815941340418	14.0	0.8381
0.4425204924478331	11.0	0.8339
0.47035191150550054	12.0	0.8339
0.25380149173480465	11.0	0.8339
0.4725564184633382	12.0	0.8339
0.409005316228129	13.0	0.8339
0.42896990783810274	14.0	0.8339
0.21870855760979793	8.0	0.8339
0.39557343499116904	13.0	0.8323
0.44308705722822944	11.0	0.8323
0.3038375740676194	10.0	0.8323
0.36946268356147693	12.0	0.8318
0.4219691177626455	14.0	0.8318
0.3382829604151802	11.0	0.8318
0.44284377419305715	11.0	0.8294
0.36538955192179645	12.0	0.8294
0.5013183540549374	17.0	0.824
0.498217152063306	13.0	0.824
0.30636385522831233	10.0	0.824
0.4248147293381543	14.0	0.824
0.31159379178992574	10.0	0.824
0.3720870307869882	12.0	0.824
0.17273573584885357	7.0	0.7244
0.4686348763936015	12.0	0.7244
0.3706964074413875	12.0	0.7244
0.46893561343719564	12.0	0.7244
0.36797737660714874	12.0	0.7244
0.21625069356372859	8.0	0.7244
0.4402320063070577	11.0	0.7244
0.34022286070213786	11.0	0.7244
0.40480158808326033	13.0	0.7244
0.49615605523229883	13.0	0.7135
0.4004320098745114	13.0	0.7135
0.3673807411826581	12.0	0.7135
0.3259457872910778	8.0	0.7135
0.4348727246694508	11.0	0.7135
0.4131760946509881	10.0	0.7135
0.4079891428905257	10.0	0.7135
0.36579032266594735	12.0	0.7096
0.33777528220710273	11.0	0.7096
0.37466767605232526	9.0	0.7096
0.5022948284607943	13.0	0.7096
0.394950061394552	13.0	0.6986
0.39842147779040704	13.0	0.6986
0.2598330715432653	9.0	0.6986
0.39315761827925927	13.0	0.6986
0.47112151080924375	12.0	0.6986
0.333995892858891	11.0	0.6986
0.39223887158436815	13.0	0.6984
0.3917482548789349	13.0	0.6984
0.33019548438288976	8.0	0.6984
0.3326375705099695	11.0	0.6984
0.49973230775276034	17.0	0.6984
0.34086257085544225	11.0	0.6984
0.34022031625599813	11.0	0.6984
0.4030759997864891	13.0	0.6949
0.37230241627887956	12.0	0.6949
0.5200141940161016	14.0	0.6949
0.4078451949956463	10.0	0.6949
0.30231448341684564	10.0	0.6949
0.40070204111417324	13.0	0.6949
0.370172016599642	9.0	0.6949
0.36598278322442246	12.0	0.6949
0.2198260293018906	8.0	0.6949
0.368384739889218	12.0	0.6949
0.26516447888951444	9.0	0.6949
0.36869224289179825	9.0	0.6949
0.462153081133346	15.0	0.6936
0.5188453424212918	14.0	0.6936
0.3670027215621532	12.0	0.6936
0.3451939669316204	11.0	0.6936
0.30982221886161365	10.0	0.6936
0.16849694910313984	7.0	0.6936
0.44107651642580076	11.0	0.6936
0.3270294422335276	8.0	0.6936
0.4121378208659248	10.0	0.6936
0.4386302757151857	11.0	0.6936
0.33969234723107156	11.0	0.6936
0.25807370796063595	9.0	0.6936
0.3743643207102966	9.0	0.6936
0.4607317680626475	15.0	0.6932
0.3402333987400599	11.0	0.6932
0.3990867891096193	13.0	0.6932
0.26567040923222496	9.0	0.6932
0.44323592450806343	11.0	0.6932
0.40913343932070906	10.0	0.6932
0.43639313795952667	11.0	0.6912
0.468607412709128	12.0	0.6912
0.4097272805224228	10.0	0.6912
0.47070561041220343	12.0	0.6912
0.37152762847555665	9.0	0.6912
0.37501458755972916	9.0	0.6912
0.3449006322229749	11.0	0.6912
0.4432925952268835	11.0	0.6867
0.3085278459371595	10.0	0.6867
0.2195467565205531	8.0	0.6867
0.11727696875441823	6.0	0.6867
0.41115337693966386	10.0	0.5795
0.30481884844014406	10.0	0.5795
0.36935075935863054	12.0	0.5795
0.32975013578157963	8.0	0.5795
0.43190658209770233	11.0	0.5795
0.4398950366976669	11.0	0.5795
0.5232635786927998	14.0	0.5795
0.33448263148352203	11.0	0.5795
0.40686128237027785	10.0	0.5795
0.41020170265494843	10.0	0.5795
0.4011323383457678	13.0	0.5795
0.3056988516438306	10.0	0.5795
0.4745324863616258	12.0	0.5708
0.3746859417623971	12.0	0.5708
0.37130078602879624	9.0	0.5708
0.36909786262345606	9.0	0.5708
0.4036677032988239	10.0	0.5708
0.28192640388269935	7.0	0.5708
0.42912622155724545	14.0	0.5708
0.3698651366926936	9.0	0.5708
0.3311867381153834	11.0	0.5708
0.36856319194088616	9.0	0.5708
0.4360447474201432	11.0	0.5677
0.4429857811429669	11.0	0.5677
0.36671184295651266	9.0	0.5677
0.282336336584225	7.0	0.5677
0.5214729666403226	14.0	0.5677
0.4083481736057467	10.0	0.5677
0.16729564707148845	7.0	0.5677
0.4043788864526796	10.0	0.5677
0.22487191235889534	6.0	0.5677
0.4013676945482175	10.0	0.5677
0.4111587378706904	10.0	0.5677
0.4698679937010975	12.0	0.5677
0.40084238289397545	10.0	0.5677
0.40785919959177724	10.0	0.5677
0.2591852797146033	9.0	0.5677
0.28162368919169395	7.0	0.5677
0.44017240194331586	11.0	0.5589
0.47113136309843123	12.0	0.5589
0.42813190478175683	11.0	0.5589
0.4067669138577806	10.0	0.5589
0.37293932487747344	9.0	0.5589
0.40347939372755875	10.0	0.5589
0.2686508766260511	9.0	0.5589
0.42578801836569563	14.0	0.5589
0.3680795968926475	12.0	0.5589
0.4357652003104888	11.0	0.5589
0.32872947252667073	8.0	0.5589
0.2788018180822518	7.0	0.5589
0.3004092698763555	10.0	0.5589
0.41208825485653994	10.0	0.5589
0.32675919240884943	8.0	0.5589
0.11476754467609829	6.0	0.5589
0.05695442588700238	5.0	0.5589
0.4010016814313436	13.0	0.5589
0.3684288960917999	12.0	0.5587
0.4714927562809463	12.0	0.5587
0.46813663429416225	12.0	0.5587
0.21850630777105345	8.0	0.5587
0.46708339267186133	12.0	0.5587
0.30262158253323806	10.0	0.5587
0.4735344806512333	12.0	0.5587
0.44317586433173406	11.0	0.5587
0.36847712383642733	9.0	0.5587
0.37611728350236795	9.0	0.5587
0.40126121353076927	10.0	0.5587
0.4434937243885467	11.0	0.5587
0.27743610282423464	7.0	0.5587
0.4308118407947759	14.0	0.5559
0.4702621907512296	12.0	0.5559
0.3256105651353561	8.0	0.5559
0.4334590524598722	11.0	0.5559
0.43092093845038276	11.0	0.5559
0.47598348909028526	12.0	0.5559
0.40186102983149935	13.0	0.5559
0.40990915379294435	10.0	0.5559
0.33502837148402964	11.0	0.5559
0.40695664329147546	10.0	0.5559
0.40899156016842736	10.0	0.5559
0.21987824724248084	8.0	0.5559
0.40169330219010846	13.0	0.5549
0.33083863312518336	8.0	0.5549
0.0562271154135527	5.0	0.5549
0.521653387291268	14.0	0.5549
0.44021801134454125	11.0	0.5549
0.40168631507606695	10.0	0.5549
0.3982225395797197	13.0	0.5549
0.3046442381888648	10.0	0.5549
0.37301830120834695	9.0	0.5549
0.3629867556794177	12.0	0.5549
0.37497907718608875	9.0	0.5549
0.3705956072559006	12.0	0.5549
0.3791287937194496	12.0	0.5549
0.37350094625469454	9.0	0.5549
0.37086211347674675	12.0	0.5545
0.496325143056226	13.0	0.5545
0.39539098027148084	13.0	0.5545
0.39755186465794023	10.0	0.5545
0.4086519700367036	10.0	0.5545
0.3036261875019449	10.0	0.5545
0.43742143926238664	11.0	0.5545
0.40963230152011487	10.0	0.5545
0.36551731762751105	9.0	0.5545
0.4672236293480529	12.0	0.5545
0.3184908218167642	13.0	0.5545
0.36945136142440954	9.0	0.5545
0.37227711810456965	9.0	0.5545
0.3293131150318007	8.0	0.5545
0.2962230403223005	10.0	0.5545
0.32989037682312655	8.0	0.5545
0.3677516855811429	9.0	0.5545
0.3327292658875858	11.0	0.5529
0.3283950311013156	8.0	0.5529
0.49637887443182976	13.0	0.5529
0.4444019929913346	11.0	0.5529
0.32606751563713665	8.0	0.5529
0.42892259815398553	14.0	0.5529
0.281140707917339	7.0	0.5529
0.3294291621954093	8.0	0.5529
0.28247984484941735	7.0	0.5529
0.46859442518443056	12.0	0.5493
0.43003511384624366	14.0	0.5493
0.26205337221340724	9.0	0.5493
0.3294113933184212	8.0	0.5493
0.2196857241389651	8.0	0.5493
0.4642750043563362	12.0	0.5493
0.4693098121374914	12.0	0.5493
0.4029133759220823	10.0	0.5493
0.39974439398131295	13.0	0.5493
0.4046820118418772	10.0	0.5493
0.40581562009843697	10.0	0.5493
0.37043034472504904	9.0	0.5493
0.3992177869935112	13.0	0.5493
0.43845208738982144	11.0	0.5493
0.40956245042350864	10.0	0.5493
0.256239675232457	9.0	0.5493
0.4693730731811446	12.0	0.5493
0.43855381443266794	11.0	0.5493
0.3707762112320518	9.0	0.5493
0.3703664702606886	9.0	0.5493
0.218675557042412	6.0	0.5493
0.365842376914783	9.0	0.5493
0.3724388085536744	9.0	0.5493
0.3753081878686593	12.0	0.5493
0.3744821393119207	12.0	0.5493
0.2789966267583812	7.0	0.5493
0.2201511802618679	6.0	0.5493
0.4385049435831853	11.0	0.4346
0.3332024805444891	11.0	0.4346
0.27866452939557323	7.0	0.4346
0.40893728391870504	10.0	0.4346
0.322882674833074	8.0	0.4346
0.4942975332416051	13.0	0.4346
0.37251742777060803	12.0	0.4346
0.4063383923552558	10.0	0.4346
0.37145191974099817	9.0	0.4346
0.28006208469669774	7.0	0.4346
0.36791208791208796	9.0	0.4346
0.3163426459770573	8.0	0.4346
0.32031680988424965	8.0	0.4346
0.2772585866362093	7.0	0.4346
0.36260491435950015	9.0	0.4346
0.36948938435001183	9.0	0.4346
0.158584973093989	5.0	0.4346
0.40831186377507045	10.0	0.4281
0.36773430504546517	9.0	0.4281
0.15683395604467762	5.0	0.4281
0.3335475267332038	11.0	0.4281
0.470268820739596	12.0	0.4281
0.22572735186297707	6.0	0.4281
0.3931246832857994	13.0	0.4281
0.4428109070856108	11.0	0.4281
0.43738231902888525	11.0	0.4281
0.4378796691726517	11.0	0.4281
0.43672331045140883	11.0	0.4281
0.37047337564804494	9.0	0.4281
0.36544660011182223	9.0	0.4281
0.43737883264156285	11.0	0.4281
0.41873343488506	7.0	0.4281
0.4711797883119895	12.0	0.4281
0.4008744493098904	10.0	0.4281
0.3301937925774231	8.0	0.4281
0.3246947138650358	8.0	0.4281
0.33335238699016306	8.0	0.4281
0.22040934485722477	6.0	0.4281
0.3607995691570851	12.0	0.4258
0.40643617070103455	10.0	0.4258
0.404689134303218	10.0	0.4258
0.3222688956558928	8.0	0.4258
0.2256808158263518	6.0	0.4258
0.3977807962866343	10.0	0.4258
0.4098267251918384	10.0	0.4258
0.34686706615681845	14.0	0.4258
0.4047755967804608	13.0	0.4258
0.36679597865084496	9.0	0.4258
0.33883528327227647	11.0	0.4258
0.370452672064711	9.0	0.4258
0.3692431995690815	9.0	0.4258
0.15892722979499835	5.0	0.4258
0.46734416008477403	12.0	0.4258
0.4687645511506131	12.0	0.4258
0.4043911786677059	10.0	0.4258
0.42017983159664823	7.0	0.4258
0.27817969588284003	7.0	0.4258
0.15885209950623597	5.0	0.4258
0.43944948858923144	11.0	0.4258
0.26109015873601343	9.0	0.4258
0.36341425884229733	9.0	0.4258
0.4372930003164726	11.0	0.4258
0.37312436733820614	9.0	0.4258
0.4614335675554272	8.0	0.4258
0.2763515790583308	7.0	0.4258
0.27434842673845	7.0	0.4258
0.3033580240298967	10.0	0.4258
0.4385244347445855	11.0	0.4192
0.4061565649772022	10.0	0.4192
0.36749894093220514	9.0	0.4192
0.26040787198192245	9.0	0.4192
0.31875797692634944	8.0	0.4192
0.276789816314066	7.0	0.4192
0.436952832194193	11.0	0.4192
0.3328096561756552	11.0	0.4192
0.44324522775138314	11.0	0.4192
0.34013731696550165	11.0	0.4192
0.36368852654983624	9.0	0.4192
0.3646590450232183	9.0	0.4192
0.32533498397902705	8.0	0.4192
0.32773431229903327	8.0	0.4192
0.4599275323564018	8.0	0.4192
0.2715440383527125	7.0	0.4192
0.283305422509952	7.0	0.4192
0.16974720151806813	7.0	0.4192
0.43433617682791414	11.0	0.4192
0.22104379124175164	6.0	0.4192
0.42810170039651807	11.0	0.4192
0.4436665096883857	11.0	0.4192
0.4372040694157531	11.0	0.4192
0.43488186043150034	11.0	0.4192
0.4094809794026254	10.0	0.4192
0.2723210240705617	7.0	0.4192
0.3627035153376196	9.0	0.4192
0.26295560973539384	9.0	0.4192
0.21570578250797076	6.0	0.4192
0.3723695063617238	9.0	0.4192
0.2622875403517275	9.0	0.4192
0.27977681050097847	7.0	0.4192
0.30022054556006966	10.0	0.4192
0.4724102222715338	12.0	0.4191
0.37096148384593536	12.0	0.4191
0.3626953717952744	12.0	0.4191
0.37962467781562004	12.0	0.4191
0.4414353231203762	11.0	0.4191
0.334132182542961	8.0	0.4191
0.2250789577575997	6.0	0.4191
0.46973709905775524	12.0	0.4191
0.3681535467997197	9.0	0.4191
0.2769729918904232	7.0	0.4191
0.41921308114129613	14.0	0.4191
0.44419853864797026	11.0	0.4191
0.3251717247089369	8.0	0.4191
0.1586467024802835	5.0	0.4191
0.4660042346273367	12.0	0.4191
0.47386381786684034	12.0	0.4191
0.3713465542845995	12.0	0.4191
0.36332137854360025	9.0	0.4191
0.32775720413376924	8.0	0.4191
0.31983454338546247	8.0	0.4191
0.40857362374917844	10.0	0.4191
0.4109539136930838	10.0	0.4191
0.4544932754054663	15.0	0.4191
0.2584713255453508	9.0	0.4191
0.159428537159078	5.0	0.4191
0.4362571302405019	11.0	0.4191
0.37080081523089925	9.0	0.4191
0.34037811657598005	11.0	0.4191
0.33412287126934753	11.0	0.4191
0.22552216392147942	6.0	0.4191
0.43813245088386615	11.0	0.4191
0.4083100539216142	10.0	0.4191
0.2992249349740989	10.0	0.4191
0.3071763797037639	10.0	0.4191
0.2208482648057337	6.0	0.4191
0.11723080319480254	6.0	0.4191
0.33746990871080856	11.0	0.4191
0.27847714412120256	7.0	0.4191
0.3726145628835712	9.0	0.4191
0.2725511785971621	7.0	0.4191
0.27897988333493445	7.0	0.4191
0.44015960982873686	11.0	0.4169
0.3276439714546511	8.0	0.4169
0.32699706458914346	8.0	0.4169
0.30003161833160596	10.0	0.4169
0.4929163034971996	13.0	0.4169
0.401253766494649	13.0	0.4169
0.4332575007526357	11.0	0.4169
0.4382073463539238	11.0	0.4169
0.36806837606837606	9.0	0.4169
0.3720029725818438	9.0	0.4169
0.36701838914317825	9.0	0.4169
0.3751525065439898	9.0	0.4169
0.3011155154874242	10.0	0.4169
0.26865539672207117	7.0	0.4169
0.16930519376960287	7.0	0.4169
0.15919918164547714	5.0	0.4169
0.45085179652267837	15.0	0.4169
0.4495685235034518	15.0	0.4169
0.41163871405765445	10.0	0.4169
0.4036845679626713	13.0	0.4169
0.33597523403137197	11.0	0.4169
0.32807475884244375	8.0	0.4169
0.32965706686376356	8.0	0.4169
0.2232106704055793	6.0	0.4169
0.4348349040803067	11.0	0.4169
0.44167573665349985	11.0	0.4169
0.4671730823195391	12.0	0.4169
0.3755953329438218	9.0	0.4169
0.3237738234449369	8.0	0.4169
0.4772883494662039	16.0	0.4169
0.4397142051005163	11.0	0.4169
0.3627426053055343	9.0	0.4169
0.4099545466991593	10.0	0.4169
0.27111235269355405	7.0	0.4169
0.15737531489477058	5.0	0.4169
0.425942733842518	14.0	0.4169
0.39547017305704535	10.0	0.4169
0.40667535443862757	10.0	0.4169
0.40156154592148263	10.0	0.4169
0.22123692859276964	6.0	0.4169
0.402219605324198	10.0	0.4169
0.41137134942764897	10.0	0.4169
0.3660731835676197	9.0	0.4169
0.39412223724755596	10.0	0.4169
0.4407537707249523	11.0	0.4169
0.322393237664235	8.0	0.4169
0.2180794031547818	8.0	0.4169
0.466167628425003	12.0	0.4169
0.4015063731170335	13.0	0.4169
0.36701007603487423	9.0	0.4169
0.37191403129323275	9.0	0.4169
0.2217395782216487	6.0	0.4169
0.22394833461316946	6.0	0.4169
0.26962272005985316	7.0	0.4169
0.4080053803889382	10.0	0.4161
0.40387279019066247	10.0	0.4161
0.4701263471285862	12.0	0.4161
0.40762526340701905	10.0	0.4161
0.4051400503962313	10.0	0.4161
0.3726396898171176	9.0	0.4161
0.3673852118760141	12.0	0.4161
0.3200373031569987	8.0	0.4161
0.22133813830957602	6.0	0.4161
0.22157560049425873	6.0	0.4161
0.40648086008270845	13.0	0.4161
0.4422184026940636	11.0	0.4161
0.32878082846980883	8.0	0.4161
0.22465333461493703	8.0	0.4161
0.43305862852279287	11.0	0.4161
0.402206228949579	13.0	0.4161
0.405915022857066	10.0	0.4161
0.3600973469593476	9.0	0.4161
0.37211555061093743	9.0	0.4161
0.4062173485271906	10.0	0.4161
0.3161711872412268	8.0	0.4161
0.2777372070140942	7.0	0.4161
0.27787236123974984	7.0	0.4161
0.36128449601828805	9.0	0.4161
0.15856859798667533	5.0	0.4161
0.22214349604526587	8.0	0.4161
0.4100475591250601	10.0	0.4159
0.43788782028297885	11.0	0.4159
0.44120929849631574	11.0	0.4159
0.44751789035202894	11.0	0.4159
0.3404161541160223	11.0	0.4159
0.40540998625744396	10.0	0.4159
0.36937082393540416	9.0	0.4159
0.3719076477408124	9.0	0.4159
0.3063324218381669	5.0	0.4159
0.05646302006496261	5.0	0.4159
0.4737160808036099	12.0	0.4159
0.4318821871603338	14.0	0.4159
0.3303590871049241	11.0	0.4159
0.2779885952584288	7.0	0.4159
0.394175255236997	13.0	0.4159
0.3671672301281546	9.0	0.4159
0.3274627550678376	8.0	0.4159
0.441758763590074	11.0	0.4159
0.47208894174385735	12.0	0.4159
0.21763986013986014	8.0	0.4159
0.40860174514996384	10.0	0.4159
0.3252936942495052	8.0	0.4159
0.3217252994011976	8.0	0.4159
0.4673483088982437	12.0	0.4159
0.30859595778930415	10.0	0.4159
0.4196658676069935	7.0	0.4159
0.15640818045983823	5.0	0.4159
0.05763525136124368	5.0	0.4159
0.3661494086496962	12.0	0.4159
0.260690322247421	9.0	0.4159
0.3300180891344073	8.0	0.4159
0.1517306209930625	5.0	0.4159
0.37142619068221655	9.0	0.4147
0.406518694699916	10.0	0.4147
0.3677992487762576	12.0	0.4147
0.401766569962062	10.0	0.4147
0.4075862100122431	10.0	0.4147
0.5182285447658378	14.0	0.4147
0.4059253877528498	10.0	0.4147
0.4026206035194148	10.0	0.4147
0.40891095336508226	10.0	0.4147
0.3297644112468984	8.0	0.4147
0.3404613025011798	11.0	0.4147
0.27538324816707394	7.0	0.4147
0.1572350652323186	5.0	0.4147
0.4004959271065501	13.0	0.4147
0.3709910545320889	9.0	0.4147
0.3714791455989422	9.0	0.4147
0.3643715732925963	9.0	0.4147
0.4286089812429621	14.0	0.4147
0.4304643180179317	14.0	0.4147
0.40464116264934546	10.0	0.4147
0.2766877049286556	7.0	0.4147
0.27714090573920613	7.0	0.4147
0.2252802604502596	6.0	0.4147
0.39525523549721153	13.0	0.4147
0.3672140188071083	9.0	0.4147
0.263209990899892	9.0	0.4147
0.32952160200831165	8.0	0.4147
0.36806056583263597	9.0	0.4147
0.2730906301610515	7.0	0.4147
0.17039718996511816	7.0	0.4147
0.11480106905687244	6.0	0.4147
0.33543995906164825	11.0	0.412
0.3993373904878329	10.0	0.412
0.3005222488675726	10.0	0.412
0.2980042963065623	10.0	0.412
0.2617034813593487	9.0	0.412
0.36452067812022143	12.0	0.412
0.4709776483123807	12.0	0.412
0.43529795098189406	11.0	0.412
0.44164454477706666	11.0	0.412
0.3640794900637421	9.0	0.412
0.3257647669878569	8.0	0.412
0.15641241425037614	5.0	0.412
0.4339322472816342	14.0	0.412
0.365509737303755	12.0	0.412
0.2596018043000592	9.0	0.412
0.27424088627188004	7.0	0.412
0.40732286216082525	10.0	0.412
0.41241904552673614	10.0	0.412
0.36149589972421947	9.0	0.412
0.3352122585211212	11.0	0.412
0.43877928516546433	11.0	0.412
0.2977812256211566	10.0	0.412
0.5230026485699457	14.0	0.412
0.40467797107563064	10.0	0.412
0.37785370460759454	12.0	0.412
0.47727775969832287	16.0	0.412
0.47457232856796705	16.0	0.412
0.3238135253484643	8.0	0.412
0.44292917106677404	11.0	0.412
0.4053652905782479	10.0	0.412
0.2954173436186477	10.0	0.412
0.3630305274140891	9.0	0.412
0.27851707421004596	7.0	0.412
0.3663699889665318	9.0	0.412
0.3694799904145698	9.0	0.412
0.4047587590338919	13.0	0.412
0.21544096190085227	8.0	0.412
0.2175412663217541	6.0	0.412
0.22091717360786153	6.0	0.412
0.327407022394833	8.0	0.2898
0.4961536371088708	9.0	0.2898
0.36669397458757014	9.0	0.2898
0.40749039225172756	10.0	0.2898
0.2242231355561443	6.0	0.2898
0.11331260810352657	6.0	0.2898
0.494923923028925	9.0	0.2898
0.22098053135678875	6.0	0.2898
0.2219554281703322	6.0	0.2898
0.1548601343959994	5.0	0.2898
0.5212259675655104	14.0	0.2898
0.3724062995223287	9.0	0.2898
0.30385720037578845	5.0	0.2898
0.15682587339838552	5.0	0.2898
0.4723673224281959	12.0	0.2898
0.470712891570152	12.0	0.2898
0.4021548282944716	13.0	0.2898
0.3261495286752536	8.0	0.2898
0.32537401167898294	8.0	0.2898
0.3649250660872285	12.0	0.2898
0.4062412118712387	10.0	0.2898
0.3966462516542316	10.0	0.2898
0.45839281528988146	8.0	0.2898
0.3238290612860567	8.0	0.2898
0.32366622649454896	8.0	0.2898
0.2817570241392956	7.0	0.2898
0.13052983756763312	3.0	0.2898
0.40066767447719825	10.0	0.2898
0.15589916275888374	5.0	0.2898
0.3708218626740723	9.0	0.2898
0.08147655588823063	4.0	0.2898
0.4601620336914454	8.0	0.2854
0.32741603412550746	8.0	0.2854
0.39346013036878297	10.0	0.2854
0.5299011203231793	10.0	0.2854
0.366759485701833	9.0	0.2854
0.36514748376391154	6.0	0.2854
0.22211684600887593	6.0	0.2854
0.40487011167967735	10.0	0.2854
0.3641536457070438	9.0	0.2854
0.057487963292080016	5.0	0.2854
0.39434599345320837	10.0	0.2854
0.46017714493482054	8.0	0.2854
0.3277503114294612	8.0	0.2854
0.4609011785600912	12.0	0.2854
0.3666998077815338	12.0	0.2854
0.4440563958200377	11.0	0.2854
0.40763298854820834	10.0	0.2854
0.41531644973947646	7.0	0.2854
0.2801501859757217	7.0	0.2854
0.3075398919972391	5.0	0.2854
0.36647685357868126	9.0	0.2854
0.37016902402257934	9.0	0.2854
0.42954469316278365	11.0	0.2854
0.3644602256823653	9.0	0.2854
0.36900908459623044	9.0	0.2854
