# INITIAL DAMAGE IN LINEAGE
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# mother	daughter	initDMean	initDStd
0.0	0.0	0.17450000000000002	2.925694557147251e-17
0.0	1.0	0.15585	0.001981722034550309
0.0	2.0	0.16158999999999998	0.003416121907790894
0.0	3.0	0.16775	0.0051342531643419715
0.0	4.0	0.17473	0.0075863986478726785
0.0	5.0	0.18355	0.011621746856647673
0.0	6.0	0.19836	0.022576989268820687
0.0	7.0	0.1998	0.02174948275247023
0.0	8.0	0.19295	0.005013648039767717
0.0	9.0	0.20665	0.008988325761786787
0.0	10.0	0.228	0.027435743110038043
1.0	1.0	0.14689655172413793	0.010230704450453354
1.0	2.0	0.15293218390804597	0.011479653327689129
1.0	3.0	0.1580697674418605	0.01003413081047636
1.0	4.0	0.1644406976744186	0.012514926409569324
1.0	5.0	0.17068	0.013832353378944597
1.0	6.0	0.17653048780487804	0.01336309353760989
1.0	7.0	0.18275324675324678	0.013127027005537133
1.0	8.0	0.19192499999999998	0.01664031038104352
1.0	9.0	0.19736909090909088	0.01695413063104521
1.0	10.0	0.20363333333333336	0.017559003288661574
1.0	11.0	0.2040190476190476	0.012609108574662171
1.0	12.0	0.21120833333333333	0.012615175445278263
1.0	13.0	0.216575	0.013531044551943006
1.0	14.0	NaN	NaN
2.0	1.0	0.15024588235294115	0.010609660388411261
2.0	2.0	0.15622	0.01179233810977442
2.0	3.0	0.16179761904761905	0.012597762052070865
2.0	4.0	0.1666926829268293	0.010635948598483422
2.0	5.0	0.17333209876543212	0.01268728524114294
2.0	6.0	0.18140750000000005	0.015649659477833755
2.0	7.0	0.18775972222222223	0.016198405935502737
2.0	8.0	0.19304915254237293	0.015165709652681375
2.0	9.0	0.19786829268292683	0.016837776560822845
2.0	10.0	0.20192222222222223	0.01847468815877828
2.0	11.0	0.20470000000000002	0.017424336429258933
2.0	12.0	0.21621818181818184	0.024487662942053824
2.0	13.0	0.20926	0.02186122137484546
2.0	14.0	0.21416666666666664	0.02831418961110018
2.0	15.0	NaN	NaN
2.0	16.0	NaN	NaN
2.0	17.0	NaN	NaN
3.0	1.0	0.15294444444444444	0.00956352445492769
3.0	2.0	0.1587493827160494	0.01051791475836335
3.0	3.0	0.16503086419753088	0.012775696086469307
3.0	4.0	0.16980384615384617	0.011469161840634795
3.0	5.0	0.17559599999999997	0.012011598448886697
3.0	6.0	0.18275138888888887	0.014133009936839512
3.0	7.0	0.18997121212121212	0.014318882263549387
3.0	8.0	0.1970490566037736	0.016723183155790616
3.0	9.0	0.20172222222222225	0.018572192902464403
3.0	10.0	0.20206818181818179	0.013140464091378073
3.0	11.0	0.21244000000000002	0.01618764078813569
3.0	12.0	0.21356666666666668	0.0162045261166955
3.0	13.0	0.22563333333333335	0.02282023955468771
3.0	14.0	NaN	NaN
4.0	1.0	0.15820759493670883	0.01255488230858968
4.0	2.0	0.16415641025641028	0.013825945774404606
4.0	3.0	0.1699342105263158	0.014718718718073065
4.0	4.0	0.17479166666666662	0.012698527695516626
4.0	5.0	0.18121304347826084	0.011918866816491337
4.0	6.0	0.18945312499999994	0.013781123145764651
4.0	7.0	0.19868333333333332	0.016802164617960882
4.0	8.0	0.2023029411764706	0.016691795939724537
4.0	9.0	0.20612999999999998	0.016625443405246448
4.0	10.0	0.20922999999999997	0.019367157194017347
4.0	11.0	0.21340000000000003	0.01295839496234005
4.0	12.0	0.2159	0.017819090885900998
4.0	13.0	NaN	NaN
5.0	1.0	0.16125555555555557	0.012670859202376433
5.0	2.0	0.16728309859154925	0.014799893686061138
5.0	3.0	0.17277246376811595	0.014126402939780895
5.0	4.0	0.17922121212121211	0.015643445569227685
5.0	5.0	0.1836827586206897	0.01507735769501808
5.0	6.0	0.19065882352941174	0.018246075484559286
5.0	7.0	0.1921923076923077	0.013861882317222223
5.0	8.0	0.20293030303030304	0.019533648610290475
5.0	9.0	0.206515	0.02254458214761423
5.0	10.0	0.20199999999999996	0.021249366003614215
5.0	11.0	0.19774999999999998	0.016526917437925316
5.0	12.0	0.20045	0.020079425622595216
5.0	13.0	0.18985000000000002	0.0006363961030678816
5.0	14.0	0.1982	0.0009899494936611555
5.0	15.0	0.2118	0.001979898987322331
6.0	1.0	0.1667151515151515	0.014012546492606517
6.0	2.0	0.1736692307692308	0.016524715609097136
6.0	3.0	0.1761896551724138	0.01097673280338474
6.0	4.0	0.18621724137931037	0.016471923352273404
6.0	5.0	0.192462	0.016086968867594004
6.0	6.0	0.201115	0.01813639986325842
6.0	7.0	0.19933809523809523	0.016332742457728165
6.0	8.0	0.20183333333333334	0.019365777374877918
6.0	9.0	0.20471250000000002	0.018178593179891563
6.0	10.0	0.20692	0.01622334737346149
